cohort,config,mean_robustness,std_robustness,mean_accuracy,robust_recovery
main,full,0.9222222222222222,0.0,0.7999999999999999,1.0
main,no_falsification,0.9444444444444445,1.1102230246251565e-16,0.7000000000000001,1.0
main,no_blinding,0.9111111111111111,0.0,0.7999999999999999,1.0
main,single_universe,0.9537037037037037,0.004140866624999596,0.9833333333333334,1.0
main,no_pruning,0.9222222222222222,0.0,0.7999999999999999,1.0
ext,full,1.0,0.0,0.6527777777777778,1.0
ext,no_falsification,1.0,0.0,0.6527777777777777,1.0
ext,no_blinding,1.0,0.0,0.6805555555555555,1.0
ext,single_universe,1.0,0.0,0.8333333333333334,1.0
ext,no_pruning,1.0,0.0,0.6527777777777778,1.0
