cohort,group,metric,value
main,outcome,iterations,4
main,outcome,final_composite_score,0.9028854412848387
main,outcome,final_verified_score,0.8
main,outcome,final_confidence,0.7920159418450774
main,outcome,ground_truth_accuracy,0.8
main,outcome,solved,False
main,outcome,score_truth_gap,0.10288544128483867
main,outcome,claim_verification_coverage,0.8461538461538461
main,outcome,verified_claim_ratio,0.7575757575757576
main,outcome,unresolved_returned,True
main,reasoning,falsification_attempts,72
main,reasoning,falsification_success_rate,0.06944444444444445
main,reasoning,mean_falsification_survival,0.9305555555555557
main,reasoning,contradictions_detected,43
main,reasoning,contradiction_density,0.0605991230991231
main,reasoning,commitment_conflicts,31
main,reasoning,claim_consistency_index,0.5
main,reasoning,falsified_claim_rate,0.1282051282051282
main,consensus,jury_rounds,4
main,consensus,mean_jury_margin,0.10225618783138532
main,consensus,mean_jury_kappa,-0.2500000000000007
main,consensus,final_candidate_entropy,0.9182958340544896
main,consensus,premature_consensus_index,1.1102230246251565e-16
main,consensus,minority_preservations,0
main,consensus,minority_won,False
main,consensus,blinded_adjudication,True
main,efficiency,tokens_used,38620
main,efficiency,tool_calls_used,77
main,efficiency,wall_clock_s,0.0448
main,efficiency,agents_provisioned,45
main,efficiency,agents_used,29
main,efficiency,provisioning_efficiency,0.6444444444444445
main,efficiency,producer_utilisation,0.75
main,efficiency,tokens_per_verified_claim,1544.8
main,efficiency,tokens_per_iteration,9655.0
main,efficiency,agents_pruned,0
main,efficiency,agents_expired_ttl,0
main,efficiency,pruning_precision,
main,efficiency,pruning_recall,
main,control,total_improvement,0.10263007800082291
main,control,convergence_iteration,0
main,control,evoi_calibration_r,-0.902701746510261
main,control,evoi_mae,5.477781409171204
main,control,duplicate_loops_detected,0
main,control,oscillations_detected,0
main,control,circular_handoffs_broken,0
main,control,distinct_state_signatures,4
main,control,state_revisit_rate,0.0
main,reliability,checkpoints_written,4
main,reliability,recoveries,0
main,reliability,rollbacks_performed,0
main,reliability,containment_ratio,1.0
main,reliability,mttr_iterations,
main,reliability,escalations,0
main,reliability,escalation_rate,0.0
main,reliability,idempotency_hits,0
main,reliability,duplicate_side_effects_prevented,0
main,reliability,contract_compliance_rate,1.0
main,reliability,contract_violations,0
main,routing,routing_decisions,39
main,routing,mean_routing_regret,0.01372491015850037
main,routing,oracle_match_rate,0.7692307692307693
main,routing,reputation_brier,0.23734006734006735
main,routing,reputation_ece,0.2292929292929293
main,routing,reputation_auroc,0.505
main,routing,confidence_brier,0.18723889637953678
main,routing,confidence_ece,0.040772951844293116
main,routing,confidence_auroc,0.535
main,structure,rewiring_events,4
main,structure,mean_edges,47.0
main,structure,mean_degree,2.244871794871795
main,structure,mean_modularity,0.7847314411411661
main,structure,mean_path_length,1.5847016062665733
main,structure,mean_degree_entropy,4.331709983306262
main,structure,edge_churn_rate,0.4148936170212766
main,structure,sovereignty_transfers,9
main,structure,sovereignty_transfer_rate,2.25
main,structure,mean_competence_gain_on_transfer,0.5179654169360053
main,safety,blinding_checks,24
main,safety,blinding_leaks,0
main,safety,blinding_leak_rate,0.0
main,safety,anchor_opportunities,3
main,safety,anchoring_index,0.0
main,safety,branch_isolation_purity,1.0
main,safety,safe_termination,True
ext,outcome,iterations,8
ext,outcome,final_composite_score,0.9257174647393867
ext,outcome,final_verified_score,0.8333333333333334
ext,outcome,final_confidence,0.7804388169548311
ext,outcome,ground_truth_accuracy,0.5833333333333334
ext,outcome,solved,False
ext,outcome,score_truth_gap,0.3423841314060533
ext,outcome,claim_verification_coverage,0.6666666666666666
ext,outcome,verified_claim_ratio,0.9230769230769231
ext,outcome,unresolved_returned,False
ext,reasoning,falsification_attempts,126
ext,reasoning,falsification_success_rate,0.07142857142857142
ext,reasoning,mean_falsification_survival,0.9375
ext,reasoning,contradictions_detected,216
ext,reasoning,contradiction_density,0.10337364841041313
ext,reasoning,commitment_conflicts,126
ext,reasoning,claim_consistency_index,0.33333333333333337
ext,reasoning,falsified_claim_rate,0.11538461538461539
ext,consensus,jury_rounds,8
ext,consensus,mean_jury_margin,0.0634497258617282
ext,consensus,mean_jury_kappa,-0.0937500000000002
ext,consensus,final_candidate_entropy,0.9999999999999999
ext,consensus,premature_consensus_index,1.1102230246251565e-16
ext,consensus,minority_preservations,1
ext,consensus,minority_won,False
ext,consensus,blinded_adjudication,True
ext,efficiency,tokens_used,82160
ext,efficiency,tool_calls_used,157
ext,efficiency,wall_clock_s,0.117
ext,efficiency,agents_provisioned,58
ext,efficiency,agents_used,29
ext,efficiency,provisioning_efficiency,0.5
ext,efficiency,producer_utilisation,0.36
ext,efficiency,tokens_per_verified_claim,1711.6666666666667
ext,efficiency,tokens_per_iteration,10270.0
ext,efficiency,agents_pruned,5
ext,efficiency,agents_expired_ttl,5
ext,efficiency,pruning_precision,
ext,efficiency,pruning_recall,
ext,control,total_improvement,-0.02869066562449374
ext,control,convergence_iteration,0
ext,control,evoi_calibration_r,-0.6505464143771862
ext,control,evoi_mae,7.928636701540189
ext,control,duplicate_loops_detected,0
