gene,log2FC,p_perm,FDR
MTND1P23,-0.3224201466019072,0.9448818897637795,1.0
MTND2P28,-0.7293868703129318,0.25984251968503935,1.0
MTCO1P12,-0.019893006730685947,1.0,1.0
MTCO2P12,0.8656450859767659,0.5118110236220472,1.0
MTATP6P1,-0.2282246963413641,0.14960629921259844,1.0
MTCO3P12,-1.4375318380652224,0.3858267716535433,1.0
AL669831.4,-1.7372180261585528,0.29133858267716534,1.0
LINC01128,-0.7407217218206932,0.6220472440944882,1.0
NOC2L,-1.2303711915296824,0.33858267716535434,1.0
KLHL17,-1.440757170807072,0.4094488188976378,1.0
ISG15,-1.5467435244067453,0.4015748031496063,1.0
C1orf159,1.042345558330111,0.5669291338582677,1.0
SDF4,0.10883090839414145,0.8818897637795275,1.0
B3GALT6,-0.7105458904721398,0.6535433070866141,1.0
UBE2J2,0.38229556625071126,0.7322834645669292,1.0
ACAP3,-0.45483291523781044,0.6850393700787402,1.0
INTS11,-1.2151399968814345,0.33858267716535434,1.0
CPTP,-0.836624492229256,0.5669291338582677,1.0
AURKAIP1,0.4564666183051411,0.8740157480314961,1.0
CCNL2,-0.4914753723856622,0.41732283464566927,1.0
MRPL20,-0.2291282769580465,0.9291338582677166,1.0
ATAD3C,1.6680281222524695,0.1732283464566929,1.0
ATAD3B,-0.7979957494167542,0.5275590551181102,1.0
ATAD3A,-0.7682866939207667,0.84251968503937,1.0
SSU72,-0.24232210418864142,0.5039370078740157,1.0
AL645728.1,-1.4162563711576892,0.30708661417322836,1.0
AL691432.2,1.1193524681870544,0.44881889763779526,1.0
MIB2,0.6643875674893676,0.84251968503937,1.0
CDK11B,-0.3408832185785533,0.7322834645669292,1.0
SLC35E2B,-2.461520550987575,0.07874015748031496,1.0
NADK,-1.255799375209898,0.3779527559055118,1.0
GNB1,0.21738212213810648,0.33858267716535434,1.0
FAAP20,0.591211769393414,0.6377952755905512,1.0
SKI,-0.6375446390439938,0.31496062992125984,1.0
MORN1,1.468510365162453,0.2125984251968504,1.0
RER1,-0.49898488667466,0.8818897637795275,1.0
PANK4,-0.5823521231400428,0.7401574803149606,1.0
AL139246.5,-0.5283379862652662,0.6062992125984252,1.0
TNFRSF14,-1.4726129632227303,0.25196850393700787,1.0
AL139246.3,-0.8263526877321565,0.5748031496062992,1.0
FAM213B,-0.46445219437551,0.7637795275590551,1.0
TPRG1L,0.5615280594374887,0.6220472440944882,1.0
WRAP73,-1.0775775821846194,0.5196850393700787,1.0
TP73-AS1,-0.5550323317375976,0.7480314960629921,1.0
LRRC47,-0.011490321961706407,0.9763779527559056,1.0
CEP104,-0.39379220137184134,0.8976377952755905,1.0
DFFB,1.3116145033009183,0.06299212598425197,1.0
C1orf174,-0.4215104880222116,0.952755905511811,1.0
KCNAB2,-0.7180329447195914,0.7874015748031497,1.0
RPL22,-0.17088210056528474,0.08661417322834646,1.0
ICMT,2.2464416687719204,0.14173228346456693,1.0
ACOT7,0.617373089366019,0.6692913385826772,1.0
TNFRSF25,1.9745450214165718,0.1732283464566929,1.0
NOL9,1.4701897849807186,0.28346456692913385,1.0
KLHL21,-0.5840925167922602,0.8582677165354331,1.0
PHF13,-2.0833341866992847,0.13385826771653545,1.0
DNAJC11,0.321828674276899,0.9212598425196851,1.0
CAMTA1,0.48795236311704304,0.8188976377952756,1.0
VAMP3,0.3462654101892153,0.7795275590551181,1.0
UTS2,-0.3142948017729905,0.8818897637795275,1.0
PARK7,-0.0550705764015893,0.984251968503937,1.0
Y_RNA,-0.38895835728332395,0.84251968503937,1.0
ERRFI1,-2.586786045280881,0.09448818897637795,1.0
RERE,-0.1854943780544085,0.48031496062992124,1.0
ENO1,0.26278226860999787,0.5748031496062992,1.0
SLC2A5,-1.6979487382288556,0.30708661417322836,1.0
GPR157,-0.8686836003782143,0.6220472440944882,1.0
H6PD,2.2115294837516957,0.015748031496062992,1.0
SPSB1,-0.15675661236375538,1.0,1.0
SLC25A33,-0.8546985602398833,0.6456692913385826,1.0
PIK3CD,0.009911732889511526,0.9921259842519685,1.0
CLSTN1,-2.844451756218804,0.07086614173228346,1.0
LZIC,-1.114751969280317,0.47244094488188976,1.0
NMNAT1,0.7909769962616202,0.5275590551181102,1.0
UBE4B,-0.7500837300807408,0.7322834645669292,1.0
KIF1B,-1.5085138009313193,0.30708661417322836,1.0
PGD,-0.6809233609048277,0.6771653543307087,1.0
DFFA,0.1010271324968679,0.8818897637795275,1.0
PEX14,-0.1542753185995236,1.0,1.0
CASZ1,1.2071431609401686,0.33070866141732286,1.0
TARDBP,-1.8376447051594544,0.28346456692913385,1.0
SRM,-1.5725290397031935,0.48031496062992124,1.0
EXOSC10,1.923464273571848,0.047244094488188976,1.0
MTOR,-0.39864372148814153,0.8346456692913385,1.0
UBIAD1,-0.8502313588167105,0.8031496062992126,1.0
FBXO44,-0.07218145619085359,0.9291338582677166,1.0
FBXO6,1.6909383965699085,0.29133858267716534,1.0
MAD2L2,-1.5233568248998945,0.29133858267716534,1.0
AGTRAP,-2.567056710629056,0.023622047244094488,1.0
MTHFR,-0.17545645414140942,0.8346456692913385,1.0
CLCN6,0.33511501349511796,0.6692913385826772,1.0
RNU5E-4P,-1.4991084979443798,0.30708661417322836,1.0
KIAA2013,0.8604331334072421,0.11023622047244094,1.0
PLOD1,-0.6878451371164709,0.5748031496062992,1.0
MFN2,-0.10338631361570005,0.8818897637795275,1.0
MIIP,-0.7313969679165946,0.6850393700787402,1.0
TNFRSF1B,0.2265509707950617,0.6062992125984252,1.0
VPS13D,-0.8708236880104581,0.7559055118110236,1.0
PRDM2,-0.49899765232312543,0.11811023622047244,1.0
EFHD2,2.251475328242374,0.08661417322834646,1.0
CASP9,-2.788498165628783,0.06299212598425197,1.0
DNAJC16,-1.4119394308839084,0.33858267716535434,1.0
AGMAT,3.051708997858025,0.023622047244094488,1.0
DDI2,-1.3147675727782406,0.5511811023622047,1.0
PLEKHM2,1.4514000554345063,0.3700787401574803,1.0
UQCRHL,0.20573262777444778,0.7559055118110236,1.0
AL450998.1,0.17377240770801627,0.6692913385826772,1.0
FLJ37453,0.3062439890485358,0.8582677165354331,1.0
SPEN,-0.059773790011281136,0.8582677165354331,1.0
ZBTB17,1.3117031214000514,0.4645669291338583,1.0
FBXO42,0.958819188064874,0.4881889763779528,1.0
SZRD1,-1.3240632800282084,0.3937007874015748,1.0
AL358794.1,-0.7165697882424547,0.49606299212598426,1.0
NECAP2,0.24690190923813482,0.7559055118110236,1.0
NBPF1,1.1477851380331145,0.29133858267716534,1.0
CROCCP2,-0.6531926312764362,0.1889763779527559,1.0
EIF1AXP1,-0.4131151570288081,0.5905511811023622,1.0
CROCC,-0.25888142793463764,1.0,1.0
BX284668.5,1.8861737348116252,0.2125984251968504,1.0
SDHB,0.2671457100189709,0.6456692913385826,1.0
RCC2,-1.2854226787174445,0.03937007874015748,1.0
ALDH4A1,-2.1471101346930057,0.09448818897637795,1.0
IFFO2,0.35223793782157564,0.2755905511811024,1.0
UBR4,-0.1371160185004685,0.7165354330708661,1.0
EMC1,0.36243117826011595,0.7165354330708661,1.0
MRTO4,-2.095390330443439,0.13385826771653545,1.0
AKR7A2,-1.5957144169615023,0.3464566929133858,1.0
PQLC2,0.24394854525030274,0.8267716535433071,1.0
CAPZB,0.38210880204006337,0.3937007874015748,1.0
MINOS1,-0.7886274202695542,0.47244094488188976,1.0
AL031727.1,-0.18796618872615944,0.8818897637795275,1.0
TMCO4,1.5097337796185768,0.31496062992125984,1.0
OTUD3,-0.7489355342921966,0.5354330708661418,1.0
PLA2G2D,-0.8287979787327548,0.48031496062992124,1.0
CAMK2N1,-0.8763618928131325,0.6692913385826772,1.0
MUL1,-0.3250506503378059,0.84251968503937,1.0
DDOST,0.8317881895811841,0.28346456692913385,1.0
HP1BP3,0.11527831149638779,0.6456692913385826,1.0
EIF4G3,-0.4216853201850226,0.6377952755905512,1.0
ECE1,1.0155708517921092,0.5118110236220472,1.0
AL031728.1,-0.3650245574674813,0.7637795275590551,1.0
ALPL,3.056877188138539,0.023622047244094488,1.0
USP48,-0.18436678946099594,0.6850393700787402,1.0
LINC00339,-1.4454917332625044,0.2440944881889764,1.0
CDC42,0.564800450844519,0.07874015748031496,1.0
ZBTB40,0.3659472017508101,0.023622047244094488,1.0
KDM1A,-0.16544607635243658,0.7322834645669292,1.0
LUZP1,-1.099001852953967,0.5748031496062992,1.0
HNRNPR,-0.5463397437073994,0.48031496062992124,1.0
TCEA3,-0.8710840591770155,0.4094488188976378,1.0
E2F2,-2.0782338402233744,0.13385826771653545,1.0
ID3,-0.21230446579504125,0.6771653543307087,1.0
RPL11,0.05462943370301687,0.7637795275590551,1.0
ELOA,-1.967797627401442,0.4015748031496063,1.0
PITHD1,-1.011344712064795,0.7952755905511811,1.0
LYPLA2,0.04940037529535424,1.0,1.0
HMGCL,-0.007564008959126234,1.0,1.0
FUCA1,-0.7130630170088437,0.6929133858267716,1.0
CNR2,-0.37089251774296184,0.8503937007874016,1.0
PNRC2,0.3988263210643517,0.18110236220472442,1.0
SRSF10,0.1263702935385167,0.7952755905511811,1.0
IFNLR1,-1.018965789066248,0.4330708661417323,1.0
NIPAL3,0.3753424613223748,0.4409448818897638,1.0
RCAN3,-0.2543845313434909,0.4881889763779528,1.0
SRRM1,0.3610808089691968,0.15748031496062992,1.0
CLIC4,0.13446518033984312,0.905511811023622,1.0
RUNX3,-0.016097996990945163,0.984251968503937,1.0
SYF2,-0.3224703988896511,0.3464566929133858,1.0
RSRP1,-0.2186174177386473,0.5826771653543307,1.0
TMEM50A,0.1439034386995166,0.6141732283464567,1.0
TMEM57,0.4390132925519712,0.5984251968503937,1.0
LDLRAP1,2.225652481031056,0.07086614173228346,1.0
MAN1C1,-1.5479257741897257,0.2440944881889764,1.0
SELENON,-2.134449503027127,0.25196850393700787,1.0
MTFR1L,-2.010926074533525,0.1732283464566929,1.0
PAQR7,0.14632197350580123,0.905511811023622,1.0
STMN1,-2.412881898702313,0.09448818897637795,1.0
PAFAH2,-1.7493815530237824,0.14960629921259844,1.0
PDIK1L,-0.47658559505719156,0.8346456692913385,1.0
CEP85,-0.8176603441669648,0.6456692913385826,1.0
SH3BGRL3,0.7395535498269936,0.3700787401574803,1.0
UBXN11,-0.8593972067415452,0.5748031496062992,1.0
CD52,0.0062677779392874555,0.9921259842519685,1.0
DHDDS,-0.4686414649366033,0.7874015748031497,1.0
HMGN2,-0.8702891625845579,0.2677165354330709,1.0
RPS6KA1,-1.8080987506531656,0.2992125984251969,1.0
ARID1A,-0.4574257881908821,0.06299212598425197,1.0
PIGV,-1.0592017410055816,0.3700787401574803,1.0
ZDHHC18,-0.24595014645504776,0.8582677165354331,1.0
GPN2,-0.6884861308909658,0.5196850393700787,1.0
