gene,log2FC,p_perm,FDR
AL627309.7,-0.9475065850197364,0.5039370078740157,0.939868419531259
MTND1P23,0.29725710996999766,0.25984251968503935,0.8512406093679867
MTND2P28,-0.36649216437733667,0.30708661417322836,0.868085262990023
MTCO1P12,-0.4856036089072022,0.2204724409448819,0.8287127766916084
MTCO2P12,-0.4471078765876775,0.1732283464566929,0.8038630721031994
MTATP6P1,0.006534837441765973,0.984251968503937,0.9988002758044506
MTCO3P12,-0.6916317292762031,0.2283464566929134,0.8336385014247465
AL669831.4,-0.6642994969682956,0.3779527559055118,0.90080276839105
LINC01128,0.05006639303577476,0.889763779527559,0.9886177730539346
LINC00115,0.19703086722653818,0.905511811023622,0.9899212869522312
KLHL17,0.10137320822686524,0.9448818897637795,0.9944898714583753
AL645608.8,-0.18502868810045703,0.905511811023622,0.9899212869522312
HES4,-0.07516157516179978,1.0,1.0
ISG15,0.5528962390950483,0.7559055118110236,0.9726051513462561
AGRN,0.07236758891932882,0.9212598425196851,0.9916034965968238
AL390719.1,-0.11980220522936902,0.7716535433070866,0.9760752568014447
C1orf159,0.3817952611718811,0.7401574803149606,0.9726051513462561
TNFRSF4,-0.2341873869276312,0.84251968503937,0.9823595446327953
SDF4,0.0007075715190651977,1.0,1.0
B3GALT6,0.35893930346336234,0.4094488188976378,0.9090035743434535
UBE2J2,0.7017168683383823,0.5748031496062992,0.9559479904608623
ACAP3,0.346529716346607,0.7480314960629921,0.9726051513462561
INTS11,0.5447600433630697,0.5354330708661418,0.9479419337985596
CPTP,0.4049605527570137,0.4409448818897638,0.9193107263430548
DVL1,-0.44294994532566556,0.6062992125984252,0.9608942225121786
MXRA8,-0.45295354325517057,0.6535433070866141,0.966090961744307
AURKAIP1,-0.17222124998098565,0.8582677165354331,0.9837431881343323
CCNL2,0.04700064605323373,0.7637795275590551,0.9726051513462561
AL391244.1,0.1997912004130109,0.7874015748031497,0.9775940764002741
MRPL20,0.07256390169364213,0.8503937007874016,0.9835944261634448
ANKRD65,-0.01376071965512482,0.984251968503937,0.9988002758044506
ATAD3B,-0.6937967638182907,0.47244094488188976,0.9331994464922055
ATAD3A,0.9051894391648503,0.41732283464566927,0.9107246259166057
SSU72,0.2472464139213546,0.33070866141732286,0.8811266433105555
AL645728.1,0.20165352253683966,0.7559055118110236,0.9726051513462561
FNDC10,2.059109106636295,0.031496062992125984,0.6826476042030583
AL691432.2,0.3375902450976471,0.1889763779527559,0.8133366461918351
MIB2,-0.017669530962062252,0.952755905511811,0.9944898714583753
CDK11B,0.47749224490869846,0.6692913385826772,0.967634523772178
SLC35E2B,-0.8052088811760436,0.07086614173228346,0.7107880171694956
NADK,-0.4632964285266503,0.08661417322834646,0.7251724549592804
GNB1,0.06773283838278843,0.5590551181102362,0.9539915430764625
FAAP20,0.26142909509486856,0.8346456692913385,0.9819224384651066
SKI,-0.34845375172838544,0.49606299212598426,0.9378529417969822
RER1,-0.1296836133241861,0.49606299212598426,0.9378529417969822
PANK4,0.7235191440608437,0.3779527559055118,0.90080276839105
AL139246.5,0.5788697206515321,0.5748031496062992,0.9559479904608623
TNFRSF14,-0.909210951711346,0.18110236220472442,0.8073643742935083
FAM213B,0.4883272024718517,0.3700787401574803,0.8970171905992668
TPRG1L,-0.32010035774075085,0.48031496062992124,0.9342236316938177
WRAP73,-0.5418518448077592,0.1968503937007874,0.8133366461918351
TP73-AS1,0.2646660927195077,0.6299212598425197,0.962871484045595
LRRC47,-0.28836136062986384,0.5511811023622047,0.9514203834061379
CEP104,-0.3249575232275088,0.5354330708661418,0.9479419337985596
DFFB,1.008582638609663,0.2755905511811024,0.853725753792971
C1orf174,-0.27413119266092734,0.6771653543307087,0.9685447258281904
AJAP1,-1.9135351746088858,0.08661417322834646,0.7251724549592804
NPHP4,1.404977278220859,0.08661417322834646,0.7251724549592804
KCNAB2,-0.15513180686588424,0.6614173228346457,0.967634523772178
RPL22,-0.46672390800805985,0.015748031496062992,0.6826476042030583
ICMT,0.3855969911035926,0.6535433070866141,0.966090961744307
GPR153,1.2495534617791146,0.16535433070866143,0.7925152280493241
ACOT7,0.35311537759524647,0.5669291338582677,0.954855712655332
NOL9,0.6964168253407577,0.1889763779527559,0.8133366461918351
ZBTB48,0.09259784949101224,0.984251968503937,0.9988002758044506
KLHL21,0.1998050819416024,0.6929133858267716,0.9695596467319408
PHF13,0.21757664317122227,0.8818897637795275,0.9879934629764293
THAP3,1.4637255852628634,0.03937007874015748,0.6826476042030583
DNAJC11,0.165254446321915,0.937007874015748,0.9941472732331481
CAMTA1,0.45916677749110857,0.11811023622047244,0.7364350074797351
VAMP3,0.05425832914015771,0.8110236220472441,0.9806560380447493
PER3,0.10541718658706634,0.8110236220472441,0.9806560380447493
UTS2,-0.1163831360502754,0.889763779527559,0.9886177730539346
TNFRSF9,1.21670810726035,0.07874015748031496,0.7107880171694956
PARK7,-0.12571150932098796,0.7007874015748031,0.9697087411223303
Y_RNA,-0.12897847168640997,0.7007874015748031,0.9697087411223303
ERRFI1,0.28301138053050323,0.6141732283464567,0.9618483135188818
RERE,-0.3594732609587705,0.2047244094488189,0.8179316528497794
ENO1,0.5374964135203939,0.03937007874015748,0.6826476042030583
SLC2A5,1.437285586595495,0.1968503937007874,0.8133366461918351
GPR157,0.33337867861364234,0.5039370078740157,0.939868419531259
H6PD,-0.251056377934618,0.3543307086614173,0.8915123476047269
SPSB1,2.2085091679463185,0.07874015748031496,0.7107880171694956
SLC25A33,0.06865273925477666,0.8503937007874016,0.9835944261634448
TMEM201,0.15547990267724687,0.8818897637795275,0.9879934629764293
PIK3CD,-0.282844234664994,0.5984251968503937,0.9608942225121786
CLSTN1,0.6401032371464295,0.25984251968503935,0.8512406093679867
CTNNBIP1,0.8109940932760287,0.1732283464566929,0.8038630721031994
LZIC,-0.4050123900420761,0.3937007874015748,0.9060325603890926
NMNAT1,-0.0651170973177484,0.9606299212598425,0.9967290768663719
RBP7,-1.600564763780767,0.015748031496062992,0.6826476042030583
UBE4B,-0.4729109574202255,0.2204724409448819,0.8287127766916084
KIF1B,0.42714526155095633,0.4094488188976378,0.9090035743434535
PGD,-0.2011617656361535,0.44881889763779526,0.9212102163700125
CENPS,1.4978675184228867,0.03937007874015748,0.6826476042030583
DFFA,-0.018660659807184565,0.9291338582677166,0.9923418376941026
PEX14,-0.08424139462717628,0.7874015748031497,0.9775940764002741
CASZ1,-0.8461957976806824,0.23622047244094488,0.8382889691177539
TARDBP,0.13234136555292508,0.7086614173228346,0.9697087411223303
SRM,0.8588690417081359,0.5511811023622047,0.9514203834061379
EXOSC10,0.15042697886337475,0.7716535433070866,0.9760752568014447
MTOR,0.06021536885484702,0.9606299212598425,0.9967290768663719
UBIAD1,-0.4613355241311128,0.3858267716535433,0.901137518714905
FBXO44,0.10416060219368672,0.8661417322834646,0.9853875082167936
FBXO6,-0.19771991212143458,0.5275590551181102,0.9452006713295411
MAD2L2,0.5322523858009109,0.5905511811023622,0.9608942225121786
AGTRAP,-0.3754518510680045,0.41732283464566927,0.9107246259166057
MTHFR,0.18796483893314608,0.5354330708661418,0.9479419337985596
CLCN6,0.14529060174377317,0.9133858267716536,0.9910228417757366
NPPA-AS1,0.29529658851541485,0.7322834645669292,0.9726051513462561
RNU5E-1,0.19764354994999178,0.7874015748031497,0.9775940764002741
KIAA2013,0.0588979954304758,0.8503937007874016,0.9835944261634448
PLOD1,0.42920590596208186,0.41732283464566927,0.9107246259166057
MFN2,0.2192014977440353,0.4015748031496063,0.9086765677539906
MIIP,-0.9745655480316633,0.4566929133858268,0.9233455416926752
TNFRSF8,-0.26845284299728345,0.6614173228346457,0.967634523772178
TNFRSF1B,0.04605214388184464,0.8661417322834646,0.9853875082167936
VPS13D,0.25783962473934086,0.7559055118110236,0.9726051513462561
DHRS3,0.09172577523276804,0.984251968503937,0.9988002758044506
PDPN,1.976151392220701,0.14173228346456693,0.7686343861159114
PRDM2,-0.24644436869405695,0.47244094488188976,0.9331994464922055
TMEM51,1.6913197645187017,0.015748031496062992,0.6826476042030583
FHAD1,1.2363360984427996,0.06299212598425197,0.6963124387519445
EFHD2,0.3384426671341547,0.14960629921259844,0.7739916929935694
CASP9,-0.030718418490192967,0.9448818897637795,0.9944898714583753
DNAJC16,0.9209596279257002,0.2755905511811024,0.853725753792971
DDI2,-0.4950493640864684,0.36220472440944884,0.8957091520102044
PLEKHM2,0.4512972157156989,0.7559055118110236,0.9726051513462561
AL450998.2,-0.06004128910752615,0.9763779527559056,0.9988002758044506
UQCRHL,-0.142946470893075,0.6299212598425197,0.962871484045595
AL450998.1,-0.10414431069290764,0.7716535433070866,0.9760752568014447
FLJ37453,-0.3385642959165809,0.7637795275590551,0.9726051513462561
SPEN,0.04028612700843048,0.8267716535433071,0.9819224384651066
ZBTB17,-0.29437029153199923,0.7322834645669292,0.9726051513462561
EPHA2,-1.0041959020319289,0.09448818897637795,0.7290975019374097
MT1XP1,-0.40869165473889923,0.5669291338582677,0.954855712655332
FBXO42,0.5330061147754082,0.6377952755905512,0.962871484045595
SZRD1,0.2937634559424156,0.6377952755905512,0.962871484045595
AL358794.1,-0.6412575020846336,0.09448818897637795,0.7290975019374097
NECAP2,0.4104901637325895,0.4251968503937008,0.9130051051310895
NBPF1,-0.4659983257366338,0.6062992125984252,0.9608942225121786
CROCCP2,-0.3054482917439567,0.6535433070866141,0.966090961744307
EIF1AXP1,0.12691717126474167,0.33858267716535434,0.8824827791252136
CROCC,0.1968716883557149,0.7952755905511811,0.978664400309132
BX284668.5,-0.11012457210337057,0.9448818897637795,0.9944898714583753
ATP13A2,-0.09461880947592238,0.9212598425196851,0.9916034965968238
SDHB,0.13556441184204715,0.25196850393700787,0.8470756930926249
PADI2,-0.12551270404339476,0.6692913385826772,0.967634523772178
PADI4,-0.9669347092171217,0.25196850393700787,0.8470756930926249
RCC2,0.72518191899084,0.1732283464566929,0.8038630721031994
ARHGEF10L,1.1832565488766429,0.047244094488188976,0.6826476042030583
IGSF21,0.36039678396777197,0.7165354330708661,0.9697087411223303
