gene,log2FC,p_perm,FDR
AL627309.7,0.2888278972884637,0.8245614035087719,0.9304466244672535
MTND1P23,1.3026110367747141,0.22807017543859648,0.5507642157074393
MTND2P28,0.5930427821672399,0.24561403508771928,0.5656376419240944
MTCO1P12,1.0514315120678894,0.3333333333333333,0.6304208159331834
MTCO2P12,0.7802657950920926,0.5263157894736842,0.7639753970725631
MTATP6P1,0.5770418447232188,0.14035087719298245,0.45627597430904704
MTCO3P12,2.399935814634971,0.10526315789473684,0.44100415723664144
LINC01128,-0.3459698443806343,0.6842105263157895,0.8560810697448115
KLHL17,1.6722153941770255,0.2982456140350877,0.6074800389661231
PLEKHN1,0.7765442571142829,0.43859649122807015,0.7107725962304605
HES4,1.4688685715218766,0.3508771929824561,0.6466706757502615
ISG15,-2.476928253232342,0.2807017543859649,0.598129416919062
AGRN,-0.37334300186246505,0.8596491228070176,0.9468121243150904
AL390719.1,-1.168768158246558,0.3508771929824561,0.6466706757502615
RNF223,-0.8705146223595812,0.49122807017543857,0.7441413259122333
SDF4,2.2557395647186955,0.19298245614035087,0.5167997318746035
B3GALT6,2.603456542574384,0.03508771929824561,0.43217353005945824
UBE2J2,0.9994155191632483,0.5087719298245614,0.7527063040186218
ACAP3,0.40559403604308963,0.6842105263157895,0.8560810697448115
INTS11,1.241344394632645,0.3157894736842105,0.6219135394934904
CPTP,1.0338554853743804,0.24561403508771928,0.5656376419240944
DVL1,-0.8125196994316894,0.6491228070175439,0.8403057445725131
MXRA8,-1.2944043059814416,0.3333333333333333,0.6304208159331834
AURKAIP1,2.577322581950719,0.05263157894736842,0.43217353005945824
CCNL2,1.8458051311453025,0.14035087719298245,0.45627597430904704
AL391244.1,0.04983912117907918,1.0,1.0
MRPL20,1.2271156376794852,0.5087719298245614,0.7527063040186218
ANKRD65,4.171963573202548,0.03508771929824561,0.43217353005945824
VWA1,0.9953505314089965,0.5789473684210527,0.7962047726183012
ATAD3A,0.8382777952059934,0.5789473684210527,0.7962047726183012
SSU72,0.5630366070297628,0.19298245614035087,0.5167997318746035
MIB2,1.2374243363941653,0.47368421052631576,0.7310133130992619
CDK11B,2.0804672259744015,0.12280701754385964,0.44100415723664144
SLC35E2B,0.3034379281794135,0.8421052631578947,0.9386396699814663
NADK,0.4604923803287191,0.8421052631578947,0.9386396699814663
GNB1,1.1871584536631854,0.07017543859649122,0.44100415723664144
FAAP20,0.6793765038835178,0.9298245614035088,0.9742555802212418
SKI,0.8890671720066399,0.15789473684210525,0.4751368582457933
RER1,0.1501349650020547,0.6491228070175439,0.8403057445725131
PLCH2,0.5403365464750296,0.6842105263157895,0.8560810697448115
PANK4,-1.178535683747881,0.12280701754385964,0.44100415723664144
HES5,0.12623955257733321,0.8947368421052632,0.9623242889833279
TNFRSF14,1.4618555462609675,0.21052631578947367,0.5331069609507639
FAM213B,1.0651188765542359,0.5964912280701754,0.8081560476960437
ARHGEF16,-0.4673451380781588,0.6666666666666666,0.8511330369727854
TPRG1L,2.0132261534741667,0.03508771929824561,0.43217353005945824
WRAP73,0.2751154085481313,0.8947368421052632,0.9623242889833279
TP73-AS1,1.4721658652308411,0.12280701754385964,0.44100415723664144
SMIM1,-0.5048619769783351,0.8245614035087719,0.9304466244672535
LRRC47,1.9061281271138322,0.07017543859649122,0.44100415723664144
CEP104,1.054272583044042,0.47368421052631576,0.7310133130992619
DFFB,0.7101978788937628,0.5614035087719298,0.7901657083181297
C1orf174,-0.12696385123483633,0.7543859649122807,0.8964471426826224
KCNAB2,0.9229529879365272,0.5964912280701754,0.8081560476960437
RPL22,0.7329922169329732,0.17543859649122806,0.4970619522820526
RNF207,-0.8432613244094425,0.543859649122807,0.7780278664100416
ICMT,0.11469187568634176,0.6842105263157895,0.8560810697448115
GPR153,0.24715260407430018,0.8596491228070176,0.9468121243150904
ACOT7,0.6552372718924526,0.7017543859649122,0.8667951216549713
HES2,-0.700675885429141,0.10526315789473684,0.44100415723664144
ESPN,0.4742653935399137,0.7368421052631579,0.8856094507985794
PLEKHG5,1.656004660768473,0.15789473684210525,0.4751368582457933
NOL9,3.2979321967162463,0.03508771929824561,0.43217353005945824
ZBTB48,0.1352082953831153,1.0,1.0
KLHL21,-0.29287425001013645,0.7192982456140351,0.8767843521848099
PHF13,-0.08092517451326131,0.7719298245614035,0.9065902338131385
THAP3,2.2374470388868537,0.03508771929824561,0.43217353005945824
CAMTA1,-0.05498669181274085,0.8947368421052632,0.9623242889833279
VAMP3,-0.051533679960370726,0.8947368421052632,0.9623242889833279
PER3,0.022572493472117205,1.0,1.0
PARK7,1.3288628479317302,0.05263157894736842,0.43217353005945824
Y_RNA,0.7985545917648937,0.5263157894736842,0.7639753970725631
ERRFI1,-0.7474308057714305,0.3157894736842105,0.6219135394934904
RERE,-0.20052048025296632,0.7017543859649122,0.8667951216549713
ENO1,0.824286893852431,0.10526315789473684,0.44100415723664144
SLC2A5,1.1963447741092816,0.3684210526315789,0.6596955436035343
GPR157,-0.3577663623054814,0.5263157894736842,0.7639753970725631
LINC01759,0.6881273295451964,0.5087719298245614,0.7527063040186218
H6PD,1.0528048244502708,0.05263157894736842,0.43217353005945824
SPSB1,-0.19147310021100328,0.8070175438596491,0.9241108216422609
SLC25A33,-1.7664486994344886,0.3684210526315789,0.6596955436035343
TMEM201,-0.7700288476398702,0.5964912280701754,0.8081560476960437
PIK3CD,1.8771028727745183,0.2982456140350877,0.6074800389661231
CLSTN1,2.1035017366259363,0.15789473684210525,0.4751368582457933
CTNNBIP1,0.5880421572673384,0.45614035087719296,0.7250341025349551
LZIC,1.0758340760079412,0.47368421052631576,0.7310133130992619
NMNAT1,0.8799098814711794,0.43859649122807015,0.7107725962304605
RBP7,0.5363855229571279,0.6666666666666666,0.8511330369727854
UBE4B,1.468790844565329,0.19298245614035087,0.5167997318746035
KIF1B,0.7576629035630136,0.14035087719298245,0.45627597430904704
PGD,1.3108079826075825,0.08771929824561403,0.44100415723664144
CENPS,1.6523313795745367,0.21052631578947367,0.5331069609507639
DFFA,0.7816472321222641,0.14035087719298245,0.45627597430904704
PEX14,2.739212675015806,0.12280701754385964,0.44100415723664144
CASZ1,-0.5775015802813512,0.3333333333333333,0.6304208159331834
TARDBP,0.7677672451312532,0.3157894736842105,0.6219135394934904
SRM,2.765167076187882,0.05263157894736842,0.43217353005945824
EXOSC10,2.120463863769756,0.21052631578947367,0.5331069609507639
MTOR,1.3512069631479633,0.21052631578947367,0.5331069609507639
ANGPTL7,1.0537737665620845,0.43859649122807015,0.7107725962304605
UBIAD1,0.5798067949718297,0.6842105263157895,0.8560810697448115
FBXO2,0.4075216649248836,0.7894736842105263,0.9137067654392517
FBXO44,0.29496640170494004,0.7543859649122807,0.8964471426826224
