gene,log2FC,p_perm,FDR
MTND1P23,-0.4985133414185263,0.25984251968503935,0.8301867552640214
MTND2P28,-0.28621765271052624,0.4015748031496063,0.8837120505898488
MTCO1P12,0.9361024344826534,0.2992125984251969,0.84548432903613
MTCO2P12,-0.2921186214784166,0.6692913385826772,0.9540512840874406
MTATP6P1,-0.15328229568476281,0.4330708661417323,0.8942837593482218
MTCO3P12,-0.41702284086243147,0.49606299212598426,0.918166517549786
LINC01128,0.20037033533936288,0.8818897637795275,0.9823792960121838
NOC2L,0.22474931034843282,0.7559055118110236,0.9686629039582033
KLHL17,0.31614082154905754,0.7716535433070866,0.9712956335003579
HES4,1.3970833449898676,0.1968503937007874,0.8055705198257646
ISG15,1.1196603764663533,0.3858267716535433,0.876785038446982
AGRN,1.0975379886322982,0.4015748031496063,0.8837120505898488
SDF4,-0.20870792660971293,0.8110236220472441,0.971896098874773
B3GALT6,0.08568982053375596,0.84251968503937,0.9783611130765265
UBE2J2,0.8349842946456008,0.48031496062992124,0.9108866108717542
ACAP3,0.2523237516169061,0.8346456692913385,0.9780057933172861
INTS11,0.7660528313232644,0.5275590551181102,0.9278611560463561
CPTP,0.6585341121240904,0.5748031496062992,0.9409463067930841
DVL1,1.073473061742289,0.2677165354330709,0.8331756122227841
MXRA8,-0.4514197693640032,0.16535433070866143,0.7911470075408417
AURKAIP1,1.0856288196732278,0.5039370078740157,0.9208081416432157
CCNL2,-0.5907824424173374,0.11023622047244094,0.7379355084314511
AL391244.1,0.40693677536613015,0.6929133858267716,0.9565715466765148
MRPL20,0.37380856424977615,0.4881889763779528,0.913561746031229
ANKRD65,-1.4500909777483573,0.031496062992125984,0.667765748031496
VWA1,0.4381270494061378,0.7086614173228346,0.9596633504644254
ATAD3B,-0.44485900427284064,0.6220472440944882,0.9452972399057129
ATAD3A,0.4146357082857506,0.6614173228346457,0.9540512840874406
SSU72,0.07816035406685984,0.7795275590551181,0.9712956335003579
FNDC10,0.5291959538398519,0.5984251968503937,0.9426551539427668
AL691432.2,-0.5224302684606421,0.3779527559055118,0.876785038446982
MIB2,-0.4315886843337591,0.7559055118110236,0.9686629039582033
CDK11B,-0.43836187872984134,0.4409448818897638,0.8989154300423986
SLC35E2B,-1.236315240744227,0.015748031496062992,0.667765748031496
NADK,0.42736947631818056,0.7086614173228346,0.9596633504644254
GNB1,0.30294741738222086,0.10236220472440945,0.7291090582181164
FAAP20,0.7614027071216833,0.5354330708661418,0.930970186901932
SKI,-0.24954691522708838,0.5905511811023622,0.9422846867800978
RER1,0.09041309301049694,0.7480314960629921,0.9674074885702193
PANK4,1.1025809190685334,0.3228346456692913,0.8549069685961386
TNFRSF14,0.4324404473602015,0.7244094488188977,0.9611334517476898
FAM213B,0.6051566327008064,0.2283464566929134,0.8162148180675277
PRDM16,-0.06274142659078574,0.968503937007874,0.996635061524332
MEGF6,0.11168908050923454,0.9212598425196851,0.9876412106462515
TPRG1L,-0.8551893991614996,0.12598425196850394,0.7601068541398976
WRAP73,0.8018177843930108,0.48031496062992124,0.9108866108717542
TP73-AS1,-0.7744354916039642,0.2283464566929134,0.8162148180675277
LRRC47,1.0817086904146636,0.5669291338582677,0.9399635162906689
CEP104,-0.045249119710718766,0.7952755905511811,0.9716454608489985
DFFB,0.9561322933746748,0.3228346456692913,0.8549069685961386
C1orf174,1.3986889121411066,0.10236220472440945,0.7291090582181164
AJAP1,2.240884720796532,0.06299212598425197,0.681067854565988
NPHP4,-0.21575853850398485,0.8110236220472441,0.971896098874773
KCNAB2,0.7334086174962904,0.5748031496062992,0.9409463067930841
RPL22,-0.07894305055515449,0.7874015748031497,0.9712956335003579
RNF207,0.11768581185029392,0.9212598425196851,0.9876412106462515
ICMT,1.1376428767162468,0.05511811023622047,0.6749978680462776
GPR153,-0.17384253996712662,0.6220472440944882,0.9452972399057129
ACOT7,0.6289723353311625,0.6062992125984252,0.9426921067661317
TNFRSF25,-0.8994514655655638,0.3700787401574803,0.8728660568741266
PLEKHG5,0.9781330727004302,0.11811023622047244,0.7495967237023342
NOL9,-0.4299434983788366,0.31496062992125984,0.8521836066603339
KLHL21,-0.2705361702360207,0.5669291338582677,0.9399635162906689
PHF13,0.32720247388015444,0.5275590551181102,0.9278611560463561
THAP3,1.429924955433272,0.06299212598425197,0.681067854565988
DNAJC11,0.0808384504105264,0.937007874015748,0.9898217082537707
CAMTA1,0.1910428350941933,0.5196850393700787,0.9269891283308266
VAMP3,0.7277074790153861,0.16535433070866143,0.7911470075408417
PER3,-1.8692039348003138,0.09448818897637795,0.71706389050362
TNFRSF9,1.0719945474371828,0.3464566929133858,0.8665568416851119
PARK7,0.2776933467928888,0.3228346456692913,0.8549069685961386
Y_RNA,-0.8118338196850474,0.07874015748031496,0.7033740598093441
ERRFI1,-0.16595404805128133,0.8031496062992126,0.971896098874773
RERE,0.6234689461831788,0.16535433070866143,0.7911470075408417
ENO1,0.26317389732297425,0.4645669291338583,0.9063563855380766
SLC2A5,1.8683876474031045,0.023622047244094488,0.667765748031496
GPR157,0.7385812760142842,0.44881889763779526,0.9003583119525789
H6PD,-0.47234047670410106,0.11023622047244094,0.7379355084314511
SPSB1,1.0772343020643018,0.49606299212598426,0.918166517549786
AL928921.2,0.5061858530820971,0.5748031496062992,0.9409463067930841
SLC25A33,0.8883366662744279,0.14173228346456693,0.7686512207556789
TMEM201,0.5751404315497859,0.5354330708661418,0.930970186901932
PIK3CD,-0.16051524594973454,0.7874015748031497,0.9712956335003579
PIK3CD-AS2,0.5305249941972165,0.4566929133858268,0.902149678516856
CLSTN1,1.3315625594934941,0.5433070866141733,0.9321195926498568
CTNNBIP1,-0.006217457956162242,0.984251968503937,0.9996493234004432
LZIC,-0.5051710567246657,0.25196850393700787,0.8264347667201498
NMNAT1,1.1202873621155416,0.11023622047244094,0.7379355084314511
UBE4B,0.4834609423609475,0.25196850393700787,0.8264347667201498
KIF1B,0.17754367150418382,0.5511811023622047,0.9344048448216837
PGD,0.4524104392861412,0.4566929133858268,0.902149678516856
CENPS,0.7480680285646175,0.4330708661417323,0.8942837593482218
DFFA,0.8572173414309487,0.047244094488188976,0.6749978680462776
PEX14,1.670662119869383,0.05511811023622047,0.6749978680462776
TARDBP,-0.5725547009384089,0.31496062992125984,0.8521836066603339
SRM,1.5155209029439103,0.2755905511811024,0.8358265956585558
EXOSC10,1.0112753995521615,0.4330708661417323,0.8942837593482218
MTOR,1.5764400180806901,0.11811023622047244,0.7495967237023342
UBIAD1,-0.6856640615111158,0.25196850393700787,0.8264347667201498
FBXO44,-1.1388639225120132,0.10236220472440945,0.7291090582181164
FBXO6,-1.2862157105735468,0.2047244094488189,0.8055705198257646
MAD2L2,-0.19961474517775724,0.7559055118110236,0.9686629039582033
AGTRAP,-0.3343566317864606,0.5196850393700787,0.9269891283308266
MTHFR,-0.3961058397177286,0.41732283464566927,0.8906344044207434
CLCN6,-0.50844921690936,0.6377952755905512,0.9507024161801811
KIAA2013,1.0843909176268562,0.5196850393700787,0.9269891283308266
PLOD1,0.20391470130544231,0.5748031496062992,0.9409463067930841
MFN2,0.10400811802926668,0.8267716535433071,0.9765376538065054
MIIP,1.0264916645060378,0.44881889763779526,0.9003583119525789
TNFRSF1B,0.0002544436845361986,1.0,1.0
VPS13D,-0.42076774855458066,0.29133858267716534,0.8409217673572552
DHRS3,-1.91482784727364,0.08661417322834646,0.7135808843566684
PDPN,0.40922095475450515,0.5511811023622047,0.9344048448216837
PRDM2,-0.4880792575694972,0.4015748031496063,0.8837120505898488
KAZN,1.1526747594195896,0.06299212598425197,0.681067854565988
TMEM51,1.2442448187410615,0.05511811023622047,0.6749978680462776
FHAD1,1.0946137713287913,0.06299212598425197,0.681067854565988
EFHD2,0.5021248722791194,0.4645669291338583,0.9063563855380766
CASP9,-0.08089078221190471,0.905511811023622,0.9846053180366637
DNAJC16,-0.041538145230583634,0.952755905511811,0.9918631948664849
DDI2,-0.3498150234522637,0.4094488188976378,0.8869430114339156
PLEKHM2,-0.8012983618143679,0.3937007874015748,0.8821211995132048
SLC25A34,-0.36394292286732677,0.6220472440944882,0.9452972399057129
FBLIM1,1.553179551859679,0.015748031496062992,0.667765748031496
UQCRHL,0.17765521276476903,0.7086614173228346,0.9596633504644254
