gene,log2FC,p_perm,FDR
MTND1P23,1.1731800027718076,0.6388888888888888,0.9393265826953157
MTND2P28,-0.9527184220668552,0.05555555555555555,0.6630636913063691
MTCO1P12,-0.3134859322346224,0.6944444444444444,0.9526327507514194
MTCO2P12,1.1874290367674827,0.4166666666666667,0.8228048921195339
MTATP6P1,-0.3228927257354055,0.5555555555555556,0.9063324119086202
MTCO3P12,-0.9673080088439026,0.25,0.7407166969618281
AL669831.4,-2.0637938644401013,0.2777777777777778,0.7530160238642064
LINC01128,-0.4987049955128664,0.7777777777777778,0.9616866541443916
AL645608.8,0.2680498656961393,1.0,1.0
HES4,0.7545625544285918,0.6666666666666666,0.9393265826953157
ISG15,3.004626423359693,0.25,0.7407166969618281
AGRN,2.5217520779865494,0.05555555555555555,0.6630636913063691
AL390719.1,2.13492048323572,0.3333333333333333,0.7714672075726842
TNFRSF18,1.0279325785036328,0.5833333333333334,0.9145140606393699
TNFRSF4,2.6177167696130135,0.16666666666666666,0.6630636913063691
SDF4,1.9166981460200745,0.4722222222222222,0.8663629460895975
B3GALT6,1.367741289400794,0.1388888888888889,0.6630636913063691
UBE2J2,2.8389780743261492,0.1388888888888889,0.6630636913063691
ACAP3,2.1788260469898435,0.16666666666666666,0.6630636913063691
INTS11,-0.41260852345867804,0.8888888888888888,0.9842040002156449
CPTP,-0.5841012505354728,0.6944444444444444,0.9526327507514194
DVL1,0.018391127045808586,1.0,1.0
AURKAIP1,0.9034410099543795,0.3333333333333333,0.7714672075726842
CCNL2,0.09236789246359756,0.9166666666666666,0.9920484365613835
MRPL20,3.5412628907613444,0.05555555555555555,0.6630636913063691
ANKRD65,1.843096921311243,0.16666666666666666,0.6630636913063691
VWA1,2.0823236002221064,0.16666666666666666,0.6630636913063691
ATAD3C,0.45158963729393364,0.75,0.9526327507514194
ATAD3B,0.5394293924343225,0.6666666666666666,0.9393265826953157
ATAD3A,2.077594149814502,0.16666666666666666,0.6630636913063691
SSU72,0.579769556981212,0.3055555555555556,0.7689432926530413
FNDC10,1.5291225179322678,0.4166666666666667,0.8228048921195339
AL691432.2,0.592579701492173,0.75,0.9526327507514194
MIB2,0.9069988129103403,0.5833333333333334,0.9145140606393699
CDK11B,2.2649431026717863,0.08333333333333333,0.6630636913063691
SLC35E2B,0.5298330044275752,0.7222222222222222,0.9526327507514194
NADK,3.271362169177984,0.05555555555555555,0.6630636913063691
GNB1,0.43558586178488135,0.05555555555555555,0.6630636913063691
FAAP20,-0.29068190709465336,0.8055555555555556,0.9696444353796996
SKI,-0.4312320300586334,0.2222222222222222,0.7242375194388904
RER1,0.4363172556318702,0.3055555555555556,0.7689432926530413
TNFRSF14,1.9830060610676008,0.08333333333333333,0.6630636913063691
FAM213B,-0.4391686730242803,0.3888888888888889,0.8209476821872752
MEGF6,0.5159073707528985,0.75,0.9526327507514194
TPRG1L,0.30855515846200277,0.6944444444444444,0.9526327507514194
WRAP73,2.1051697979812984,0.19444444444444445,0.6998773221170698
TP73-AS1,2.08986360276025,0.2222222222222222,0.7242375194388904
SMIM1,0.9576167424586297,0.6666666666666666,0.9393265826953157
LRRC47,-0.64335829824069,0.4444444444444444,0.8447628037832934
CEP104,-0.047155155701770646,0.8333333333333334,0.9696444353796996
DFFB,0.41380945381956247,0.75,0.9526327507514194
C1orf174,3.119664144858719,0.1111111111111111,0.6630636913063691
NPHP4,-1.7808584611624538,0.4166666666666667,0.8228048921195339
KCNAB2,0.9625950380940607,0.8055555555555556,0.9696444353796996
RPL22,-0.46948678602398886,0.2222222222222222,0.7242375194388904
ICMT,1.6155603470766082,0.16666666666666666,0.6630636913063691
GPR153,1.496282701990617,0.4722222222222222,0.8663629460895975
ACOT7,-0.72187594736865,0.2222222222222222,0.7242375194388904
NOL9,-0.715259074631077,0.5,0.8663629460895975
ZBTB48,-0.5651574645004098,0.7222222222222222,0.9526327507514194
KLHL21,0.4259041875905223,0.9444444444444444,1.0
PHF13,0.9872970714338369,0.6944444444444444,0.9526327507514194
DNAJC11,0.5147624440037979,0.75,0.9526327507514194
CAMTA1,-0.42459130171345283,0.5,0.8663629460895975
VAMP3,-0.16320968203605712,0.6111111111111112,0.9285893964279902
PER3,-0.6382130736741995,0.7222222222222222,0.9526327507514194
UTS2,-0.47554937016226884,0.6388888888888888,0.9393265826953157
TNFRSF9,3.015628169686942,0.2222222222222222,0.7242375194388904
PARK7,0.8327653439055416,0.2222222222222222,0.7242375194388904
Y_RNA,-0.018576587286912805,1.0,1.0
ERRFI1,0.3082579608001259,0.8333333333333334,0.9696444353796996
RERE,-0.3269927454345867,0.3333333333333333,0.7714672075726842
ENO1,0.7117874601582104,0.16666666666666666,0.6630636913063691
GPR157,0.34659086475902945,0.8333333333333334,0.9696444353796996
H6PD,1.0304879006267758,0.2222222222222222,0.7242375194388904
SPSB1,1.9047871572062713,0.25,0.7407166969618281
SLC25A33,0.6740660130774905,0.8333333333333334,0.9696444353796996
TMEM201,2.7325086368863847,0.05555555555555555,0.6630636913063691
PIK3CD,-0.3587467916104332,0.5,0.8663629460895975
PIK3CD-AS2,2.0891969924075453,0.25,0.7407166969618281
CLSTN1,-0.5536721299650189,0.3333333333333333,0.7714672075726842
CTNNBIP1,1.4760340435952142,0.3333333333333333,0.7714672075726842
LZIC,0.05496550903975095,0.9444444444444444,1.0
NMNAT1,0.8272313508112088,0.75,0.9526327507514194
UBE4B,0.2244442567634648,0.5833333333333334,0.9145140606393699
KIF1B,1.378271856724652,0.4444444444444444,0.8447628037832934
PGD,0.7504865607146662,0.6666666666666666,0.9393265826953157
DFFA,0.01185764400806022,0.9444444444444444,1.0
PEX14,0.4373193595216902,0.7777777777777778,0.9616866541443916
CASZ1,2.3082092445836055,0.16666666666666666,0.6630636913063691
TARDBP,-0.9072738574649568,0.05555555555555555,0.6630636913063691
SRM,1.8171257447494202,0.25,0.7407166969618281
EXOSC10,0.3559840792558564,0.4722222222222222,0.8663629460895975
MTOR,3.139886035548069,0.08333333333333333,0.6630636913063691
UBIAD1,2.589220843682063,0.16666666666666666,0.6630636913063691
FBXO44,0.13648469131837526,0.9444444444444444,1.0
FBXO6,2.930697680598048,0.05555555555555555,0.6630636913063691
MAD2L2,4.109951932506445,0.05555555555555555,0.6630636913063691
AGTRAP,2.3529856302976544,0.05555555555555555,0.6630636913063691
MTHFR,2.0819847123916033,0.1111111111111111,0.6630636913063691
CLCN6,1.0001333125158776,0.6111111111111112,0.9285893964279902
KIAA2013,3.5479663253155893,0.1111111111111111,0.6630636913063691
PLOD1,3.034683932497961,0.08333333333333333,0.6630636913063691
MFN2,1.4526912638733296,0.4444444444444444,0.8447628037832934
MIIP,1.7565110273545472,0.3333333333333333,0.7714672075726842
TNFRSF8,1.820733127663614,0.16666666666666666,0.6630636913063691
TNFRSF1B,0.6115049144289482,0.7222222222222222,0.9526327507514194
VPS13D,0.11297532873918303,0.8333333333333334,0.9696444353796996
PRDM2,-0.6074809004784214,0.2777777777777778,0.7530160238642064
