gene,log2FC,p_perm,FDR
MTND1P23,-0.8886715701719101,0.6299212598425197,1.0
MTND2P28,-0.5602132785521983,0.11811023622047244,1.0
MTCO1P12,-0.8696892274147716,0.05511811023622047,1.0
MTCO2P12,-1.1714942398166754,0.1889763779527559,1.0
MTATP6P1,-0.07809596500763405,0.6614173228346457,1.0
MTCO3P12,-1.3407549556031801,0.03937007874015748,1.0
AL669831.4,-1.755068450689747,0.07874015748031496,1.0
LINC01128,0.6901177849844431,0.2677165354330709,1.0
LINC00115,-0.2567472181253192,0.7165354330708661,1.0
NOC2L,-0.7781696518580993,0.29133858267716534,1.0
KLHL17,0.09155205016622947,0.9291338582677166,1.0
PLEKHN1,-0.17154033265667534,1.0,1.0
ISG15,0.36612035191154124,0.7716535433070866,1.0
AL390719.1,1.9318794018796193,0.08661417322834646,1.0
C1orf159,-1.059636833361447,0.29133858267716534,1.0
TTLL10,0.59202132435144,0.6062992125984252,1.0
TNFRSF18,1.2590515312568327,0.41732283464566927,1.0
TNFRSF4,-0.6914999554199319,0.6062992125984252,1.0
SDF4,-0.6575258593788043,0.7874015748031497,1.0
B3GALT6,-1.0554951268902464,0.4251968503937008,1.0
UBE2J2,0.0747491078980147,0.8267716535433071,1.0
ACAP3,0.49107193827149853,0.6692913385826772,1.0
INTS11,-0.42899585153661235,0.7559055118110236,1.0
CPTP,-0.6410075181959378,0.41732283464566927,1.0
DVL1,0.014455351531339033,1.0,1.0
AURKAIP1,-0.22886903155083171,0.905511811023622,1.0
CCNL2,-0.1661737283595901,0.6535433070866141,1.0
AL391244.1,-1.5535987340880277,0.14960629921259844,1.0
MRPL20,0.1656785670805414,0.8740157480314961,1.0
ATAD3B,-0.5492411845814285,0.6692913385826772,1.0
ATAD3A,0.7853683221010637,0.5590551181102362,1.0
SSU72,0.38379620319280505,0.023622047244094488,1.0
AL691432.2,-0.9305475457435055,0.3779527559055118,1.0
MIB2,-0.5780210231610123,0.7244094488188977,1.0
CDK11B,-0.18218797408520793,0.8031496062992126,1.0
SLC35E2B,-0.3332033309956852,0.4881889763779528,1.0
AL031282.1,-0.7679219616304228,0.30708661417322836,1.0
SLC35E2,1.979018957902803,0.07086614173228346,1.0
NADK,-0.37246904548530635,0.905511811023622,1.0
GNB1,0.0972568527203137,0.5905511811023622,1.0
FAAP20,-0.6735581837203801,0.5511811023622047,1.0
SKI,0.3509646951947092,0.5118110236220472,1.0
MORN1,-0.4672908627475658,0.6220472440944882,1.0
RER1,0.30820568735043086,0.25984251968503935,1.0
PLCH2,0.02631091727164181,0.984251968503937,1.0
PANK4,-0.2738440837131484,0.5039370078740157,1.0
AL139246.5,-0.6203595831165254,0.5354330708661418,1.0
TNFRSF14-AS1,-0.7203375391713913,0.4015748031496063,1.0
TNFRSF14,-0.7199538898506788,0.8503937007874016,1.0
FAM213B,0.4317613816400163,0.49606299212598426,1.0
TPRG1L,-1.713366106031541,0.18110236220472442,1.0
WRAP73,-0.07318233141011365,0.9133858267716536,1.0
TP73-AS1,-1.395091004823489,0.12598425196850394,1.0
LRRC47,-0.1576229721225344,0.5196850393700787,1.0
CEP104,-0.19367461913490658,0.5511811023622047,1.0
DFFB,-0.4183701100008461,0.6062992125984252,1.0
