gene,log2FC,p_perm,FDR
CICP27,1.2463502691587398,0.3228346456692913,1.0
AL627309.7,-1.0468652960851141,0.5984251968503937,1.0
MTND1P23,0.6076051962136335,0.7637795275590551,1.0
MTND2P28,-1.959753737949451,0.2283464566929134,1.0
MTCO1P12,0.3112959666750392,0.8582677165354331,1.0
MTCO2P12,-1.2432239641025764,0.3228346456692913,1.0
MTATP6P1,-0.3105142402473726,0.5826771653543307,1.0
MTCO3P12,-1.449429036763901,0.2755905511811024,1.0
AL669831.4,-0.06334385150969979,1.0,1.0
AL645608.8,0.05310259268407469,1.0,1.0
ISG15,-1.319076579755642,0.6692913385826772,1.0
SDF4,-0.6042616366758051,0.8818897637795275,1.0
B3GALT6,-0.4156481825560683,0.7637795275590551,1.0
UBE2J2,-0.4417958567352387,0.8346456692913385,1.0
ACAP3,-0.5472843850438247,0.6377952755905512,1.0
CPTP,1.2391755668155706,0.47244094488188976,1.0
MXRA8,-0.2879974685235267,0.84251968503937,1.0
AURKAIP1,-0.32163641824485323,0.9291338582677166,1.0
CCNL2,2.295898290134394,0.08661417322834646,1.0
MRPL20,-0.8053348263349513,0.6614173228346457,1.0
ANKRD65,2.0679148930967655,0.1732283464566929,1.0
VWA1,2.1177221270269717,0.1732283464566929,1.0
SSU72,0.7448160477915771,0.11811023622047244,1.0
AL691432.2,0.2691890659374092,1.0,1.0
MIB2,-1.1490706713696184,0.29133858267716534,1.0
CDK11B,-1.1931123605629526,0.4015748031496063,1.0
SLC35E2B,-1.7387758400325688,0.2283464566929134,1.0
NADK,-1.4019269079537553,0.08661417322834646,1.0
GNB1,-0.4952380525884834,0.3779527559055118,1.0
FAAP20,-1.2707038689011523,0.29133858267716534,1.0
SKI,-1.031265295985583,0.6850393700787402,1.0
RER1,0.19880680220853542,0.7637795275590551,1.0
PANK4,-0.7117346600904751,0.6062992125984252,1.0
TNFRSF14,0.14501080221811247,0.9212598425196851,1.0
FAM213B,0.3386938117526177,0.84251968503937,1.0
TPRG1L,-2.56583480780907,0.18110236220472442,1.0
WRAP73,0.04593122383134629,0.984251968503937,1.0
LRRC47,-0.8606102188566829,0.5511811023622047,1.0
CEP104,-1.0701049291545985,0.3700787401574803,1.0
C1orf174,-2.1036373586255044,0.09448818897637795,1.0
NPHP4,-0.6018219718632133,0.5905511811023622,1.0
KCNAB2,-2.1094518440291155,0.15748031496062992,1.0
RPL22,-0.7382380909620609,0.4881889763779528,1.0
ICMT,-1.0705401657374438,0.5669291338582677,1.0
ACOT7,-0.10154708188049777,1.0,1.0
NOL9,-0.3872577192312533,0.6062992125984252,1.0
KLHL21,-0.6728761028962653,0.5590551181102362,1.0
PHF13,-0.1685454769591197,0.952755905511811,1.0
CAMTA1,-0.5824446495631417,0.6929133858267716,1.0
VAMP3,0.3104856696637954,0.7952755905511811,1.0
UTS2,-1.8727450158118175,0.2440944881889764,1.0
TNFRSF9,0.6680285628261746,0.6692913385826772,1.0
PARK7,1.2342201460578286,0.4409448818897638,1.0
Y_RNA,-0.7313690288578396,0.937007874015748,1.0
RERE,-0.6068035123953219,0.4094488188976378,1.0
AL096855.1,-0.4915997637318562,0.6850393700787402,1.0
ENO1,0.7528660387672428,0.3779527559055118,1.0
SLC2A5,-1.7306635448560794,0.3464566929133858,1.0
GPR157,-0.08965035085791007,0.9448818897637795,1.0
H6PD,-0.11169602093985098,0.937007874015748,1.0
SPSB1,1.07649481107884,0.4330708661417323,1.0
PIK3CD,-1.2334325471875136,0.8110236220472441,1.0
PIK3CD-AS1,0.9261476825015785,0.44881889763779526,1.0
CLSTN1,1.4390646487058962,0.25984251968503935,1.0
CTNNBIP1,1.4171064554531116,0.5275590551181102,1.0
LZIC,-2.1550996629303296,0.05511811023622047,1.0
RBP7,-0.2758952312346139,0.968503937007874,1.0
UBE4B,-0.9700010646074615,0.6929133858267716,1.0
KIF1B,-0.019463047744233464,0.9763779527559056,1.0
PGD,-0.9651454892926079,0.2047244094488189,1.0
DFFA,-1.0367104790776918,0.3858267716535433,1.0
CASZ1,-0.20830440463280642,0.9212598425196851,1.0
TARDBP,0.040751592346239374,0.984251968503937,1.0
SRM,2.1210123676132495,0.18110236220472442,1.0
EXOSC10,-0.46775357706009646,0.84251968503937,1.0
MTOR,-1.6931087789700725,0.2125984251968504,1.0
FBXO44,-1.1621144299608752,0.2755905511811024,1.0
FBXO6,-2.4163012490679177,0.09448818897637795,1.0
MAD2L2,-1.2386577866422526,0.4094488188976378,1.0
AGTRAP,0.9331262917995868,0.7480314960629921,1.0
MTHFR,-2.107915281985426,0.13385826771653545,1.0
KIAA2013,-0.8713218184479126,0.5433070866141733,1.0
PLOD1,-0.044350128353450646,0.968503937007874,1.0
MFN2,1.6321784268955062,0.1968503937007874,1.0
MIIP,-0.05320694935709014,0.952755905511811,1.0
TNFRSF8,1.06552644485461,0.4094488188976378,1.0
TNFRSF1B,-0.7152657326078904,0.9606299212598425,1.0
VPS13D,1.0086115222056051,0.5511811023622047,1.0
PRDM2,-0.7483727821817672,0.25196850393700787,1.0
KAZN,-0.4999793371207111,0.7559055118110236,1.0
EFHD2,-0.5180087072826076,0.7874015748031497,1.0
CASP9,-1.2508483843725822,0.33858267716535434,1.0
DNAJC16,-0.7967419489374377,0.44881889763779526,1.0
DDI2,0.7368829471597298,0.4566929133858268,1.0
PLEKHM2,-1.4411887935675083,0.29133858267716534,1.0
UQCRHL,-0.11899500738648872,0.9212598425196851,1.0
AL450998.1,2.168147918663542,0.12598425196850394,1.0
FLJ37453,1.9277978911629023,0.07086614173228346,1.0
SPEN,-0.811680466017977,0.16535433070866143,1.0
ZBTB17,1.1881528715432152,0.29133858267716534,1.0
ANO7L1,0.6301568118711762,0.6850393700787402,1.0
FBXO42,-0.7658043422590821,0.5590551181102362,1.0
SZRD1,1.436254467512717,0.3858267716535433,1.0
NECAP2,-0.6982505353480519,0.12598425196850394,1.0
CROCCP2,-0.25569063539818115,0.8818897637795275,1.0
EIF1AXP1,-1.651612242161138,0.2283464566929134,1.0
SDHB,-0.8577605960383012,0.09448818897637795,1.0
PADI2,-1.6748417907144502,0.49606299212598426,1.0
PADI1,1.2999934302074192,0.8818897637795275,1.0
PADI4,-3.5713028282741544,0.18110236220472442,1.0
ARHGEF10L,1.0337832582843125,0.5590551181102362,1.0
IFFO2,0.3109544501253598,0.84251968503937,1.0
UBR4,-0.05910771414740523,0.9921259842519685,1.0
EMC1,-0.6679399463332611,0.5748031496062992,1.0
AKR7A2,0.8747745931293573,0.48031496062992124,1.0
PQLC2,-0.7830613120991627,0.5275590551181102,1.0
CAPZB,-0.06561976029572314,0.8976377952755905,1.0
MINOS1,0.33724078555230363,0.7165354330708661,1.0
AL031727.1,0.437119090581918,0.8346456692913385,1.0
NBL1,-0.48211959890634204,0.6062992125984252,1.0
OTUD3,0.997384192093555,0.4881889763779528,1.0
CAMK2N1,3.0378002992225173,0.05511811023622047,1.0
MUL1,-2.070348776503235,0.09448818897637795,1.0
CDA,-0.30416886483013705,0.8188976377952756,1.0
DDOST,0.21078987068719712,0.8582677165354331,1.0
HP1BP3,-0.2971324829912234,0.5511811023622047,1.0
EIF4G3,-0.8264152515008396,0.7952755905511811,1.0
ECE1,-0.6001959945182236,0.9763779527559056,1.0
AL031728.1,1.2526141940655506,0.33070866141732286,1.0
ALPL,1.5204143159610233,0.5590551181102362,1.0
USP48,-0.14117157021800697,0.84251968503937,1.0
CDC42,-0.3860356627327075,0.3937007874015748,1.0
ZBTB40,0.18308344648294583,0.9212598425196851,1.0
C1QC,0.14174408233813485,0.9212598425196851,1.0
KDM1A,-0.9327861660271739,0.3700787401574803,1.0
LUZP1,-0.5427279374691292,0.6850393700787402,1.0
HNRNPR,1.5815450118662708,0.3858267716535433,1.0
E2F2,0.03983531536489027,1.0,1.0
ID3,-0.6008368413167036,0.7637795275590551,1.0
RPL11,-0.4154290469132924,0.5905511811023622,1.0
ELOA,-0.55894871947781,0.7637795275590551,1.0
PITHD1,1.2854597396379477,0.4251968503937008,1.0
LYPLA2,1.0543956533728038,0.41732283464566927,1.0
FUCA1,0.14103244858519548,0.968503937007874,1.0
PNRC2,-2.695338660358318,0.1889763779527559,1.0
SRSF10,0.3123925735230175,0.6850393700787402,1.0
NIPAL3,1.2349384921677902,0.4330708661417323,1.0
RCAN3,-0.7422426316369659,0.6062992125984252,1.0
SRRM1,-1.1334688710224583,0.03937007874015748,1.0
CLIC4,1.0374572014944925,0.4251968503937008,1.0
RUNX3,-1.3549969026826965,0.3779527559055118,1.0
SYF2,-0.35320605078235,0.31496062992125984,1.0
RSRP1,-1.137555410322042,0.11023622047244094,1.0
TMEM50A,0.07380904912935637,0.8346456692913385,1.0
TMEM57,-0.08704803879100087,0.905511811023622,1.0
LDLRAP1,-1.2327753481507648,0.4094488188976378,1.0
MAN1C1,0.517038018263221,0.6850393700787402,1.0
MTFR1L,-0.8204300158031697,0.4645669291338583,1.0
PAQR7,-1.2223303276951727,0.29133858267716534,1.0
STMN1,-1.167639559295575,0.5275590551181102,1.0
PDIK1L,2.1689657249668985,0.09448818897637795,1.0
CEP85,-0.34378672397948185,0.6850393700787402,1.0
SH3BGRL3,-0.94626790013226,0.29133858267716534,1.0
CD52,-0.5336338118005628,0.8818897637795275,1.0
DHDDS,0.09244753836593667,0.9606299212598425,1.0
HMGN2,-2.4561435244041543,0.11811023622047244,1.0
RPS6KA1,-0.8160462710041863,0.8346456692913385,1.0
ARID1A,-0.2830646343447141,0.3228346456692913,1.0
ZDHHC18,0.04875830861637809,0.968503937007874,1.0
SFN,1.220313460468101,0.48031496062992124,1.0
NUDC,1.0992025625709956,0.4015748031496063,1.0
KDF1,1.3698588906384839,0.3700787401574803,1.0
FAM46B,2.1333603015430898,0.29133858267716534,1.0
SLC9A1,1.2371369289407825,0.3779527559055118,1.0
NPM1P39,-0.9773202510213714,0.4094488188976378,1.0
WDTC1,-1.9119220372382655,0.1968503937007874,1.0
TMEM222,-1.1786744163889125,0.4645669291338583,1.0
SYTL1,0.24673568688209713,0.7952755905511811,1.0
GPR3,-1.6753923124311545,0.09448818897637795,1.0
WASF2,-0.24885290325789544,0.7637795275590551,1.0
AHDC1,0.7412806561780021,0.5905511811023622,1.0
FGR,-0.8863938303598182,0.6456692913385826,1.0
AL031729.1,-1.0560778634318144,0.29133858267716534,1.0
IFI6,-0.24812774031458407,0.8818897637795275,1.0
AL020997.1,0.02421861134522052,1.0,1.0
STX12,1.202463368237015,0.07874015748031496,1.0
PPP1R8,-0.35063885279781837,0.8110236220472441,1.0
