gene,log2FC,p_perm,FDR
MTND1P23,2.32391763776579,0.031496062992125984,0.44041450777202074
MTND2P28,-0.12806257604068438,0.7795275590551181,0.9275793650793651
MTCO1P12,2.138306030196314,0.031496062992125984,0.44041450777202074
MTCO2P12,0.08860356477398978,0.8740157480314961,0.957673568818514
MTATP6P1,0.3051656071783153,0.2677165354330709,0.6577150659990898
MTCO3P12,0.9765616395500571,0.3228346456692913,0.6950538492221779
LINC01128,1.210015050110981,0.15748031496062992,0.5678022712090849
NOC2L,-0.22870823720589017,0.8267716535433071,0.9436455910340452
KLHL17,1.426313502361785,0.1889763779527559,0.5982404692082112
PLEKHN1,1.884828521387067,0.031496062992125984,0.44041450777202074
ISG15,-0.4930956416812875,0.7480314960629921,0.9175093739347802
TNFRSF18,-0.14039891673523464,0.84251968503937,0.9457211188520328
TNFRSF4,-0.0014873791569536277,1.0,1.0
SDF4,2.5756156084296338,0.1968503937007874,0.6062767475035663
B3GALT6,1.6122159176160231,0.11811023622047244,0.5266418835192069
UBE2J2,2.873170696384176,0.031496062992125984,0.44041450777202074
ACAP3,0.8813323364426808,0.4645669291338583,0.7925094816687737
INTS11,1.8921843342844449,0.06299212598425197,0.46008119079837617
CPTP,-0.023794797603052142,0.9606299212598425,0.9841510866470532
TAS1R3,0.36583969357236734,0.7165354330708661,0.9081836327345308
DVL1,0.4124811893573894,0.7165354330708661,0.9081836327345308
MXRA8,-0.791407746382214,0.5669291338582677,0.8530805687203792
AURKAIP1,1.2366868425971989,0.4881889763779528,0.806056898133986
CCNL2,0.20308386746825047,0.5590551181102362,0.8479696501334832
MRPL20,0.8159149074657694,0.6535433070866141,0.8846394984326018
ATAD3C,1.9440783637318364,0.1732283464566929,0.5854727614276769
ATAD3B,0.1472814531908735,0.8582677165354331,0.9498667213450892
ATAD3A,1.6927551859647392,0.1889763779527559,0.5982404692082112
SSU72,0.7177452818929133,0.06299212598425197,0.46008119079837617
AL691432.2,-0.42129234847084485,0.7007874015748031,0.9013463600619563
MIB2,1.3016467278203474,0.3700787401574803,0.7239942007973904
CDK11B,0.20917899910745463,0.8346456692913385,0.944048616932104
SLC35E2B,-0.713950962927608,0.2755905511811024,0.6615521458750278
NADK,2.012152987688266,0.07874015748031496,0.4730105731775181
GNB1,0.18382855340461468,0.6299212598425197,0.8758371973209685
FAAP20,1.006746948699199,0.3858267716535433,0.733920704845815
SKI,-0.16620550678264223,0.937007874015748,0.9755979938271605
RER1,-0.3905895753401438,0.5196850393700787,0.8271896195812445
PANK4,1.7259083727781628,0.023622047244094488,0.44041450777202074
TNFRSF14,1.25587712743648,0.31496062992125984,0.688537869582827
FAM213B,1.510816840266052,0.2283464566929134,0.6317273193234239
TPRG1L,0.9330141064241593,0.47244094488188976,0.797373358348968
WRAP73,-0.014797740745879917,0.984251968503937,0.9970908408408409
TP73-AS1,1.5954419439217242,0.06299212598425197,0.46008119079837617
SMIM1,0.8794795714966859,0.3858267716535433,0.733920704845815
LRRC47,-0.30185636356027157,0.4251968503937008,0.763600066544668
CEP104,-0.5939360726161844,0.5196850393700787,0.8271896195812445
DFFB,0.5321097737168399,0.5433070866141733,0.8412220309810671
C1orf174,0.6037764559750762,0.6850393700787402,0.895603730168342
NPHP4,1.4688143427170115,0.023622047244094488,0.44041450777202074
KCNAB2,1.7840525176052724,0.31496062992125984,0.688537869582827
RPL22,-1.0456753667383127,0.015748031496062992,0.44041450777202074
ICMT,1.9784028507497329,0.15748031496062992,0.5678022712090849
ACOT7,0.4489167890331349,0.6692913385826772,0.8895592218665354
NOL9,2.358310640262232,0.023622047244094488,0.44041450777202074
ZBTB48,0.4870027332792304,0.6220472440944882,0.872531185031185
KLHL21,2.2532068578782307,0.11811023622047244,0.5266418835192069
PHF13,0.3184651724700789,0.7637795275590551,0.9209203618898694
THAP3,1.619083643418528,0.023622047244094488,0.44041450777202074
DNAJC11,0.5284239507086688,0.44881889763779526,0.7803188919310678
CAMTA1,-0.052263732757033665,0.937007874015748,0.9755979938271605
VAMP3,0.9105702156911231,0.5354330708661418,0.8359849580561182
UTS2,-0.5283459171466818,0.7086614173228346,0.9060760393225157
PARK7,0.3069893935261634,0.5669291338582677,0.8530805687203792
Y_RNA,1.7795319866703152,0.14960629921259844,0.5561294765840221
ERRFI1,-1.0518209027837293,0.2755905511811024,0.6615521458750278
RERE,0.41447875002732104,0.11811023622047244,0.5266418835192069
ENO1,2.375119824148422,0.03937007874015748,0.44041450777202074
SLC2A5,1.7117189959225856,0.1968503937007874,0.6062767475035663
GPR157,0.9297337153875338,0.4015748031496063,0.7465128293438953
H6PD,2.058456790636269,0.05511811023622047,0.44871794871794873
SPSB1,1.1907841998174815,0.2992125984251969,0.6785714285714287
SLC25A33,1.7094443376991344,0.09448818897637795,0.5009823182711198
TMEM201,-0.7264835133799966,0.7401574803149606,0.914187643020595
PIK3CD,-0.8763577202587429,0.4409448818897638,0.7749918593292088
PIK3CD-AS2,-0.2266509457033763,0.8818897637795275,0.9596774193548387
CLSTN1,2.197445659958026,0.08661417322834646,0.4887611082070047
CTNNBIP1,1.2125247532433567,0.23622047244094488,0.6360688450985283
LZIC,0.8980181834380336,0.48031496062992124,0.7999074359765505
NMNAT1,0.7378463442435259,0.3700787401574803,0.7239942007973904
UBE4B,2.263807860395389,0.023622047244094488,0.44041450777202074
KIF1B,2.1712155434618796,0.05511811023622047,0.44871794871794873
PGD,0.7328667677773932,0.8267716535433071,0.9436455910340452
CENPS,0.5664360205576874,0.3779527559055118,0.7289619438985171
DFFA,0.6232285177386698,0.5905511811023622,0.8640552995391704
PEX14,0.33444411306406296,0.8110236220472441,0.9366641703220284
TARDBP,-0.19212227388563452,0.6692913385826772,0.8895592218665354
SRM,2.834382754863643,0.1732283464566929,0.5854727614276769
EXOSC10,1.5881448848121527,0.11811023622047244,0.5266418835192069
MTOR,1.2612878232374776,0.3228346456692913,0.6950538492221779
UBIAD1,-1.1371261335832803,0.1968503937007874,0.6062767475035663
FBXO44,1.1377594452888888,0.41732283464566927,0.7570156276256091
FBXO6,2.1637399538878466,0.031496062992125984,0.44041450777202074
MAD2L2,1.7343447581286515,0.2992125984251969,0.6785714285714287
AGTRAP,0.20077374648379687,0.8188976377952756,0.9399255715045188
MTHFR,2.0058248210276983,0.023622047244094488,0.44041450777202074
KIAA2013,0.6849268458950943,0.7244094488188977,0.9104668762370475
PLOD1,1.5090615507181795,0.18110236220472442,0.5900996076063991
MFN2,1.4596247534536309,0.08661417322834646,0.4887611082070047
MIIP,0.28541255573904056,0.7795275590551181,0.9275793650793651
TNFRSF1B,1.2370806288704475,0.3543307086614173,0.7157559880239521
VPS13D,1.7448881030545396,0.11811023622047244,0.5266418835192069
PRDM2,-0.505349291552629,0.06299212598425197,0.46008119079837617
EFHD2,0.443356680096306,0.8818897637795275,0.9596774193548387
CASP9,-0.1756813987991226,0.9212598425196851,0.9709069608513131
DNAJC16,-0.7882286823776061,0.16535433070866143,0.5767366720516963
AGMAT,0.5344544759935218,0.3858267716535433,0.733920704845815
DDI2,1.2598978452909098,0.1732283464566929,0.5854727614276769
PLEKHM2,0.5241955021786615,0.6692913385826772,0.8895592218665354
UQCRHL,-0.32977038348441834,0.6062992125984252,0.8671171171171171
AL450998.1,1.2603710784996736,0.18110236220472442,0.5900996076063991
SPEN,2.0913768626902858,0.031496062992125984,0.44041450777202074
ZBTB17,0.10768130636819939,0.8976377952755905,0.9642892374469765
ANO7L1,-1.0373470073700417,0.6456692913385826,0.8808290155440415
FBXO42,1.2786893301353506,0.2755905511811024,0.6615521458750278
SZRD1,0.8345634287319403,0.6141732283464567,0.8723684210526316
NECAP2,0.7300467871048997,0.6062992125984252,0.8671171171171171
RNU1-1,0.11183051196546567,0.905511811023622,0.9642892374469765
CROCCP2,2.876785193149176,0.015748031496062992,0.44041450777202074
EIF1AXP1,0.04571349938432778,0.8976377952755905,0.9642892374469765
SDHB,1.1560529685016032,0.4881889763779528,0.806056898133986
RCC2,0.6641424128273012,0.5196850393700787,0.8271896195812445
IFFO2,0.558616452207886,0.5905511811023622,0.8640552995391704
UBR4,-0.5786827937485439,0.4566929133858268,0.7849068619646553
EMC1,2.285403040800386,0.07086614173228346,0.4639175257731959
MRTO4,0.10436267607649663,0.952755905511811,0.9802706824247045
AKR7A2,1.4203951813513207,0.25984251968503935,0.6539986010725111
PQLC2,-0.2045955952995997,0.84251968503937,0.9457211188520328
CAPZB,0.2113529260307132,0.6614173228346457,0.8887229275578791
MINOS1,1.955288109629621,0.015748031496062992,0.44041450777202074
AL031727.1,-0.22361432415829707,0.889763779527559,0.9627142427583442
NBL1,-0.8026769397209867,0.5669291338582677,0.8530805687203792
TMCO4,-0.682016397678527,0.08661417322834646,0.4887611082070047
OTUD3,-0.6230851411447507,0.6535433070866141,0.8846394984326018
PLA2G2D,0.8309103264634958,0.41732283464566927,0.7570156276256091
MUL1,0.6484258912769896,0.6377952755905512,0.8799846625766872
PINK1-AS,1.4762067559407928,0.023622047244094488,0.44041450777202074
DDOST,-0.2419004053801599,0.7637795275590551,0.9209203618898694
HP1BP3,0.36541994203818184,0.48031496062992124,0.7999074359765505
EIF4G3,1.565733273489014,0.031496062992125984,0.44041450777202074
ECE1,2.2470657728649863,0.12598425196850394,0.5369127516778524
ALPL,0.6039135742561654,0.5590551181102362,0.8479696501334832
USP48,0.2852263265925963,0.6220472440944882,0.872531185031185
HSPG2,1.6047679457552924,0.11023622047244094,0.5214723926380368
LINC00339,1.122644005448713,0.2283464566929134,0.6317273193234239
CDC42,0.09413487893012462,0.7952755905511811,0.931835449907739
ZBTB40,1.7973354313454633,0.08661417322834646,0.4887611082070047
C1QC,0.954741988024128,0.3464566929133858,0.7125166698418747
C1QB,0.7621223359531504,0.4881889763779528,0.806056898133986
KDM1A,0.2751393957148296,0.8188976377952756,0.9399255715045188
LUZP1,1.3825740388752712,0.16535433070866143,0.5767366720516963
HNRNPR,0.2856454948462632,0.5511811023622047,0.844211123723042
E2F2,2.1163076219584815,0.03937007874015748,0.44041450777202074
ID3,2.0794320321694455,0.14173228346456693,0.5535455861070911
RPL11,-0.4322751372634084,0.023622047244094488,0.44041450777202074
ELOA,1.5446336420447073,0.13385826771653545,0.5438464433571698
PITHD1,0.43965496591885156,0.9133858267716536,0.9683755647220585
LYPLA2,1.7007386280683714,0.16535433070866143,0.5767366720516963
GALE,1.0995136302863926,0.15748031496062992,0.5678022712090849
HMGCL,1.3823527841598582,0.08661417322834646,0.4887611082070047
FUCA1,0.8354405431920935,0.4566929133858268,0.7849068619646553
PNRC2,0.10371982310927486,0.8110236220472441,0.9366641703220284
SRSF10,1.6689245055568191,0.14960629921259844,0.5561294765840221
IFNLR1,1.567115367783232,0.047244094488188976,0.44041450777202074
STPG1,-0.7536286011296807,0.6456692913385826,0.8808290155440415
NIPAL3,1.055647695471424,0.25196850393700787,0.6470028544243578
RCAN3,0.10002292935085277,0.9606299212598425,0.9841510866470532
NCMAP,2.0404312260501456,0.03937007874015748,0.44041450777202074
SRRM1,-0.568285398523475,0.15748031496062992,0.5678022712090849
CLIC4,0.024756141922884112,0.9133858267716536,0.9683755647220585
RUNX3,1.015347578250804,0.6220472440944882,0.872531185031185
SYF2,-0.3114797373904601,0.47244094488188976,0.797373358348968
RSRP1,-0.27002301946827956,0.6220472440944882,0.872531185031185
TMEM50A,-0.15784580415768712,0.7322834645669292,0.9140841813135985
TMEM57,0.12853676043634987,0.7165354330708661,0.9081836327345308
LDLRAP1,1.234115514874338,0.29133858267716534,0.6740248606943849
MAN1C1,0.43663562033176073,0.5984251968503937,0.8653717347622238
SELENON,-0.7833920623189723,0.4409448818897638,0.7749918593292088
MTFR1L,-0.6493398365273104,0.3228346456692913,0.6950538492221779
PAQR7,-0.11084926198759537,0.905511811023622,0.9642892374469765
STMN1,2.266936186645793,0.03937007874015748,0.44041450777202074
PAFAH2,-0.46927839428861295,0.5590551181102362,0.8479696501334832
PDIK1L,2.785427012932747,0.023622047244094488,0.44041450777202074
CNKSR1,1.6920961948589532,0.15748031496062992,0.5678022712090849
CEP85,1.3800126773389736,0.1889763779527559,0.5982404692082112
SH3BGRL3,1.7114916679454737,0.2283464566929134,0.6317273193234239
CD52,-0.504257269102931,0.4566929133858268,0.7849068619646553
DHDDS,1.251597673791423,0.2440944881889764,0.6389427740058196
HMGN2,0.36202409290160986,0.7952755905511811,0.931835449907739
RPS6KA1,2.710484568278494,0.015748031496062992,0.44041450777202074
ARID1A,0.3785169345074699,0.05511811023622047,0.44871794871794873
PIGV,0.7728362107210598,0.36220472440944884,0.7196760537456286
ZDHHC18,1.47091992580825,0.2440944881889764,0.6389427740058196
SFN,2.070342873242322,0.015748031496062992,0.44041450777202074
GPN2,-0.8602614809107454,0.41732283464566927,0.7570156276256091
GPATCH3,0.9735383486213052,0.14173228346456693,0.5535455861070911
NUDC,0.7358002359353568,0.7007874015748031,0.9013463600619563
SLC9A1,-0.08309222508211711,0.937007874015748,0.9755979938271605
NPM1P39,1.6720983153956523,0.1732283464566929,0.5854727614276769
