gene,log2FC,p_perm,FDR
MTND1P23,-0.41064296060208605,0.36220472440944884,1.0
MTND2P28,-0.4744579739487511,0.33070866141732286,1.0
MTCO1P12,-0.0502767747046553,0.9291338582677166,1.0
MTCO2P12,-0.5769287387959348,0.3543307086614173,1.0
MTATP6P1,-0.08349445529239574,0.6141732283464567,1.0
MTCO3P12,-1.1926497971028622,0.05511811023622047,1.0
AL669831.4,-0.8235822703466229,0.09448818897637795,1.0
LINC01128,0.04199176489395384,0.9606299212598425,1.0
LINC00115,-0.20145588572819895,0.7637795275590551,1.0
NOC2L,0.5289401622315855,0.5118110236220472,1.0
KLHL17,0.8561122352563499,0.4251968503937008,1.0
PLEKHN1,0.0619060495296444,1.0,1.0
ISG15,-0.8433408368794684,0.6535433070866141,1.0
AL390719.1,0.8989774068785953,0.2677165354330709,1.0
C1orf159,0.48157585267675285,0.7165354330708661,1.0
TNFRSF18,1.3010126909195017,0.36220472440944884,1.0
TNFRSF4,0.808068071908421,0.5826771653543307,1.0
SDF4,0.5111371724073805,0.6377952755905512,1.0
B3GALT6,0.04216424701212418,0.937007874015748,1.0
UBE2J2,-0.37690925228402783,0.4645669291338583,1.0
ACAP3,0.28093877392362954,0.7716535433070866,1.0
INTS11,-0.4856468241537919,0.7007874015748031,1.0
CPTP,0.6424596288652218,0.36220472440944884,1.0
DVL1,-0.10672265329525565,0.9291338582677166,1.0
MXRA8,-1.0206672582295,0.11023622047244094,1.0
AURKAIP1,0.4450074281054519,0.49606299212598426,1.0
CCNL2,-0.20441876355880595,0.5590551181102362,1.0
AL391244.1,0.052798542735070786,0.952755905511811,1.0
MRPL20,-0.5353398780248408,0.2992125984251969,1.0
ATAD3C,-0.027990885540358335,0.9291338582677166,1.0
ATAD3B,-0.14812614088364873,0.9291338582677166,1.0
ATAD3A,-1.1255013506118705,0.2440944881889764,1.0
SSU72,0.2789905966292734,0.023622047244094488,1.0
AL645728.1,-1.2416681796525717,0.14173228346456693,1.0
AL691432.2,-0.22156757406825545,0.7322834645669292,1.0
MIB2,-1.142590330292185,0.3464566929133858,1.0
CDK11B,0.5793992718759142,0.4330708661417323,1.0
SLC35E2B,-1.015093467975106,0.031496062992125984,1.0
SLC35E2,0.09490951304096718,0.8582677165354331,1.0
NADK,-0.04579275653370818,0.968503937007874,1.0
GNB1,0.17506315107371329,0.047244094488188976,1.0
FAAP20,1.2650549915575597,0.31496062992125984,1.0
SKI,-0.00472181725751053,0.984251968503937,1.0
RER1,-0.3341116970851772,0.29133858267716534,1.0
PLCH2,0.40283981448029427,0.7007874015748031,1.0
PANK4,0.21287257265434034,0.7795275590551181,1.0
AL139246.5,0.6491561274484414,0.5039370078740157,1.0
TNFRSF14-AS1,-0.2601152144422456,0.7244094488188977,1.0
TNFRSF14,-0.3353457862532432,0.5354330708661418,1.0
AL139246.3,-0.4769500249024716,0.5196850393700787,1.0
FAM213B,-0.1322262027533032,0.8661417322834646,1.0
TPRG1L,-0.10908208164928901,0.7244094488188977,1.0
WRAP73,-0.339912446517447,0.47244094488188976,1.0
TP73-AS1,-0.4525639286887517,0.13385826771653545,1.0
LRRC47,0.350773530998004,0.25984251968503935,1.0
CEP104,0.09096026402892043,0.6535433070866141,1.0
DFFB,-0.32915709508692714,0.5118110236220472,1.0
C1orf174,-0.08075988093343156,0.8818897637795275,1.0
KCNAB2,0.1604920398397125,0.7165354330708661,1.0
RPL22,-0.14396774552369074,0.3700787401574803,1.0
RNF207,0.5234466416031314,0.5905511811023622,1.0
ICMT,-0.297802678207594,0.6535433070866141,1.0
ACOT7,1.5110872077964836,0.08661417322834646,1.0
TNFRSF25,0.42545077041214796,0.5511811023622047,1.0
NOL9,-0.10811899901345612,0.8031496062992126,1.0
ZBTB48,0.4028475074724751,0.6692913385826772,1.0
KLHL21,-0.09136210911915654,0.7795275590551181,1.0
PHF13,0.5334603618559646,0.23622047244094488,1.0
DNAJC11,0.5977398067348263,0.5039370078740157,1.0
CAMTA1,0.21874492338676443,0.2047244094488189,1.0
VAMP3,0.06239527372762055,0.8582677165354331,1.0
PER3,-1.1570336751659824,0.25984251968503935,1.0
UTS2,0.43958000091905625,0.5748031496062992,1.0
TNFRSF9,2.051132505172829,0.2204724409448819,1.0
PARK7,0.09478139535150909,0.6299212598425197,1.0
Y_RNA,0.4773214192148152,0.30708661417322836,1.0
ERRFI1,0.7565349447642218,0.4251968503937008,1.0
RERE,-0.07774679593343325,0.8031496062992126,1.0
AL096855.1,-0.5197662185164407,0.5118110236220472,1.0
ENO1,0.33207466175849554,0.25196850393700787,1.0
CA6,-0.7064042078953535,0.3700787401574803,1.0
GPR157,-0.17433546814204082,0.7322834645669292,1.0
H6PD,0.10738752369035698,0.7637795275590551,1.0
SPSB1,1.689486679399904,0.023622047244094488,1.0
SLC25A33,-0.15117840972046404,0.7086614173228346,1.0
TMEM201,0.4551900556306139,0.6377952755905512,1.0
PIK3CD,-0.15830295118882987,0.4881889763779528,1.0
CLSTN1,-0.08354899133911164,0.9291338582677166,1.0
CTNNBIP1,-0.13014446476742858,0.84251968503937,1.0
LZIC,0.4094869754045831,0.5669291338582677,1.0
NMNAT1,0.7151773631482334,0.29133858267716534,1.0
UBE4B,0.23946534245581486,0.41732283464566927,1.0
KIF1B,0.8795119229776862,0.6771653543307087,1.0
PGD,0.6177586661123593,0.1732283464566929,1.0
DFFA,0.00673873587681495,0.968503937007874,1.0
PEX14,0.48482151459694833,0.4251968503937008,1.0
CASZ1,1.4017928311461503,0.08661417322834646,1.0
TARDBP,-0.2632964508458624,0.4330708661417323,1.0
SRM,0.009895808809491147,0.984251968503937,1.0
EXOSC10,-0.14462280725844234,0.5433070866141733,1.0
MTOR,0.9343896200839694,0.05511811023622047,1.0
UBIAD1,0.3448922361747666,0.5984251968503937,1.0
FBXO2,0.8921987806496401,0.3228346456692913,1.0
FBXO44,0.4081365101376111,0.5669291338582677,1.0
FBXO6,1.3377797181788833,0.2125984251968504,1.0
MAD2L2,0.7501186627749674,0.4015748031496063,1.0
AGTRAP,-0.34418586889275327,0.5196850393700787,1.0
MTHFR,-0.658855772166512,0.09448818897637795,1.0
CLCN6,-0.02317234727139139,0.9448818897637795,1.0
RNU5E-4P,-0.31124109966865077,0.5905511811023622,1.0
KIAA2013,0.3160830667806236,0.4015748031496063,1.0
PLOD1,0.5514005585748123,0.5118110236220472,1.0
MFN2,0.07182374495163746,0.8346456692913385,1.0
MIIP,0.5682461190312167,0.6220472440944882,1.0
TNFRSF8,2.14248356651516,0.11023622047244094,1.0
TNFRSF1B,0.7034755571722151,0.2125984251968504,1.0
VPS13D,0.32829597060834104,0.4881889763779528,1.0
DHRS3,-0.8989280620461702,0.5275590551181102,1.0
PRDM2,-0.11656262922096428,0.7559055118110236,1.0
EFHD2,0.05931706996976427,0.905511811023622,1.0
CASP9,0.6279984907032703,0.06299212598425197,1.0
DNAJC16,-0.10146097774405671,0.84251968503937,1.0
AGMAT,0.4908937474442534,0.6299212598425197,1.0
DDI2,0.01221088035189588,0.9921259842519685,1.0
PLEKHM2,0.5880977125937363,0.5905511811023622,1.0
UQCRHL,-0.08411556121404917,0.8110236220472441,1.0
AL450998.1,0.43226054222111454,0.6220472440944882,1.0
FLJ37453,1.3506295007428992,0.11023622047244094,1.0
SPEN,-0.09298124395609442,0.7401574803149606,1.0
ZBTB17,-0.3921891272596132,0.6692913385826772,1.0
MT1XP1,-0.6044059002970579,0.5118110236220472,1.0
FBXO42,0.00696048961444351,1.0,1.0
SZRD1,0.7379166381513143,0.2677165354330709,1.0
AL358794.1,-0.624770894380729,0.4330708661417323,1.0
NECAP2,0.4002139343093658,0.4409448818897638,1.0
NBPF1,-0.9319000488750171,0.10236220472440945,1.0
CROCCP2,0.1854737335430281,0.6141732283464567,1.0
MST1P2,0.26163474242140916,0.7716535433070866,1.0
EIF1AXP1,0.10183192961121534,0.8503937007874016,1.0
CROCC,-0.35742972487805424,0.8582677165354331,1.0
BX284668.5,0.14182978196120222,0.8740157480314961,1.0
ATP13A2,1.5112274499575042,0.25984251968503935,1.0
SDHB,-0.19130513828401519,0.33070866141732286,1.0
RCC2,0.31105601444317443,0.6456692913385826,1.0
IFFO2,0.684849062260195,0.3779527559055118,1.0
UBR4,-0.34844698081803127,0.30708661417322836,1.0
EMC1,0.22552699665438247,0.4330708661417323,1.0
MRTO4,0.6888445421988729,0.5826771653543307,1.0
AKR7A2,0.13840333567797813,0.5984251968503937,1.0
PQLC2,0.9317917690376372,0.25984251968503935,1.0
CAPZB,0.4256194382209184,0.31496062992125984,1.0
MINOS1,-0.24436120496460223,0.49606299212598426,1.0
AL031727.1,-0.36673645652893505,0.8503937007874016,1.0
NBL1,-1.2107934957353947,0.36220472440944884,1.0
TMCO4,0.28630544245267053,0.7716535433070866,1.0
OTUD3,-0.3339984104593623,0.6062992125984252,1.0
UBXN10-AS1,1.5398488259801129,0.15748031496062992,1.0
CAMK2N1,0.03160594101892222,0.8110236220472441,1.0
MUL1,0.4887677187255546,0.6062992125984252,1.0
PINK1-AS,-0.9609055002549356,0.2440944881889764,1.0
DDOST,0.1451378280404274,0.7637795275590551,1.0
HP1BP3,0.08950201456476492,0.5669291338582677,1.0
EIF4G3,0.725127277449082,0.023622047244094488,1.0
ECE1,0.47639920152726134,0.1968503937007874,1.0
NBPF2P,-1.3425884423998238,0.03937007874015748,1.0
USP48,0.05771764744944807,0.8976377952755905,1.0
LINC00339,-0.9584204810137722,0.03937007874015748,1.0
CDC42,0.30370978782512204,0.06299212598425197,1.0
ZBTB40,0.0328011636109915,0.905511811023622,1.0
C1QC,0.5644960936863973,0.47244094488188976,1.0
KDM1A,-0.07202494436640006,0.7322834645669292,1.0
LUZP1,0.06276496344077032,0.7952755905511811,1.0
HNRNPR,0.10401127418214351,0.7401574803149606,1.0
ZNF436,0.23773913878661723,0.7637795275590551,1.0
TCEA3,1.4915280978615426,0.1732283464566929,1.0
ID3,-0.46420438453996127,0.41732283464566927,1.0
MDS2,-0.04437004878755024,1.0,1.0
RPL11,-0.08626900099035595,0.4094488188976378,1.0
ELOA,-0.1404056137946803,0.6929133858267716,1.0
