cell_type,main_log2FC,ext_log2FC
Endothelial,4.033868143498261,-0.8960048962874869
Epithelial,2.741388759968808,-0.9615820441717536
Mast cell,1.3723524660792992,-0.0677151507305348
Plasma cell,1.1336417217820098,2.400094202760987
Neutrophil,0.6495706271653071,0.2076109055280676
B cell,-0.3483285266943337,0.6104671592515876
Fibroblast,-0.6072844964184149,-0.6322834762886074
T cell (CD4),-0.6983391539658493,0.8186844215500718
T cell (CD8),-0.7709267307641844,0.9864134822074904
NK cell,-1.4255557351716095,0.8536276173805372
