cell_type,n_genes,spearman_lfc,n_main_up_DEG,replication_rate,direction_concordance
B_cell,17677,0.001196655954296196,8,0.25,0.49166666666666664
Endothelial,17677,0.007957693920171049,87,0.735632183908046,0.71900826446281
Epithelial,17677,-0.061902272110161735,1,1.0,0.2727272727272727
Fibroblast,17677,-0.02384005004615389,1206,0.7213930348258707,0.6383799421407907
Mast_cell,17677,-0.04289213168232605,32,0.28125,0.41379310344827586
NK_cell,17677,-0.034733149642056205,200,0.135,0.5880149812734082
Neutrophil,17677,-0.04063303374166236,39,0.358974358974359,0.7121212121212122
Plasma_cell,17677,0.10049966712161794,95,0.7578947368421053,0.7598039215686274
T_cell_(CD4),17677,0.006640752209487843,46,0.6086956521739131,0.5672514619883041
T_cell_(CD8),17677,-0.09816246377072999,79,0.12658227848101267,0.3756476683937824
