gene,log2FC,score,pval_adj,loso_robustness
RPL37A,1.134584665298462,13.072189331054688,1.3455186789770725e-34,0.5555555555555556
ACTG1,1.7119287252426147,12.792037010192871,2.5738668797161508e-33,1.0
TMSB4X,0.9317446351051331,10.801871299743652,1.3653740275289362e-23,
ACTB,0.8641300797462463,10.09496021270752,1.64804874969661e-20,
HLA-DQA2,2.3603036403656006,8.408015251159668,5.90878230856082e-14,1.0
RPS20,0.6235305070877075,8.32309341430664,1.1564600470195045e-13,
RPS11,0.8224608898162842,8.258182525634766,1.858097837610074e-13,
RPL37,0.8135322332382202,8.255867004394531,1.858097837610074e-13,
KLF6,1.1774306297302246,7.646942615509033,2.16020794005177e-11,1.0
RAC2,0.896888792514801,7.616182327270508,2.644520628891212e-11,
RPS8,0.5401630997657776,7.562930583953857,3.851060735610343e-11,
AC116533.1,0.9125455021858215,7.333302021026611,1.9885999587281666e-10,
B2M,0.44193702936172485,7.2194390296936035,4.3510781975025305e-10,
RPS6,0.39813345670700073,6.983609199523926,2.2034875637338363e-09,
BTF3,0.8836857676506042,6.891244888305664,4.124530589157126e-09,
HLA-DPA1,0.6398537158966064,5.6794328689575195,7.364973474263192e-06,
HLA-DPB1,0.6384478211402893,5.629323482513428,9.321878760329978e-06,
PFDN5,0.7876365184783936,5.577229022979736,1.2366933723394584e-05,
ARL6IP5,1.2009485960006714,5.435003280639648,2.677320435032601e-05,1.0
ARPC5,1.1151177883148193,5.386960983276367,3.441938876838382e-05,0.8888888888888888
AC099560.2,0.716422975063324,5.366123199462891,3.737355241905516e-05,
RPS4Y1,1.6416802406311035,5.311052322387695,4.902831934896544e-05,0.4444444444444444
EEF1B2P6,1.0758458375930786,5.210419178009033,8.34292794751786e-05,0.0
HLA-A,0.4432016611099243,5.1629557609558105,0.00010597948463122208,
ACTR2,0.6607417464256287,5.080927848815918,0.00015652956413002306,
SEPT7,0.8945638537406921,5.067697525024414,0.0001653751419051069,
PTP4A2,0.8765479922294617,4.988150596618652,0.00024331667443427328,
RPS16,0.4146782159805298,4.893636703491211,0.0003808468478009765,
HLA-DRA,0.345975399017334,4.674923419952393,0.0010548692379330823,
AL161909.1,0.7519109845161438,4.647883892059326,0.0011879624990923884,
HLA-DQB1,0.7525705695152283,4.627624988555908,0.0012940882916160131,
SMIM14,0.93116694688797,4.556842803955078,0.0017312871502714385,
CCDC50,1.1164559125900269,4.536914825439453,0.0018810227364037693,
RPS15A,0.5946033000946045,4.470763206481934,0.0024403905555309274,
RPS17,0.3964386284351349,4.376249313354492,0.003640018882179873,
AC034236.1,0.6570148468017578,4.2476677894592285,0.006310762238946457,
HLA-DRB6,1.20546555519104,4.23832368850708,0.006512040601860517,
KLF2,0.6798033714294434,4.2284836769104,0.006701520368468543,
RPL6P27,0.47957921028137207,4.227077960968018,0.006701520368468543,
RPL3P4,0.49224919080734253,4.176802635192871,0.008105681514717255,
RPS3,0.41441869735717773,4.08997917175293,0.01142597198097676,
ARHGDIB,0.5598492622375488,4.073193073272705,0.012168174964049362,
NEAT1,0.8632463216781616,4.059218406677246,0.012801221010264669,
MYL6,0.8383933901786804,4.045657634735107,0.013320978957180067,
MCL1,0.7262209057807922,4.025315761566162,0.01439693561416265,
TNFAIP8,0.836424708366394,3.9398152828216553,0.01975116617441871,
PARP1,0.8430953621864319,3.9309675693511963,0.02018729701356357,
ACTR3,0.6048749685287476,3.899876356124878,0.022355719831699997,
NACA,0.47258931398391724,3.875565528869629,0.024311502862612525,
FAM107B,0.707850992679596,3.8098275661468506,0.030788489329928708,
RPL23,0.3321404755115509,3.795604944229126,0.032246149619850985,
COX7C,0.7465960383415222,3.7278826236724854,0.04145552466911104,
MALAT1,0.2827757000923157,3.696460485458374,0.04623617767982172,
TOMM7,0.510786235332489,3.682734251022339,0.04843780979206727,
TPM3,0.5145874619483948,3.6714882850646973,0.05024797047080026,
PTPRC,0.3623717129230499,3.649245023727417,0.054080468327492984,
SNRPD2,0.8641780018806458,3.5410046577453613,0.07844521562340412,
ARPC3,0.7357436418533325,3.4985849857330322,0.08886192934345197,
UQCRB,0.7459153532981873,3.493292808532715,0.08954051728955785,
RPS25,0.4350115954875946,3.4628632068634033,0.09899386138209557,
BANK1,0.5102887749671936,3.42325496673584,0.11386387095647682,
SET,0.5936074256896973,3.4053940773010254,0.11932820450807931,
SP110,0.5622574687004089,3.373476028442383,0.13305105932876973,
HLA-C,0.41894644498825073,3.363884210586548,0.13527701091491173,
NDUFB3,1.9463485479354858,3.3192319869995117,0.15496763375904948,
EEF1B2,0.5407159328460693,3.3157589435577393,0.1550917518293056,
EIF4A2,0.3916921317577362,3.294342517852783,0.16445328764319406,
ATP6V0E1,0.7454602122306824,3.2812774181365967,0.1702614014895434,
UQCRH,0.9444909691810608,3.2770602703094482,0.17182598616729658,
ATP5E,0.4161059260368347,3.26664137840271,0.17623846896449064,
STK17B,0.4802338480949402,3.264078140258789,0.17683033307343426,
RPS27A,0.25579115748405457,3.205368757247925,0.21003491517645745,
DDX5,0.44221049547195435,3.11515474319458,0.2801119434382871,
RPL11,0.23656700551509857,3.0852210521698,0.3049829159902766,
SP140,0.7894938588142395,3.0818309783935547,0.30685423491792996,
RPL10A,0.35087063908576965,3.077531099319458,0.3096860838839515,
ARPC5L,1.18663489818573,3.0733139514923096,0.3124606501916956,
HINT1,0.5739461779594421,3.0685179233551025,0.31587478637475436,
MT-RNR2,0.19520416855812073,3.0534684658050537,0.33044518430641345,
RPS3AP6,0.38267776370048523,3.0427188873291016,0.34072384900370917,
TLR10,0.9426900744438171,3.035194158554077,0.34755894542679444,
COMMD6,0.5526126027107239,3.0319693088531494,0.34951047444335165,
VASP,0.8959996104240417,2.9771461486816406,0.4061624188958549,
NPM1,0.40262922644615173,2.953662395477295,0.4299139978781259,
ARPC2,0.4920891523361206,2.8724615573883057,0.5368430486637172,
HLA-DMA,0.49845418334007263,2.8440990447998047,0.5843238860976789,
COX7A2,1.038815975189209,2.8203673362731934,0.623571311394971,
MT-ATP6,0.19527558982372284,2.817638397216797,0.6260233209410958,
MARCKS,0.8938857913017273,2.778526544570923,0.6939378158209843,
MT-CYB,0.2616799771785736,2.7588462829589844,0.7232955096958662,
ATP5G3,0.9501628279685974,2.7569446563720703,0.7232955096958662,
AHNAK,0.5119644999504089,2.7459468841552734,0.7434248166103942,
PLEK,0.7688089609146118,2.7368509769439697,0.7609864868146905,
NDUFA1,0.7087087035179138,2.7335433959960938,0.7626483170013457,
RPSA,0.48962971568107605,2.7302358150482178,0.7664733263733817,
MS4A1,0.3441045582294464,2.7223803997039795,0.7815955015941876,
ARF6,0.4769337475299835,2.6984832286834717,0.8329065866089882,
PPP1R18,0.5479313731193542,2.693521738052368,0.8418530322872311,
SUB1,0.5349369645118713,2.6659862995147705,0.9017964524941999,
SNHG5,0.6975982785224915,2.659867286682129,0.9116463622086104,
RASSF2,0.9384486675262451,2.6309261322021484,0.9775472278968633,
AC004453.1,0.42554521560668945,2.629354953765869,0.9775472278968633,
RPS7P1,0.40873199701309204,2.616786241531372,1.0,
RPS7P11,0.8375204801559448,2.5980982780456543,1.0,
CYSLTR1,0.9271447062492371,2.5963618755340576,1.0,
UHMK1,0.6282339692115784,2.5899949073791504,1.0,
ENSA,0.6810893416404724,2.5855295658111572,1.0,
HMGN1,0.45401525497436523,2.5841238498687744,1.0,
PTPN1,0.5848203897476196,2.5779221057891846,1.0,
RPL9P9,0.3436640501022339,2.5510480403900146,1.0,
PTPN18,0.9031336903572083,2.5410428047180176,1.0,
BASP1,0.5748229622840881,2.5289700031280518,1.0,
RGS1,0.7050952315330505,2.523843288421631,1.0,
REEP5,0.8140420913696289,2.523181915283203,1.0,
RAN,0.5367171168327332,2.508463144302368,1.0,
PRR13,0.6307711005210876,2.504328727722168,1.0,
GAPT,0.7182121872901917,2.478860378265381,1.0,
CALM2,0.4496455490589142,2.4638936519622803,1.0,
BOD1L1,0.5776998400688171,2.4617435932159424,1.0,
DUSP4,1.476527452468872,2.4293293952941895,1.0,
CLIC1,0.7906439900398254,2.4270968437194824,1.0,
SPCS1,0.7462926506996155,2.4205644130706787,1.0,
LSM8,0.9836339354515076,2.4198203086853027,1.0,
YWHAB,0.3330309987068176,2.410641670227051,1.0,
PRPF38B,0.5055518746376038,2.394186496734619,1.0,
RPL19,0.41608521342277527,2.3887290954589844,1.0,
MSN,0.42165276408195496,2.3728525638580322,1.0,
EIF3E,0.5396996736526489,2.369875907897949,1.0,
VIM,0.45164933800697327,2.3688008785247803,1.0,
ANXA2,0.986814022064209,2.3519322872161865,1.0,
LBH,0.4919937252998352,2.343167304992676,1.0,
AP002784.2,0.7612163424491882,2.3302676677703857,1.0,
EVI2B,0.36100611090660095,2.3286964893341064,1.0,
SRP14,0.6044597625732422,2.3228256702423096,1.0,
HNRNPA2B1,0.35949504375457764,2.303393602371216,1.0,
ATP5A1,0.7147690653800964,2.2918171882629395,1.0,
MOB1A,0.36996227502822876,2.280571460723877,1.0,
PRPF40A,0.5868560671806335,2.2648603916168213,1.0,
MT-ND4,0.20365628600120544,2.26180100440979,1.0,
HCLS1,0.4608162045478821,2.2343480587005615,1.0,
RPS23P8,0.3213326930999756,2.232280731201172,1.0,
GAPDHP1,1.0370618104934692,2.2307097911834717,1.0,
ATP5H,0.9652374386787415,2.2303788661956787,1.0,
AC136632.1,0.3589214086532593,2.2038357257843018,1.0,
AC026403.1,0.9514320492744446,2.196476459503174,1.0,
YBX1,0.35215893387794495,2.1892824172973633,1.0,
RPS3AP26,0.42286157608032227,2.1837422847747803,1.0,
MBP,0.6878860592842102,2.1699330806732178,1.0,
TPT1,0.18011927604675293,2.167121648788452,1.0,
CD1C,1.5628657341003418,2.1548008918762207,1.0,
CBX3,0.5173557996749878,2.153064489364624,1.0,
VDAC1,1.1399734020233154,2.152402877807617,1.0,
CD86,1.3281090259552002,2.137932300567627,1.0,
SRRM1,0.4923039674758911,2.1288363933563232,1.0,
ATP2B1,0.4551495611667633,2.125115394592285,1.0,
