gene,log2FC,score,pval_adj,loso_robustness
HLA-DRB6,2.8174920082092285,19.560367584228516,9.540057856201799e-81,1.0
HLA-DQA2,2.9737861156463623,19.042949676513672,1.065139351250957e-76,1.0
ANXA2,1.6030256748199463,14.27752685546875,2.1405386760749894e-42,1.0
VIM,1.1057593822479248,13.884978294372559,4.4279366505952525e-40,0.7777777777777778
HLA-DRA,0.7984277606010437,13.280876159667969,1.4116502784734094e-36,
S100A10,1.4481091499328613,11.70529556274414,3.86234254913159e-28,0.7777777777777778
MT-ATP6,0.5135415196418762,11.703251838684082,3.86234254913159e-28,
FPR3,2.29645037651062,11.46303653717041,4.7773928109738825e-27,1.0
ANXA5,1.177260398864746,11.260306358337402,4.491536541097796e-26,1.0
PKM,1.2527711391448975,11.148149490356445,1.4799235323860322e-25,0.8888888888888888
CSTB,1.281961441040039,10.985347747802734,8.49235767111075e-25,
S100A11,1.1936031579971313,10.91820240020752,1.67101045851184e-24,
LGALS3,1.4568347930908203,10.857538223266602,3.0611538379455988e-24,
CAPG,1.3471635580062866,10.757694244384766,8.583159712979995e-24,
MT-CO1,0.5544673800468445,10.668566703796387,2.130088226775949e-23,
MT-ND4,0.47942131757736206,10.516531944274902,1.0271939264988265e-22,
LIMS1,1.3340164422988892,10.264352798461914,1.3765000953792923e-21,
TPSB2,2.049391031265259,10.243317604064941,1.6335155005651166e-21,
HLA-DPA1,0.8373226523399353,10.203339576721191,2.3603901915057923e-21,
RAB31,1.1059263944625854,10.162065505981445,3.457425759222157e-21,
ARHGDIB,0.8941723108291626,10.126923561096191,4.756942780779796e-21,
LMNA,1.9548401832580566,10.114860534667969,5.1739866443667836e-21,
HLA-DPB1,0.8921720385551453,10.056438446044922,9.032270505815203e-21,
MT-CO3,0.559579610824585,10.035054206848145,1.0805911472474188e-20,
MT-CO2,0.5091709494590759,10.03171443939209,1.0805911472474188e-20,
TMEM176A,2.0249688625335693,10.025981903076172,1.1070042364813276e-20,
YWHAH,1.4829200506210327,9.985506057739258,1.612571798330396e-20,
ARL6IP5,1.0122170448303223,9.897674560546875,3.773221669862129e-20,
LGALS1,1.4130743741989136,9.889798164367676,3.958480570605502e-20,
CD63,1.098326325416565,9.86103630065918,5.118696797047608e-20,
TUBA1A,1.534972906112671,9.845783233642578,5.787656375536131e-20,
MT-ND5,0.563977062702179,9.802066802978516,8.507050682736949e-20,
