gene,log2FC,score,pval_adj,loso_robustness
COL4A1,2.398153066635132,6.9979071617126465,1.4304263822688308e-08,1.0
TPT1,0.8162657618522644,6.976393699645996,1.4304263822688308e-08,
SELE,3.1075503826141357,6.907736301422119,1.9936412222322775e-08,1.0
NAP1L1,1.4319645166397095,6.881487846374512,2.0981687235111575e-08,0.875
COL15A1,1.9639384746551514,6.730997562408447,5.305808922449212e-08,0.875
MT-CO1,1.200649380683899,6.68035364151001,6.755058192109093e-08,1.0
IGKC,2.3311171531677246,6.515761375427246,1.7079420318529792e-07,1.0
FDCSP,3.7738468647003174,6.350139617919922,4.689445240901921e-07,1.0
TGM2,3.431926727294922,6.212001323699951,1.0589477068675135e-06,1.0
PCDH17,2.3888213634490967,6.172885894775391,1.2668387615929768e-06,
MYL12B,1.6168948411941528,6.0297040939331055,2.9093563655918503e-06,
RPL37A,1.0516608953475952,5.945297718048096,4.60016898057401e-06,
RAI14,2.061831474304199,5.827128887176514,8.87784076483373e-06,
SOX4,2.5000901222229004,5.612304210662842,2.977833810295896e-05,
RPLP1,1.3134506940841675,5.505663871765137,5.211253152091376e-05,
HSPA1A,1.9029399156570435,5.381524562835693,9.513859079744926e-05,
COL4A2,1.7261532545089722,5.309882164001465,0.0001351598783385579,
SELP,2.4880893230438232,5.26819372177124,0.0001586400962297048,
FKBP1A,0.9297664761543274,5.263664722442627,0.0001586400962297048,
HSP90B1,1.2785075902938843,5.258106231689453,0.0001586400962297048,
IGFBP7,1.305910587310791,5.246062755584717,0.00016308985546847825,
UBA52,1.5767792463302612,5.197683334350586,0.00020423035386933812,
HSPA5,1.5854398012161255,5.15012788772583,0.0002458966727936453,
TXN,1.8943283557891846,5.061912536621094,0.0003564453271090451,
ENO1,1.7240750789642334,5.0268120765686035,0.0004037908075791101,
RPLP0,1.4520337581634521,5.009004592895508,0.0004306924330980514,
APLNR,1.731466293334961,4.954860687255859,0.0005290294001877621,
MAP1B,2.2680888175964355,4.953728675842285,0.0005290294001877621,
COL6A2,4.563056945800781,4.953728675842285,0.0005290294001877621,
RAB13,1.6653858423233032,4.947655200958252,0.0005321551027295477,
TPM4,1.036566138267517,4.927377223968506,0.0005760472803796161,
PABPC1,1.0833886861801147,4.891761779785156,0.0006743152277866745,
