gene,log2FC,score,pval_adj,loso_robustness
TNFSF10,2.2262144088745117,5.151344299316406,0.0018323021053490488,
FOS,2.025804042816162,4.169005870819092,0.06669065967572989,
RPL37A,1.0157228708267212,3.8643386363983154,0.1578349801628804,
KRT6A,0.8230409026145935,3.7456986904144287,0.21241549728220827,
RPS12,0.9965591430664062,3.7105813026428223,0.22538653381656243,
CLCA2,2.55576491355896,3.5577731132507324,0.33988807041792324,
KRT5,1.7361807823181152,3.553027391433716,0.33988807041792324,
S100A11,0.8947919011116028,3.546858072280884,0.33988807041792324,
RPL31,0.8911994099617004,3.4144561290740967,0.45436290784474004,
RPS20,0.6521154046058655,3.2597496509552,0.6196272240298956,
RPL6P27,1.3181513547897339,3.2293777465820312,0.6510616264909809,
CTSC,4.469790935516357,3.207548141479492,0.6782453448895479,
FXYD3,1.243658423423767,3.1102633476257324,0.868384038223375,
PERP,0.6886937618255615,3.077993392944336,0.8927635605618383,
RPL10A,1.460076093673706,3.060434579849243,0.9077351579578467,
CLEC2B,1.5253965854644775,3.0490450859069824,0.9163074082704307,
S100A8,0.618803083896637,3.0371811389923096,0.9399174587914629,
GJB2,1.7181384563446045,2.985928773880005,1.0,
KRT14,1.7958629131317139,2.9721665382385254,1.0,
RPL39P3,1.0991346836090088,2.9081010818481445,1.0,
S100A6,0.7015566229820251,2.85400128364563,1.0,
EEF1A1,0.9411743879318237,2.8279004096984863,1.0,
JUN,1.6503500938415527,2.771902322769165,1.0,
PKM,1.1840765476226807,2.691701889038086,1.0,
HNRNPA2B1,1.1622296571731567,2.688380002975464,1.0,
PTMA,0.9189632534980774,2.6176705360412598,1.0,
CXCL6,2.1743645668029785,2.6010608673095703,1.0,
CD47,1.2820008993148804,2.575434684753418,1.0,
CD9,0.8007949590682983,2.550757646560669,1.0,
EIF4G2,0.8079947829246521,2.5270297527313232,1.0,
DSC3,1.8219786882400513,2.526555061340332,1.0,
PDIA3,1.416774868965149,2.5127928256988525,1.0,
RAN,1.7249550819396973,2.5056746006011963,1.0,
RPS3,1.0059765577316284,2.4999797344207764,1.0,
MT-CYB,0.71934574842453,2.492861270904541,1.0,
RPLP1,0.9061553478240967,2.483844757080078,1.0,
