gene,log2FC,score,pval_adj,loso_robustness
CALD1,3.0357730388641357,24.821474075317383,1.862425577630582e-132,1.0
PRRX1,2.752898931503296,23.95797348022461,2.1626212263232962e-123,0.3333333333333333
COL5A2,2.964698553085327,23.850061416625977,2.604983206208461e-122,0.5555555555555556
COL6A3,2.927264451980591,23.5323486328125,3.8531379082717567e-119,1.0
COL3A1,3.309438705444336,23.01807975769043,5.804940347004137e-114,0.6666666666666666
COL6A1,2.785126209259033,22.970626831054688,1.5283117625830215e-113,1.0
CD63,2.3012123107910156,22.204126358032227,4.673326109471036e-106,0.0
CAV1,4.000995635986328,22.11580467224121,3.0053492495882365e-105,1.0
FN1,2.595012903213501,21.92523956298828,1.9225114267329696e-103,
COL4A1,3.929287910461426,21.837831497192383,1.2500869112481637e-102,
COL4A2,3.6842494010925293,21.78180694580078,3.912872787606734e-102,
LAMB1,2.8539655208587646,21.60438346862793,1.7145699618324193e-100,
VIM,1.5466206073760986,21.200307846069336,9.270957822910454e-97,
LAMC1,2.5275232791900635,21.104434967041016,6.840445174282486e-96,
IGFBP7,2.691433906555176,21.098899841308594,7.441909550245477e-96,
TIMP2,2.47438645362854,21.022024154663086,3.54200818246928e-95,
FOS,2.119797468185425,20.91962242126465,2.8736767909266477e-94,
SPARC,3.3080523014068604,20.874345779418945,7.211787742575641e-94,
LAMA4,2.490129232406616,20.493864059448242,1.5729496966671056e-90,
NID1,2.3338615894317627,20.416988372802734,7.439067301868948e-90,
RAB31,2.4452083110809326,20.39820671081543,1.0686527674806355e-89,
CAVIN1,2.3457508087158203,20.253562927246094,1.9924685317841362e-88,
MARCKS,2.2615814208984375,20.202455520629883,5.49935835703589e-88,
DDR2,2.516099691390991,20.160968780517578,1.2470291152510456e-87,
PXDN,2.856978178024292,20.0406436920166,1.3535853467725899e-86,
LOXL2,2.921921491622925,19.866363525390625,4.335974618645147e-85,
DSTN,2.211958646774292,19.81920623779297,1.086985938102289e-84,
SERPINH1,2.179324150085449,19.816734313964844,1.1205637061188316e-84,
APP,2.046553611755371,19.649091720581055,2.9785078814586716e-83,
IFITM3,2.100071668624878,19.51277732849121,4.251161253430912e-82,
TCF4,2.3685061931610107,19.34946060180664,9.728998355522893e-81,
ANXA5,1.9023387432098389,19.326486587524414,1.493988930804067e-80,
APCDD1,3.1227376461029053,19.261890411376953,5.047265799770934e-80,
FSTL1,2.2197821140289307,19.234025955200195,8.506847696495611e-80,
EPAS1,3.1550872325897217,19.15618324279785,3.7472452082236105e-79,
LUM,2.536129951477051,19.146617889404297,4.4346501355712856e-79,
CNN3,2.083552360534668,19.09811782836914,1.09087754440788e-78,
EMP1,2.5443131923675537,18.977792739868164,1.024560614562838e-77,
MYO1B,3.3159220218658447,18.732681274414062,1.0128917987742295e-75,
CFH,2.2280023097991943,18.611309051513672,9.701687740513887e-75,
GPM6B,3.6857998371124268,18.580434799194336,1.7030491813537854e-74,
CHN1,2.6477162837982178,17.970399856567383,1.1346038369335402e-69,
ANXA2,1.8857260942459106,17.922679901123047,2.6157523508284497e-69,
ANTXR1,2.0071909427642822,17.89682960510254,4.1133679300841274e-69,
CRTAP,1.788112998008728,17.851016998291016,9.140097169763487e-69,
C1R,2.1931381225585938,17.819551467895508,1.5691813744695022e-68,
CALU,1.8901119232177734,17.633716583251953,4.2272689779233073e-67,
S100A6,1.7206356525421143,17.6296329498291,4.4945692872977087e-67,
POSTN,2.49873685836792,17.598356246948242,7.727111628961428e-67,
TPM4,1.487169861793518,17.593034744262695,8.397673747187802e-67,
AHR,2.014482259750366,17.546335220336914,1.8728650912862496e-66,
OLFML2B,2.004392385482788,17.50815200805664,3.5185443376957033e-66,
CD59,2.018803834915161,17.506298065185547,3.5990194822742383e-66,
NOTCH3,3.2606568336486816,17.504981994628906,3.647100671934299e-66,
EGR1,2.1674652099609375,17.4832706451416,5.286872215462247e-66,
PRSS23,2.034717321395874,17.44500732421875,1.0236660712523538e-65,
COL5A1,2.080960750579834,17.436193466186523,1.1829774774322387e-65,
C1S,2.1773977279663086,17.42442512512207,1.43960199614868e-65,
CRISPLD2,1.9977564811706543,17.39537811279297,2.3467524995668228e-65,
SPATS2L,1.8613052368164062,17.375682830810547,3.278429478494122e-65,
EDNRA,3.3967580795288086,17.254470825195312,2.668159432895591e-64,
GUCY1A3,3.703153371810913,17.242244720458984,3.2671588246451333e-64,
DPYSL2,2.279071092605591,17.2183837890625,4.891289845688975e-64,
SDC2,1.9848428964614868,17.068931579589844,6.12275447822691e-63,
PALLD,1.9403610229492188,17.057941436767578,7.266160615049206e-63,
CDH11,1.9629276990890503,17.00675392150879,1.7139639252563124e-62,
PMP22,2.0273284912109375,16.99896240234375,1.9416262836038275e-62,
CPE,2.8415114879608154,16.524864196777344,5.338046142202299e-59,
MAP3K20,2.391852617263794,16.46763038635254,1.3663406473348395e-58,
WNT5A,2.413947820663452,16.371246337890625,6.638348433674191e-58,
FILIP1L,2.2909042835235596,16.352893829345703,8.905371508338976e-58,
LAPTM4A,1.678210973739624,16.322397232055664,1.457373630589214e-57,
SCARB2,1.78009831905365,16.164426803588867,1.8726791959058595e-56,
NR2F2,3.04599928855896,16.02359962463379,1.808706235308011e-55,
TNFRSF21,3.5321571826934814,15.793133735656738,6.923292093041173e-54,
MXRA5,1.9010047912597656,15.755273818969727,1.2434811788179253e-53,
LHFPL6,2.2917702198028564,15.743773460388184,1.481189556559189e-53,
CTSB,1.4609620571136475,15.66684341430664,4.948243345236171e-53,
PMEPA1,1.822326898574829,15.642284393310547,7.2299300761297815e-53,
DCN,2.2176308631896973,15.576855659484863,1.9889498401027744e-52,
RCN1,1.9152230024337769,15.417757034301758,2.2882727072884368e-51,
TGFBI,3.066561460494995,15.405665397644043,2.741362546627266e-51,
PDGFRB,2.105893611907959,15.317234992980957,1.0656227622289703e-50,
LGALS3,1.6649607419967651,15.219078063964844,4.739209837206711e-50,
NREP,2.410818338394165,15.196560859680176,6.642361540344083e-50,
SH3PXD2A,1.8030121326446533,15.155717849731445,1.2224850683921082e-49,
COL12A1,2.0048627853393555,15.148920059204102,1.3473592513717326e-49,
CLIC4,2.0211265087127686,15.098511695861816,2.8796293973460518e-49,
COL1A2,1.9342434406280518,15.08859634399414,3.326267865127864e-49,
UACA,2.8906357288360596,15.028621673583984,8.140144704122469e-49,
LEPROT,1.5502570867538452,15.023463249206543,8.746581088083362e-49,
SEMA5A,2.621385097503662,15.017793655395508,9.470939484495558e-49,
RHOQ,2.49682354927063,15.003068923950195,1.175516407445568e-48,
VSTM4,2.44454026222229,14.983776092529297,1.562596325136915e-48,
RHOBTB3,2.149221658706665,14.939788818359375,2.9912284473537385e-48,
FMOD,1.735316514968872,14.85772705078125,1.0154969768158803e-47,
GUCY1B3,3.308361530303955,14.678072929382324,1.4263345374605806e-46,
PHLDA1,2.037710666656494,14.598321914672852,4.5570636168082656e-46,
ARHGEF12,2.1870381832122803,14.591362953186035,5.018600210058619e-46,
GNG12,1.9540659189224243,14.579217910766602,5.963032976379542e-46,
RAB13,2.9102964401245117,14.461069107055664,3.3055327864528386e-45,
FBN1,1.5594674348831177,14.428099632263184,5.30496771521305e-45,
COL5A3,2.4250237941741943,14.42087173461914,5.859014899145104e-45,
MYL6,1.2211742401123047,14.34453296661377,1.7469163478541604e-44,
TUBA1A,1.6897696256637573,14.23299503326416,8.483838388187553e-44,
KDELR2,1.4798059463500977,14.172859191894531,1.9704995988332274e-43,
IL13RA1,2.2472305297851562,14.061321258544922,9.54068585663485e-43,
THY1,1.7022521495819092,14.060864448547363,9.553479751367604e-43,
