gene,log2FC,score,pval_adj,loso_robustness
CLU,1.6464011669158936,7.739973545074463,2.817960445399123e-10,1.0
S100A11,2.127640962600708,7.535584926605225,6.888521661653721e-10,1.0
CD44,1.1357662677764893,6.507209300994873,3.0994683298637896e-07,1.0
TPSB2,0.9229371547698975,6.414305210113525,5.011276765874182e-07,
CST3,1.8651877641677856,6.207772254943848,1.5229627952777147e-06,0.8888888888888888
CD52,2.140317916870117,5.841873645782471,1.2189767697418556e-05,1.0
VIM,0.7622279524803162,5.800066947937012,1.4450373431123674e-05,
LAPTM5,1.311159610748291,5.694299221038818,2.5075884019500577e-05,0.8888888888888888
TAGLN2,1.1258039474487305,5.663569450378418,2.8009519970703124e-05,0.8888888888888888
CAPG,1.0094237327575684,5.521712303161621,5.9460860244859555e-05,0.4444444444444444
IL2RG,2.6639575958251953,5.500987529754639,6.295755812929127e-05,
PKM,1.6178663969039917,5.222275733947754,0.0002636088209423888,
HLA-A,0.8815050721168518,5.115793228149414,0.0004215106680460073,
IFITM2,1.0731849670410156,5.098641872406006,0.0004215106680460073,
CAVIN1,1.5019290447235107,5.058264255523682,0.0004914159150482097,
RHOA,1.1228697299957275,5.053619384765625,0.0004914159150482097,
PFN1,1.047325611114502,5.0428996086120605,0.0004997801958047706,
LGALS1,1.878699541091919,5.017887115478516,0.0005483378186867461,
ITM2A,1.3308360576629639,4.948566436767578,0.000756673102351319,
ITGA2B,2.4354114532470703,4.8456573486328125,0.0011536098025377128,
TPSAB1,0.9472635984420776,4.768117904663086,0.0016468037563490627,
RAC2,0.5398960113525391,4.738102912902832,0.0017266850856110726,
TMSB4X,0.6132622957229614,4.734172344207764,0.0017266850856110726,
TNFAIP3,1.401100516319275,4.734172344207764,0.0017266850856110726,
RPS15,1.4408811330795288,4.729884624481201,0.0017266850856110726,
S100A4,0.8043283224105835,4.729169845581055,0.0017266850856110726,
TPM4,1.003477692604065,4.693437576293945,0.0020035073448971315,
S100A6,0.9698853492736816,4.638052463531494,0.0024917589852752986,
ARPC2,1.0691430568695068,4.47404146194458,0.005026862209458116,
GNAI2,1.290122151374817,4.470468044281006,0.005026862209458116,
ADAM12,1.3697177171707153,4.401862144470215,0.006758901819471493,
CD74,1.247248649597168,4.38399600982666,0.007178513622540115,
LCP1,0.8930152058601379,4.223557949066162,0.01355448961697403,
TNFSF10,1.1602680683135986,4.221771240234375,0.01355448961697403,
NSMCE1,1.576150894165039,4.2210564613342285,0.01355448961697403,
FAM129B,1.2765201330184937,4.22034215927124,0.01355448961697403,
GPR183,2.289180040359497,4.177463054656982,0.01606485322127512,
BANF1,1.3157942295074463,4.141016006469727,0.01848828179766045,
TIMP1,1.4201792478561401,4.123864650726318,0.019552216604512406,
SSR4,1.24198317527771,3.9816501140594482,0.033439265158292104,
FKBP1A,1.1424555778503418,3.9773623943328857,0.033470735906169086,
BCL2A1,2.4393601417541504,3.970930576324463,0.03381431444490355,
CFL1,0.71306312084198,3.9355554580688477,0.03856170059174717,
CLCN3,1.0827898979187012,3.8197829723358154,0.06105189768946869,
MYL12B,0.965587317943573,3.770472288131714,0.07245938806442141,
SERF2,1.1874655485153198,3.744030475616455,0.07714318124324195,
PPP1R18,1.0888092517852783,3.7243776321411133,0.08041608517651197,
MYH9,0.9796344041824341,3.7150871753692627,0.0820004006215566,
TMEM176B,1.3843179941177368,3.712228536605835,0.0820004006215566,
PLP2,1.0571606159210205,3.6832854747772217,0.09062460074446499,
TSC22D1,1.1611266136169434,3.6546995639801025,0.09995640436013563,
HSPA5,0.9461988806724548,3.620039224624634,0.11052393078905676,
HLA-B,0.7664431929588318,3.6161086559295654,0.11052393078905676,
CD81,1.037034273147583,3.615036725997925,0.11052393078905676,
KLF6,0.9357967376708984,3.596813201904297,0.11703989066336222,
RGS10,1.0455644130706787,3.5910961627960205,0.11812345269002589,
TDRD3,2.4375298023223877,3.5846643447875977,0.11954670546975499,
ALOX5AP,0.8946049213409424,3.5625102519989014,0.12392424790579641,
CHSY1,1.344009518623352,3.5625102519989014,0.12392424790579641,
NUCB1,1.2521110773086548,3.5128424167633057,0.1460909537805691,
MT2A,2.1276934146881104,3.4978349208831787,0.15278678617153718,
P2RX1,1.1421433687210083,3.4906883239746094,0.15514888365240165,
CTSB,0.8396509289741516,3.465318441390991,0.16863423273486045,
TPSD1,1.3117352724075317,3.4506680965423584,0.17506933208570102,
CTSD,0.8933625221252441,3.4492390155792236,0.17506933208570102,
MRPL52,3.5706188678741455,3.4453084468841553,0.1757043469194821,
LIF,1.0955322980880737,3.4392337799072266,0.17680242770114396,
ACTR3,0.7389516830444336,3.437804698944092,0.17680242770114396,
ENO1,1.0906339883804321,3.4342312812805176,0.17726396043660655,
DUSP2,1.3792921304702759,3.4156506061553955,0.18783397461462495,
PTMS,1.6246144771575928,3.39456844329834,0.20081787533892764,
MBOAT7,1.0856740474700928,3.3770596981048584,0.21026891369707856,
KRT1,1.987818956375122,3.376344919204712,0.21026891369707856,
FAM107B,1.0881567001342773,3.369555950164795,0.21336269202945193,
AKAP12,1.0740911960601807,3.3656253814697266,0.2138372686386616,
ATP5J2,1.3462371826171875,3.363481283187866,0.2138372686386616,
SH3BGRL3,1.3922845125198364,3.359550952911377,0.2147966457957307,
RPN1,1.3511213064193726,3.3234612941741943,0.24226516076215468,
UNC5B,2.1235129833221436,3.316314697265625,0.24617963363421028,
ALOX5,0.9458574652671814,3.2816543579101562,0.27590421615831845,
HS3ST1,1.0834649801254272,3.278081178665161,0.2768093295498412,
LGALS3,0.8379318714141846,3.2702200412750244,0.2804568214870964,
CNIH1,1.2499098777770996,3.269148111343384,0.2804568214870964,
COX7C,0.8999465703964233,3.2616443634033203,0.2820441851347359,
CD22,1.0208252668380737,3.2605724334716797,0.2820441851347359,
IL1RL1,0.7055885791778564,3.245922088623047,0.29359920588338534,
UBA52,0.8570966124534607,3.242706298828125,0.2943284247779204,
AC114491.1,1.0921149253845215,3.2298426628112793,0.30521937972506963,
GFRA3,3.0671281814575195,3.20947527885437,0.3220897509865098,
ALS2,1.1114979982376099,3.206259250640869,0.32295115846609684,
TRIR,0.9411320090293884,3.200899362564087,0.3262541411231522,
RPS16,0.6136288046836853,3.1651670932769775,0.3643456717149866,
APOBEC3C,1.0546375513076782,3.152303457260132,0.37627642899987596,
RPL18,0.907094419002533,3.1405117511749268,0.3870469589595116,
TMED9,1.1028313636779785,3.139082670211792,0.3870469589595116,
GRN,1.3624169826507568,3.1369385719299316,0.3870469589595116,
ERGIC1,1.2173926830291748,3.129434823989868,0.3939186612060998,
ANXA2,1.8845348358154297,3.1262190341949463,0.39511635252197086,
AL157895.1,0.8133434653282166,3.1147844791412354,0.4043893735756284,
SMIM3,1.7274491786956787,3.1083526611328125,0.4101162403467049,
OST4,1.012585997581482,3.0847694873809814,0.4406822444927332,
NUTF2,1.3856723308563232,3.0769083499908447,0.44904347480161355,
HSPB1,1.345440149307251,3.0529677867889404,0.4828077482006946,
ACSL4,0.6032193303108215,3.0368881225585938,0.501776873367164,
MYL6,0.7128682732582092,3.0279550552368164,0.5086116371875767,
ARL6IP5,0.7382073998451233,3.0261685848236084,0.5086116371875767,
RPS2,0.7911835312843323,2.9993691444396973,0.5437454270003,
