gene,log2FC,score,pval_adj,loso_robustness
IGKC,3.142056703567505,22.834598541259766,5.891590869224794e-111,1.0
FDCSP,3.3470101356506348,19.4217586517334,4.7732268726371744e-80,1.0
VIM,1.954422116279602,18.051979064941406,5.392411702836177e-69,1.0
RPS28P7,2.003761053085327,17.481460571289062,1.1009863215930443e-64,0.5555555555555556
JUND,1.7362420558929443,17.472253799438477,1.1009863215930443e-64,0.3333333333333333
RPL28,2.09621262550354,16.72179412841797,3.2214460824999766e-59,0.5555555555555556
RPLP1,1.493408203125,14.386117935180664,1.9915401090571367e-43,0.4444444444444444
RGS1,2.027498483657837,13.79027271270752,8.265233899434165e-40,1.0
RPS15,1.8727209568023682,12.960184097290039,5.300742259482509e-35,
TPSB2,4.826015472412109,12.923877716064453,7.795018632498725e-35,
CD74,1.3350392580032349,12.747615814208984,7.006867580988447e-34,
RGCC,1.916481375694275,12.376206398010254,7.11653971736234e-32,
JUNB,1.473873257637024,12.363582611083984,7.772489373465292e-32,
CCL5,0.9842208027839661,12.26376724243164,2.5107276816790944e-31,
RPL18,1.7792413234710693,12.03857421875,3.7136211250459794e-30,
STK17B,1.2050994634628296,11.90513801574707,1.751959709029286e-29,
RPLP2,1.1784186363220215,11.893688201904297,1.9038259845833627e-29,
RPS29,0.78431636095047,11.886306762695312,1.9757485361602905e-29,
CD7,2.0703489780426025,11.717634201049805,1.3970143923186103e-28,
CTSW,1.6897575855255127,11.571417808532715,7.087702113924824e-28,
CD96,1.4064844846725464,11.515602111816406,1.2999037461549549e-27,
CXCR4,1.1836321353912354,11.293252944946289,1.606186566414616e-26,
GNAI2,1.4846493005752563,11.238324165344238,2.8813550370390327e-26,
UBA52,1.3242363929748535,11.180916786193848,5.307229295563524e-26,
IL2RG,1.1304315328598022,11.11876392364502,9.935375796037425e-26,
AC005912.1,1.2526967525482178,11.035430908203125,2.356811434156723e-25,
CD44,1.317914605140686,11.019886016845703,2.7138609431956365e-25,
RPL29,1.1783252954483032,10.984831809997559,3.882255465616031e-25,
RPS4X,1.003268837928772,10.570440292358398,3.3081551379232266e-23,
ZYX,2.407383441925049,10.335649490356445,3.723201614226716e-22,
HLA-DRA,1.748915672302246,10.257116317749023,8.199003875324833e-22,
RPS18,1.0483046770095825,10.094624519348145,4.134222322479977e-21,
FOSB,1.259238362312317,9.92553424835205,2.2282084493618104e-20,
APOBEC3G,1.3135319948196411,9.807669639587402,7.040919526333394e-20,
TNFAIP3,1.083175539970398,9.614089012145996,4.5951422717438e-19,
FXYD5,1.6534242630004883,9.495779991149902,1.4077289851807948e-18,
