gene,log2FC,score,pval_adj,loso_robustness
CD55,2.2348134517669678,22.86505699157715,1.46680553438702e-111,0.1111111111111111
BASP1,1.533848524093628,18.523330688476562,9.485914454839879e-73,0.2222222222222222
IFITM2,0.7214168906211853,17.257577896118164,4.635390927962998e-63,
SRGN,0.9116057753562927,16.10268783569336,7.69122823132683e-55,
S100A11,1.209485411643982,15.946981430053711,8.473439148465865e-54,0.5555555555555556
FTH1P20,1.0434823036193848,14.801268577575684,3.7032619368072195e-46,0.1111111111111111
SLC2A3,1.4166700839996338,13.520042419433594,2.812827997744295e-38,0.5555555555555556
SAMSN1,1.5639050006866455,12.85124397277832,1.8450552094664693e-34,0.1111111111111111
NAMPT,0.8145056366920471,12.37315559387207,6.899375657391922e-32,
SOD2,0.633614718914032,12.22545337677002,4.0260706327959265e-31,
SERPINA1,1.178834319114685,12.21849536895752,4.127909701466227e-31,0.7777777777777778
AQP9,1.0951380729675293,11.990177154541016,6.2983483096109724e-30,0.3333333333333333
ALPL,1.650468111038208,11.695648193359375,1.90095764897148e-28,
FCER1G,1.1514073610305786,11.24144458770752,3.286971541023879e-26,
SLC25A37,0.9783201813697815,10.665151596069336,1.6794504120888583e-23,
C5AR1,0.8543230295181274,10.58935832977295,3.639077483853417e-23,
MARCKS,1.2526122331619263,10.564214706420898,4.582584793600406e-23,
LITAF,0.6106284856796265,10.374507904052734,3.2779763621980794e-22,
CD44,1.6829835176467896,10.26144790649414,9.929855762152802e-22,
FTH1P8,0.987747311592102,10.200723648071289,1.799074396803354e-21,
ITGAX,1.2368969917297363,10.10330867767334,4.586543728963312e-21,
TPM4,1.1266722679138184,10.060961723327637,6.850637895155733e-21,
FAM129A,1.0233538150787354,9.852920532226562,4.9653464039051534e-20,
PTPRC,0.648284912109375,9.617344856262207,4.908639798594329e-19,
BCL2A1,0.9511328935623169,9.54255485534668,9.873050676950938e-19,
SLC11A1,1.4813164472579956,9.37254810333252,4.8938052997555676e-18,
IFITM3,0.9437796473503113,9.36068058013916,5.3455757845559304e-18,
PROK2,1.1971122026443481,9.047284126281738,8.837423832038153e-17,
CST7,2.511944055557251,9.01501178741455,1.1621880324945418e-16,
ADGRE2,1.5452357530593872,8.785284996032715,8.500018591606727e-16,
LMNB1,1.3144752979278564,8.662833213806152,2.460584927766878e-15,
FRMD4B,2.374051570892334,8.623196601867676,3.4169670321065447e-15,
PLEK,0.8602824807167053,8.277591705322266,6.476286682903256e-14,
PLAUR,0.8731482028961182,8.215736389160156,1.0670943573557681e-13,
PNRC1,0.6449729800224304,8.101438522338867,2.6537565472446947e-13,
PFKFB3,0.868679404258728,8.004216194152832,5.774931016324814e-13,
TPT1,0.6102426052093506,7.867271423339844,1.711955861568938e-12,
TAGLN2,0.6659069657325745,7.836365222930908,2.154580790502102e-12,
GPR65,0.9855057597160339,7.78238582611084,3.2530185320812935e-12,
RNF149,0.6250181198120117,7.74330472946167,4.357262169454343e-12,
FPR1,0.6554358005523682,7.705632209777832,5.7125671824289666e-12,
CXCL8,1.1062346696853638,7.7048211097717285,5.7125671824289666e-12,
IVNS1ABP,0.7518143057823181,7.6914381980896,6.247040047959903e-12,
MXD1,0.6628779768943787,7.667191028594971,7.435966512872942e-12,
ATP2B1,1.4819711446762085,7.594919681549072,1.2649174682619145e-11,
CXCL16,1.305842399597168,7.561302661895752,1.615534163332283e-11,
PLSCR1,0.9492624998092651,7.553811073303223,1.6871826345725087e-11,
CREM,1.1243926286697388,7.4989776611328125,2.4968379746782286e-11,
LYN,0.7179116010665894,7.472020149230957,3.024344042954191e-11,
NFE2L2,0.827986478805542,7.374605178833008,6.146308247796207e-11,
IL1RN,0.9190210700035095,7.239859580993652,1.6318537794216135e-10,
GLUL,0.7156285643577576,7.187331676483154,2.340443252195606e-10,
CSF3R,0.4834396243095398,7.064175605773926,5.652839467289301e-10,
VASP,0.6045339703559875,7.032223224639893,7.024896913646755e-10,
NABP1,0.7423123717308044,7.006674289703369,8.332670879520752e-10,
S100A9,0.5008896589279175,6.9642205238342285,1.1009749331273366e-09,
TLR4,1.3110793828964233,6.959012985229492,1.1291622758035987e-09,
APBB1IP,1.044560432434082,6.904201030731201,1.644534862049257e-09,
RGS2,0.6836608648300171,6.863753795623779,2.160018850306135e-09,
PDE4B,0.7935935854911804,6.834469318389893,2.596363024698425e-09,
IL1R2,0.9809927344322205,6.8342132568359375,2.596363024698425e-09,
IL1B,0.969978392124176,6.790820598602295,3.4722267538024197e-09,
AC023157.1,1.1722204685211182,6.745272159576416,4.60479835617642e-09,
UBE2R2,0.9146773815155029,6.728090286254883,5.127999782210689e-09,
