gene,log2FC,score,pval_adj,loso_robustness
HLA-B,1.5941972732543945,24.7060489654541,5.218991873862872e-131,0.4444444444444444
MALAT1,2.5815837383270264,22.425464630126953,8.994277387636089e-108,0.2222222222222222
MT-CO2,1.4241591691970825,20.81015396118164,1.1027714695526213e-92,0.0
MT-ATP6,1.3692282438278198,20.07837677001953,3.2323663195566815e-86,0.0
SNORD3A,3.2955515384674072,19.80299186706543,7.227120303265677e-84,0.7777777777777778
MT-ND4,1.2398821115493774,19.425477981567383,1.024539227312996e-80,0.0
MT-ND2,1.3896063566207886,19.341873168945312,4.83063680670952e-80,0.0
MT-CO1,1.4371074438095093,18.655101776123047,2.1685738897907263e-74,0.0
MT-RNR2,1.4495277404785156,18.637136459350586,2.8447774021272237e-74,
MT-ND1,1.2678899765014648,18.066442489624023,9.221238229527539e-70,
MT-CYB,1.252590537071228,17.745824813842773,2.769046921886668e-67,
MT-ND6,1.4327542781829834,17.2364501953125,1.822184258845077e-63,
MT-ND5,1.3617295026779175,16.02271842956543,1.005306664969118e-54,
NEAT1,1.659164309501648,14.959830284118652,1.4645639860494067e-47,
MT-ATP8,1.2858028411865234,14.505496978759766,1.1737006409275583e-44,
MT-CO3,0.9494422674179077,14.209985733032227,8.040296641768734e-43,
MTATP6P1,1.2930576801300049,14.117996215820312,2.87531978259428e-42,
FOS,1.5952372550964355,13.866955757141113,9.488884492776468e-41,
BTG2,1.3924404382705688,13.625189781188965,2.512165986252424e-39,
MT-RNR1,1.2414060831069946,13.5823974609375,4.373808097817529e-39,
RGS1,1.582825779914856,13.396588325500488,4.721233296746893e-38,
PRDM1,1.3472349643707275,12.864470481872559,4.812870198177082e-35,
JUN,1.418835997581482,12.77573299407959,1.4764448019561105e-34,
MT-ND4L,1.1054548025131226,12.450007438659668,8.805980574228302e-33,
FAM46C,1.1119540929794312,12.285391807556152,6.685428643363655e-32,
SUB1,0.9880244135856628,12.177824974060059,2.4601884562581163e-31,
SAT1,1.160496473312378,10.527853012084961,3.312272748793437e-23,
ANKRD12,1.2999763488769531,10.349184036254883,2.027283591712814e-22,
GOLGA4,1.2920076847076416,9.869565963745117,2.537370453652393e-20,
MAN1A2,1.0935970544815063,9.851600646972656,2.941197953824168e-20,
ZBTB38,1.2068947553634644,9.773587226867676,6.276779789333858e-20,
HBB,6.271364688873291,9.732827186584473,9.239213140152476e-20,
AKAP9,1.3957055807113647,9.670771598815918,1.6725824365157093e-19,
RPL36AL,0.9466985464096069,9.62429428100586,2.5561337696875953e-19,
KLF6,1.1975945234298706,9.488876342773438,9.19202108489383e-19,
MTDH,0.8336513638496399,9.467784881591797,1.109654489235182e-18,
SEC61G,0.9096730351448059,9.406949043273926,1.9559511668623388e-18,
TRIB1,1.009084701538086,9.271810531616211,6.824199511534064e-18,
TP53INP1,1.2342959642410278,9.261112213134766,7.445926239329402e-18,
ATP5E,0.6814666390419006,9.214075088500977,1.126285676446004e-17,
CITED2,1.2125637531280518,9.08961009979248,3.47748178229681e-17,
HSP90B1,0.6056704521179199,9.069662094116211,4.076280031525107e-17,
HERPUD1,0.6211613416671753,8.779868125915527,5.270606951435027e-16,
TMED2,0.8738293051719666,8.7338228225708,7.727877848023764e-16,
FNDC3B,1.0190730094909668,8.732933044433594,7.727877848023764e-16,
SEC62,0.7602686285972595,8.71468734741211,8.884465659062295e-16,
EIF5B,1.2049978971481323,8.56036376953125,3.392007195039133e-15,
LMAN1,0.7649217844009399,8.556475639343262,3.4713974466677175e-15,
GNAS,0.6137669682502747,8.5503511428833,3.6225067036029506e-15,
HSPA5,0.6963037252426147,8.350921630859375,1.938859671718247e-14,
PIM2,0.815990686416626,8.332879066467285,2.235937559507008e-14,
ATP5G3,1.0063306093215942,8.276923179626465,3.524541873913808e-14,
TOP1,1.0987317562103271,8.276491165161133,3.524541873913808e-14,
DAD1,0.9084266424179077,8.266580581665039,3.792914863822904e-14,
TMBIM6,0.6517372131347656,8.218450546264648,5.5638490487520726e-14,
SLC38A2,1.0053331851959229,8.19253158569336,6.77458079624005e-14,
LAX1,1.1459180116653442,8.090656280517578,1.5474054217914756e-13,
SELENOS,0.7154390811920166,8.086920738220215,1.576473575699453e-13,
SEL1L,0.731185257434845,8.052818298339844,2.0656538167310256e-13,
HBA2,3.617583990097046,7.979150295257568,3.7281961328365876e-13,
HSPA1B,1.142958402633667,7.937246799468994,5.184244293540531e-13,
CPEB4,0.9095643162727356,7.92799711227417,5.536266076799218e-13,
