gene,log2FC,score,pval_adj,loso_robustness
IGKC,2.5572926998138428,14.56136417388916,1.4016676427386226e-43,1.0
CD74,1.2780331373214722,11.282378196716309,8.615236421684746e-26,0.3333333333333333
RGS1,1.361504077911377,11.271039009094238,8.615236421684746e-26,1.0
DUSP4,2.0493245124816895,11.251258850097656,9.242958009844513e-26,1.0
VIM,1.0755388736724854,10.801663398742676,1.1974061475809427e-23,0.7777777777777778
RAC2,0.8880816698074341,10.177508354187012,6.437508349278847e-21,
ITM2C,2.075809955596924,10.16884708404541,6.450025682447703e-21,1.0
FDCSP,2.1042590141296387,9.816421508789062,2.0857544014184288e-19,1.0
KLF6,1.0891703367233276,9.417757034301758,9.328113110827437e-18,0.8888888888888888
APOBEC3C,1.2617385387420654,9.009580612182617,3.663624422528989e-16,
APOBEC3G,1.3452709913253784,8.835210800170898,1.6654983042738585e-15,
CD44,0.9374028444290161,8.735836029052734,3.607419412510924e-15,
WNK1,1.0391765832901,8.685282707214355,5.3532758143364876e-15,
ACTB,0.42576155066490173,8.618823051452637,9.128674611337864e-15,
CLDND1,1.2376148700714111,8.4357271194458,3.8865610453709624e-14,
TMSB4X,0.22011546790599823,8.169794082641602,3.126565112382067e-13,
RPL37A,0.5886997580528259,7.991896152496338,1.2552197992633761e-12,
MCL1,0.8671528100967407,7.900710582733154,2.535129339075012e-12,
SUB1,0.8888717293739319,7.539056301116943,3.726457626180408e-11,
CD2,0.7831289768218994,7.281941890716553,2.520243899230117e-10,
ANXA2,1.0535448789596558,7.105681896209717,8.482559561956829e-10,
PLP2,0.8646852970123291,6.935941696166992,2.78913506712528e-09,
YWHAE,1.141041874885559,6.762705326080322,8.926016972813987e-09,
HERPUD1,1.1853324174880981,6.757225036621094,9.059444561480832e-09,
COTL1,0.9569786190986633,6.750011920928955,9.30985912541245e-09,
ANXA5,1.003682017326355,6.729318141937256,1.0501445591534049e-08,
IGHG1,2.550203323364258,6.610540866851807,2.127747524722193e-08,
ACTG1,0.5669926404953003,6.567420959472656,2.789984373305599e-08,
CDC42,0.7228719592094421,6.530694961547852,3.500415533114069e-08,
HLA-A,0.2953699231147766,6.3655219078063965,9.849161556148329e-08,
HLA-DRA,0.9660032391548157,6.335126876831055,1.1587046715777213e-07,
HLA-C,0.45160940289497375,6.289738655090332,1.5274265072959112e-07,
ITM2A,0.7557886242866516,6.282242298126221,1.5762336057871238e-07,
TIGIT,1.1713767051696777,6.17143440246582,3.093215948061255e-07,
ATP5E,0.5834246873855591,6.159307479858398,3.2865897447737624e-07,
GPR183,0.8974277973175049,6.144440650939941,3.553255089841182e-07,
PPP1R18,0.8497453331947327,6.115116596221924,4.206657870803505e-07,
IQGAP1,0.6810566782951355,6.035081386566162,6.822079861858423e-07,
REEP5,0.9456243515014648,6.019458770751953,7.293181168172864e-07,
SMC4,1.1285345554351807,5.888901233673096,1.5301925223933148e-06,
PARP1,0.9193228483200073,5.857277870178223,1.8018828162522826e-06,
ATP5G3,0.9357438087463379,5.834914684295654,2.0335344096098212e-06,
TPM4,0.8343503475189209,5.786251068115234,2.648946521095694e-06,
HINT1,0.6753167510032654,5.7633209228515625,2.9585480619023843e-06,
TRAC,0.4978030323982239,5.71046781539917,3.893706057634777e-06,
TMBIM6,0.625888466835022,5.620794773101807,6.4900117756574e-06,
SLFN5,0.7972506880760193,5.5902419090271,7.649956150462106e-06,
DAD1,1.0943294763565063,5.51508903503418,1.1622444507415076e-05,
ENO1,0.7802550792694092,5.505135536193848,1.2155584286028837e-05,
TMED9,1.2298732995986938,5.4047532081604,2.0210287299962352e-05,
HLA-DPB1,0.7996156811714172,5.378893852233887,2.3085487399918104e-05,
HMGB1,0.7185186147689819,5.367932319641113,2.4269253083673062e-05,
SPCS1,0.8742411136627197,5.354640483856201,2.5844757873802454e-05,
ACTR2,0.5442867875099182,5.335899353027344,2.8065059890710965e-05,
SOCS3,1.4067790508270264,5.321505069732666,3.0066265336548177e-05,
TPSB2,2.996522903442383,5.3060712814331055,3.239121030093448e-05,
