cell_type,n_DEG,n_up,n_down,top_up,robust_up
Fibroblast,1851,1249,602,"CALD1,PRRX1,COL5A2,COL6A3,COL3A1,COL6A1","CALD1,COL6A3,COL6A1,CAV1"
Dendritic cell,234,184,50,"HLA-DRB6,HLA-DQA2,ANXA2,VIM,S100A10,FPR3","HLA-DRB6,HLA-DQA2,ANXA2,FPR3,ANXA5,PKM"
NK cell,226,214,12,"IGKC,FDCSP,VIM,RPS28P7,JUND,RPL28","IGKC,FDCSP,VIM,RGS1"
Plasma cell,206,99,107,"HLA-B,MALAT1,MT-CO2,MT-ATP6,SNORD3A,MT-ND4",
Neutrophil,111,42,69,"CD55,BASP1,S100A11,FTH1P20,SLC2A3,SAMSN1",
T cell (CD8),99,80,19,"IGKC,CD74,RGS1,DUSP4,VIM,ITM2C","IGKC,RGS1,DUSP4,ITM2C,FDCSP,KLF6"
Endothelial,99,90,9,"COL4A1,SELE,NAP1L1,COL15A1,MT-CO1,IGKC","COL4A1,SELE,NAP1L1,COL15A1,MT-CO1,IGKC"
B cell,61,10,51,"RPL37A,ACTG1,HLA-DQA2,KLF6,ARL6IP5,ARPC5","ACTG1,HLA-DQA2,KLF6,ARL6IP5,ARPC5"
T cell (CD4),58,46,12,"IGKC,FDCSP,RGS1,KLF6,UCP2,CD74","IGKC,FDCSP,RGS1,UCP2,TIGIT,TBC1D4"
Mast cell,40,33,7,"CLU,S100A11,CD44,CST3,CD52,LAPTM5","CLU,S100A11,CD44,CST3,CD52,LAPTM5"
Epithelial,11,1,10,TNFSF10,
