cell_type,mean_HC,mean_PD,log2FC,p,FDR
Endothelial,0.008356932199339407,0.1384249999065661,4.033868143498261,0.015873015873015872,0.0873015873015873
Epithelial,0.00498411030253014,0.03389814413616563,2.7413887599688076,0.015873015873015872,0.0873015873015873
Mast cell,0.011637220494258842,0.030286768707790908,1.3723524660792992,0.19047619047619047,0.39285714285714285
Plasma cell,0.06777366819989644,0.1488228996363071,1.1336417217820098,0.19047619047619047,0.39285714285714285
Neutrophil,0.08210723884661202,0.1288585984765272,0.6495706271653071,1.0,1.0
Dendritic cell,0.054018029366096516,0.08252034774807017,0.610387825985918,0.1111111111111111,0.39285714285714285
B cell,0.058491187662603035,0.04592300443536611,-0.34832852669433373,0.5555555555555556,0.6790123456790124
Fibroblast,0.12372753455573415,0.0811842451049578,-0.6072844964184149,0.9047619047619049,0.9952380952380955
T cell (CD4),0.2503089610861442,0.15422235207498874,-0.6983391539658493,0.2857142857142857,0.39285714285714285
T cell (CD8),0.1399293548084554,0.08196292967404449,-0.7709267307641844,0.2857142857142857,0.39285714285714285
NK cell,0.19866576247832987,0.07389571009921574,-1.4255557351716095,0.2857142857142857,0.39285714285714285
