gene,log2FC,score,pval_adj,loso_robustness
IGHG4,4.242269992828369,23.622081756591797,1.1965229085706727e-119,1.0
IGKC,1.7777965068817139,20.41191291809082,5.7162367874174675e-89,0.8571428571428571
HLA-DRB5,2.1428916454315186,18.034534454345703,2.731427511513271e-69,0.07142857142857142
IGLC2,1.8467642068862915,17.9034423828125,2.6372561285195753e-68,0.0
MT-CO1,0.4902207851409912,17.551151275634766,1.2711092855192327e-65,
EEF1A1,0.5140031576156616,17.14106559753418,1.2787602673546662e-62,
MT-CO2,0.44801968336105347,16.042743682861328,1.050924043455171e-54,
TPT1,0.8246067762374878,15.087236404418945,2.5712320885778603e-48,
IGHG1,1.7469090223312378,14.89281177520752,4.573573860100151e-47,1.0
MT-ND4,0.35465505719184875,14.065581321716309,7.033253794702897e-42,
RPL28,0.43905535340309143,14.006735801696777,1.4840839192814527e-41,
RPL30,0.4095691740512848,12.897292137145996,3.697041086113385e-35,
RPS12,0.4083346724510193,12.88786792755127,4.0548130522115376e-35,
MTRNR2L1,2.1644272804260254,12.72526741027832,3.2002841065386986e-34,1.0
RPS24,0.48239099979400635,12.361474990844727,2.9871712678299903e-32,
RPL37,0.42153221368789673,11.82119083404541,2.0355762307778418e-29,
MT-ND3,0.39196187257766724,11.411215782165527,2.346080750313515e-27,
RPS23,0.3119538128376007,11.08527660369873,9.000798233144782e-26,
JUND,1.0043914318084717,10.878413200378418,7.9646077051090275e-25,1.0
NACA,0.5455195307731628,10.568754196166992,2.093513433408207e-23,
IGHG3,1.8406703472137451,10.506424903869629,3.9107012012571896e-23,1.0
RPS3A,0.3371172249317169,9.916585922241211,1.537971742184465e-20,
MT-CO3,0.2688113749027252,9.559225082397461,4.704302100229676e-19,
RPS21,0.3854408860206604,9.525727272033691,6.401511377143902e-19,
RPL29,0.3244195878505707,9.208698272705078,1.2341110814572028e-17,
RPS8,0.2409798949956894,9.202311515808105,1.2912882893581557e-17,
EEF1B2,0.5017709136009216,9.10795783996582,3.0512423815544896e-17,
RPL39,0.33596423268318176,9.069926261901855,4.2695699945891014e-17,
IGHG2,2.315722942352295,8.690680503845215,1.2405825715783997e-15,
RPL7A,0.4350898563861847,8.40971851348877,1.3614924189440895e-14,
PABPC1,0.5823525190353394,8.348795890808105,2.2009101826387113e-14,
RPSA,0.31172919273376465,8.235750198364258,5.626112110569288e-14,
RPL12,0.33089855313301086,8.1121187210083,1.5497822297977228e-13,
RPL22,0.3357037305831909,7.994025707244873,3.9742582372378115e-13,
RPL24,0.3135547935962677,7.9691925048828125,4.696325936613985e-13,
REL,0.7358441352844238,7.931339263916016,6.303916135853832e-13,
RPL18,0.24381855130195618,7.886473655700684,8.74710191150248e-13,
UBA52,0.2669256925582886,7.807708263397217,1.6042842915405016e-12,
IGLC3,0.9255894422531128,7.626593589782715,6.503055291198538e-12,
RPLP1,0.16732995212078094,7.350098133087158,5.131947073158518e-11,
ACTG1,0.4386043846607208,7.327944755554199,5.996249206444781e-11,
MT-CYB,0.23271143436431885,7.086488246917725,3.428463303598751e-10,
MT-ND4L,0.7352104187011719,6.7710676193237305,2.9346052563138996e-09,
XIST,1.7891634702682495,6.637699604034424,7.066257410847617e-09,
MARCKS,1.0002614259719849,6.533542156219482,1.3778313210036172e-08,
IGHGP,2.2120707035064697,6.483942031860352,1.9011853496683e-08,
RPS28,0.21327699720859528,6.401804447174072,3.115070584459588e-08,
IGHA1,1.0357306003570557,6.395953178405762,3.211840941651082e-08,
FAM107B,0.8407973647117615,6.3159589767456055,5.363670891592225e-08,
RPL36AL,0.3993212878704071,6.2919745445251465,6.214450056301695e-08,
RPL14,0.2590501010417938,6.069746017456055,2.4120181411297824e-07,
AHNAK,0.8498764634132385,6.048418998718262,2.7342827367626683e-07,
TAGLN2,0.6019576191902161,6.007439136505127,3.425296321561961e-07,
NEAT1,0.6424520611763,5.942363262176514,5.001536023631633e-07,
ATP2B1,0.758637011051178,5.85290002822876,8.372218196810921e-07,
RPL8,0.16545823216438293,5.84434700012207,8.755921401635115e-07,
SMAP2,0.6179136633872986,5.830411434173584,9.457260096557087e-07,
UQCRH,0.561553955078125,5.666247367858887,2.4643497094510117e-06,
RPS15A,0.11904635280370712,5.3024773597717285,1.779584358925132e-05,
RPL19,0.1841742843389511,5.28838586807251,1.910881813490112e-05,
HSP90AA1,0.37912169098854065,5.217949867248535,2.752632524737243e-05,
RPL37A,0.1511683315038681,5.194255352020264,3.073715211275972e-05,
CD83,0.5070201754570007,5.171632766723633,3.450531567061485e-05,
RPL9,0.20183120667934418,5.1117377281188965,4.5400488238663365e-05,
FAU,0.1298586130142212,5.057872295379639,5.870385185782823e-05,
KDM6B,0.8682690262794495,4.9388861656188965,0.00010384732603011822,
HSP90AB1,0.28264129161834717,4.9134721755981445,0.00011766955276520512,
SLC2A3,0.638878583908081,4.844956874847412,0.0001601037191294236,
RPS16,0.09205036610364914,4.808354377746582,0.0001895253355506733,
HSPA8,0.3955158293247223,4.566272735595703,0.0005648992171748186,
NSA2,0.7325343489646912,4.457782745361328,0.0009105809535087663,
EZR,0.39284443855285645,4.412202835083008,0.0011065390986967553,
RPL13,0.09068094193935394,4.38661003112793,0.0012198285949450783,
RUNX3,1.1799920797348022,4.21558952331543,0.002469558771229499,
MT-ND5,0.21199363470077515,4.153729438781738,0.0031704461536572496,
CTSH,0.6572471857070923,4.111298084259033,0.003717091226021562,
RPS2,0.09133388102054596,4.0667009353637695,0.004440836559413341,
NFKBID,0.6487405896186829,4.031527519226074,0.005000773621028638,
RPL11,0.12948845326900482,3.99849796295166,0.005674235163138766,
SSR4,0.4240659773349762,3.914551258087158,0.007796984070284497,
RPL35A,0.08489110320806503,3.8833975791931152,0.00880944507684911,
GABPB1-AS1,0.7611587643623352,3.864839553833008,0.009414613231899903,
PLCG2,0.9849156737327576,3.8527801036834717,0.009827148128136697,
RAB11FIP1,0.6946207880973816,3.8415918350219727,0.010253190689332139,
RPS11,0.11512935161590576,3.764500856399536,0.013523483643156585,
HLA-DPA1,0.05748232454061508,3.6021454334259033,0.023331342939920507,
RPL41,0.12282615154981613,3.593391180038452,0.02406179869993688,
HIPK2,2.0444278717041016,3.578629732131958,0.02517864148788133,
EEF2,0.17045792937278748,3.498613119125366,0.03318273496220237,
RPL5,0.13351185619831085,3.4406609535217285,0.039754762657132445,
RPS13,0.09958039969205856,3.437021017074585,0.03997893848038441,
