gene,log2FC,score,pval_adj,loso_robustness
JUND,3.010321617126465,87.5782470703125,0.0,1.0
TPT1,1.4454262256622314,74.87092590332031,0.0,1.0
MTRNR2L12,3.387031078338623,72.67646789550781,0.0,1.0
MTRNR2L1,5.73728609085083,70.4139404296875,0.0,1.0
MT-ATP6,1.215137243270874,67.72084045410156,0.0,1.0
MT-ND1,1.077875018119812,64.63337707519531,0.0,1.0
HSP90AA1,1.656825065612793,62.247196197509766,0.0,1.0
IGKC,2.339665651321411,61.61317443847656,0.0,1.0
FOSB,2.0061352252960205,60.20835494995117,0.0,
LMNA,1.2456202507019043,58.43668746948242,0.0,
NEAT1,1.3337515592575073,58.30942153930664,0.0,
CD81,1.6974767446517944,56.66044616699219,0.0,
GNAI2,1.6655194759368896,56.36486053466797,0.0,
MT-CYB,0.7869773507118225,55.3615608215332,0.0,
VIM,0.8051926493644714,55.29259490966797,0.0,
GNAS,1.612475037574768,55.1755256652832,0.0,
MTRNR2L8,2.3630170822143555,52.82990646362305,0.0,
HSPG2,1.438557505607605,52.683528900146484,0.0,
PNP,2.232671022415161,52.17282485961914,0.0,
ACTG1,1.099938154220581,51.81374740600586,0.0,
IER3,2.059842586517334,51.30082702636719,0.0,
MCL1,1.6775782108306885,50.512184143066406,0.0,
MIDN,1.7878013849258423,49.7533073425293,0.0,
MTRNR2L10,3.4467787742614746,48.64228057861328,0.0,
DLC1,2.1973025798797607,48.634891510009766,0.0,
HSPA8,1.3048237562179565,48.15617370605469,0.0,
COL4A1,1.799608826637268,48.05474853515625,0.0,
MSN,1.4958137273788452,47.364559173583984,0.0,
GRASP,2.001417636871338,47.07685470581055,0.0,
MYADM,2.208949327468872,46.98582077026367,0.0,
PCDH17,1.897506594657898,46.543617248535156,0.0,
ICAM1,1.8961763381958008,45.89724349975586,0.0,
TNFAIP3,2.734553098678589,44.49083709716797,0.0,
IGHG4,2.340527296066284,44.2736701965332,0.0,
TGM2,2.980020046234131,44.136497497558594,0.0,
PPP1R15A,1.3476308584213257,44.09394073486328,0.0,
TCF4,1.2009944915771484,43.52835464477539,0.0,
HEG1,1.4711416959762573,43.196781158447266,0.0,
AKAP13,1.6539119482040405,43.184654235839844,0.0,
MACF1,1.5002779960632324,42.92823791503906,0.0,
KDM6B,2.6491923332214355,42.702125549316406,0.0,
KLF6,1.393314003944397,42.23488235473633,0.0,
MCAM,1.918769121170044,42.05625534057617,0.0,
NR4A1,1.8430356979370117,42.008392333984375,0.0,
NFKBIA,1.291858434677124,41.99578094482422,0.0,
COL4A2,1.5052645206451416,41.93843078613281,0.0,
ADAMTS9,2.0065674781799316,41.80714797973633,0.0,
YBX3,1.1836634874343872,41.63132858276367,0.0,
BMPR2,1.4309757947921753,41.50357437133789,0.0,
MT-ND5,0.891386091709137,41.41888427734375,0.0,
SLC38A2,1.5508317947387695,41.31792068481445,0.0,
CD93,1.2835185527801514,41.29667282104492,0.0,
PDLIM1,1.1908440589904785,41.26482391357422,0.0,
IGLC2,1.6905760765075684,41.18623733520508,0.0,
CDH5,1.4199162721633911,40.97062301635742,0.0,
ACTN4,1.3810142278671265,40.8232421875,0.0,
IER5,1.9179730415344238,40.54179000854492,0.0,
EMP1,1.2140897512435913,40.20249557495117,0.0,
MYH9,1.2103209495544434,40.0838737487793,0.0,
RPL7A,0.708639919757843,39.6238899230957,0.0,
RPL28,0.5554735064506531,39.45277786254883,0.0,
NDRG1,1.3570855855941772,39.41518020629883,0.0,
PECAM1,0.9702165126800537,39.307029724121094,0.0,
HSP90B1,1.215549349784851,39.249732971191406,0.0,
ENG,1.1097996234893799,38.83494186401367,0.0,
ADAMTS1,1.8612977266311646,38.71888732910156,0.0,
PPP1R14B,1.5408517122268677,38.66149139404297,0.0,
GNB1,1.4601081609725952,38.64297866821289,0.0,
EGR1,1.6254429817199707,38.214717864990234,0.0,
DNAJA1,1.1608573198318481,38.181270599365234,0.0,
CYR61,1.8067896366119385,37.8841438293457,0.0,
BRI3,1.2499240636825562,37.867530822753906,0.0,
ATP1A1,1.177808165550232,37.5838508605957,9.220690705767445e-307,
C2CD4B,2.13830828666687,37.36378479003906,3.5075021773428724e-303,
MT-CO3,0.4341728389263153,37.289608001708984,5.551951437194219e-302,
NFKBIZ,1.5969886779785156,37.24811553955078,2.586579479285362e-301,
RAI14,1.4507617950439453,37.14983367919922,9.867391381690082e-300,
HSPA1A,1.5077241659164429,36.541202545166016,5.320278654844297e-290,
EPAS1,1.0867971181869507,36.507205963134766,1.8132816461687454e-289,
PRRC2C,1.2232950925827026,36.43242645263672,2.7559142601574653e-288,
LAMB1,1.7400609254837036,36.40163803100586,8.396061598542601e-288,
HSPA5,1.3182724714279175,36.3783073425293,1.9481380835068962e-287,
MT-CO2,0.42025408148765564,35.9077262878418,4.768527624764679e-280,
TUBB4B,1.3487720489501953,35.90276336669922,5.655302949464844e-280,
A2M,0.9629881978034973,35.86488342285156,2.1870327931714904e-279,
COL15A1,1.1444714069366455,35.843116760253906,4.739286451935685e-279,
VWF,1.0639464855194092,35.42450714111328,1.4095618892215045e-272,
TRIB1,1.964682936668396,35.14303970336914,2.8785862611910817e-268,
MT-ND3,0.5048085451126099,35.07566452026367,3.0487311729930126e-267,
EIF4G2,1.037603497505188,34.940425872802734,3.4324506656481635e-265,
ECE1,1.2519158124923706,34.811737060546875,3.020924886566772e-263,
SPARC,0.9970698952674866,34.79737091064453,4.9471094473155e-263,
CALM1,0.8900694251060486,34.655128479003906,6.84265036110542e-261,
TPM4,1.0082495212554932,34.62606430053711,1.861344460517108e-260,
FLNA,1.3465739488601685,34.60560607910156,3.7553252026493034e-260,
