gene,log2FC,score,pval_adj,loso_robustness
S100A6,1.7965089082717896,28.60472869873047,1.3929691941616256e-175,1.0
S100A2,2.013749361038208,28.58392333984375,1.3929691941616256e-175,1.0
TMSB10,1.5484797954559326,25.98625373840332,4.6338959300172156e-145,1.0
S100A9,2.8741252422332764,24.20814323425293,7.964959481759372e-126,1.0
ACTG1,1.2626439332962036,20.576335906982422,1.0640144863489161e-90,1.0
S100A10,1.101674199104309,20.01249885559082,8.62825494482304e-86,1.0
ANXA1,1.655694603919983,19.495471954345703,2.09259471085737e-81,1.0
S100A8,2.021561622619629,17.94597816467285,7.501164339160699e-69,1.0
TPT1,0.9869610071182251,17.21086311340332,2.61848877275932e-63,
KRT19,2.1810288429260254,17.051918029785156,3.5407771564247553e-62,
FDCSP,2.750527858734131,16.544132232666016,1.710626923351489e-58,
CSF3,4.579582214355469,16.066394805908203,3.589213051148804e-55,
TXNDC17,1.4428069591522217,15.604499816894531,4.9315509509461216e-52,
KRT17,2.52927303314209,15.114144325256348,8.339739812744385e-49,
MTRNR2L1,3.8724887371063232,15.100407600402832,1.002783875711584e-48,
SOD2,1.9096460342407227,14.381736755371094,3.7518979037633805e-44,
S100A11,0.8158462643623352,13.639302253723145,1.2236448853754442e-39,
RPL28,0.46166107058525085,13.38735580444336,3.4741890655948104e-38,
IER3,1.8583621978759766,13.288188934326172,1.289754589609688e-37,
CXCL1,2.8064823150634766,12.836854934692383,4.103913747892627e-35,
PRDX1,0.7311029434204102,11.653799057006836,7.178807363909966e-29,
IGKC,1.271319031715393,11.25006103515625,7.297072056686744e-27,
HSP90AA1,0.7749840021133423,11.01659870147705,9.560908166640646e-26,
JUND,1.3947479724884033,10.840523719787598,6.224552167343977e-25,
RBP1,2.2940094470977783,10.803857803344727,9.091661782689588e-25,
GNAS,1.0991637706756592,10.620396614074707,6.268769715588934e-24,
UBE2S,1.8154813051223755,10.47146224975586,2.939707212114328e-23,
NFKBIA,1.138216495513916,10.46113395690918,3.247236523997763e-23,
BMP2,3.3123950958251953,10.358624458312988,9.441477713875048e-23,
IL1A,5.247195243835449,10.220017433166504,3.8377484432095496e-22,
LAMC2,3.1883115768432617,10.20521068572998,4.430326152375011e-22,
PMEPA1,2.5501627922058105,9.776338577270508,2.978452697142188e-20,
MTRNR2L12,1.3507533073425293,9.761147499084473,3.432731560540681e-20,
RPS21,0.5179426670074463,9.663383483886719,8.819601189870737e-20,
CLDN1,2.0652074813842773,9.651066780090332,9.868890719079308e-20,
HBEGF,2.751391887664795,9.62994384765625,1.203060757962142e-19,
TINAGL1,2.8939685821533203,9.608034133911133,1.4772467030449061e-19,
ODAM,2.8857126235961914,9.424372673034668,8.38765875252525e-19,
HSPA8,0.8743730783462524,9.219169616699219,5.518000285030963e-18,
SPRR2A,1.7469744682312012,9.162717819213867,9.197050024677942e-18,
PHLDA1,1.5025970935821533,9.09777545928955,1.641423846563948e-17,
EPHA2,2.3177127838134766,9.090489387512207,1.7433873054305638e-17,
PHLDA2,1.6311007738113403,9.071287155151367,2.0658279508398734e-17,
BASP1,1.60834801197052,9.047088623046875,2.5617002407022572e-17,
TNFAIP3,2.001385450363159,9.029875755310059,2.9590445013711774e-17,
CXCL8,2.747896671295166,9.00037956237793,3.8224901123977135e-17,
TUBA1C,1.1205098628997803,8.858781814575195,1.3570461775777346e-16,
PLAUR,2.5562057495117188,8.768170356750488,2.970177743654575e-16,
ODC1,2.09006667137146,8.66171646118164,7.370610287797114e-16,
VEGFA,3.0885305404663086,8.634276390075684,9.317162629828136e-16,
MXD1,2.759648084640503,8.6240816116333,1.006436180882137e-15,
AREG,1.6824346780776978,8.586196899414062,1.383867148488826e-15,
SLC7A11,2.9740331172943115,8.584959983825684,1.3906546642860487e-15,
GADD45A,1.634984016418457,8.42477798461914,5.404998267777581e-15,
IL1RN,1.4813768863677979,8.368058204650879,8.709751599396038e-15,
RPL37,0.26874369382858276,8.307645797729492,1.4352268061826177e-14,
CEBPB,1.2211623191833496,8.300626754760742,1.5141118679099774e-14,
SAA1,1.2185699939727783,8.186335563659668,3.915335589876397e-14,
FAM46A,2.022502899169922,8.172765731811523,4.357809071656777e-14,
MTRNR2L10,1.4431135654449463,8.152878761291504,5.109806117746236e-14,
EFHD2,1.6210418939590454,8.030481338500977,1.3587497372961807e-13,
TMEM132A,2.166546583175659,7.988502025604248,1.8912784669854905e-13,
MYL12B,0.48692187666893005,7.986998081207275,1.9044110515110124e-13,
SERINC2,1.7960880994796753,7.975366592407227,2.070827504796944e-13,
TPM4,1.0754808187484741,7.913265705108643,3.347667648072133e-13,
KRT18,1.164188265800476,7.850262641906738,5.40543322135268e-13,
OSGIN1,2.0158369541168213,7.804038047790527,7.729448324015563e-13,
FAM20C,2.0273020267486572,7.747184753417969,1.1935581345115125e-12,
GCLM,1.5053316354751587,7.706441402435303,1.6277543217670454e-12,
NNMT,1.632300853729248,7.703633785247803,1.6559761040255917e-12,
NRP2,1.8133554458618164,7.699288845062256,1.7051057763234704e-12,
