gene,log2FC,score,pval_adj,loso_robustness
JUND,3.413593292236328,87.37367248535156,0.0,1.0
TPT1,1.6251980066299438,74.03958129882812,0.0,1.0
MT-ATP6,1.4383673667907715,70.14183807373047,0.0,1.0
MTRNR2L12,3.5094223022460938,67.88616943359375,0.0,1.0
IER3,3.017849922180176,66.64786529541016,0.0,1.0
MT-ND1,1.3440600633621216,66.3852767944336,0.0,1.0
FOSB,2.200554609298706,66.02735137939453,0.0,1.0
MTRNR2L1,6.350284576416016,65.17620086669922,0.0,1.0
CD81,2.0970778465270996,61.11177444458008,0.0,
C11orf96,3.054213285446167,60.22972106933594,0.0,
MT-CYB,0.9912126064300537,57.26788330078125,0.0,
NEAT1,1.6646490097045898,55.04878234863281,0.0,
HSP90AA1,1.6614158153533936,54.40386962890625,0.0,
GNAS,1.890316367149353,53.59880447387695,0.0,
SOD2,1.8164511919021606,51.94584274291992,0.0,
MCL1,1.7388312816619873,50.521522521972656,0.0,
FAM20C,2.1513164043426514,50.11482238769531,0.0,
IGKC,2.140761137008667,49.635738372802734,0.0,
TWIST1,1.8459844589233398,49.02667236328125,0.0,
MT-CO2,0.6471027135848999,48.084266662597656,0.0,
MT-CO3,0.5903904438018799,47.473968505859375,0.0,
MTRNR2L8,2.1753487586975098,45.9737663269043,0.0,
EGR1,1.527450442314148,45.832542419433594,0.0,
TNFAIP3,2.372955083847046,44.91627502441406,0.0,
PXDN,2.067110776901245,44.87013244628906,0.0,
MTRNR2L10,3.948880195617676,44.62669372558594,0.0,
VIM,0.7919952273368835,44.43046188354492,0.0,
NR4A1,1.7403037548065186,44.4285888671875,0.0,
IGFBP4,1.2100893259048462,43.790306091308594,0.0,
KLF9,1.7157022953033447,43.56789779663086,0.0,
MIDN,1.9505656957626343,42.747379302978516,0.0,
RPS12,0.6625033617019653,42.5731315612793,0.0,
NFKBIZ,1.6476794481277466,42.563323974609375,0.0,
MME,2.4944868087768555,42.13404846191406,0.0,
YBX3,1.3553009033203125,42.12255859375,0.0,
MT-ND3,0.8234041333198547,41.84244918823242,0.0,
LMNA,1.093916416168213,41.749359130859375,0.0,
HSP90B1,1.3675589561462402,41.6185417175293,0.0,
MT-ND5,1.0307098627090454,41.35078048706055,0.0,
PDGFRB,1.5086634159088135,41.12701416015625,0.0,
FNDC3B,1.8007344007492065,40.362728118896484,0.0,
PMEPA1,1.79329514503479,40.20460510253906,0.0,
IGHG4,2.1170058250427246,40.039188385009766,0.0,
MRC2,1.5691603422164917,39.858192443847656,0.0,
EVA1B,1.8297520875930786,39.713722229003906,0.0,
ATF3,1.7842090129852295,39.3414192199707,0.0,
METRNL,2.1785027980804443,39.2724609375,0.0,
RPL28,0.6933064460754395,39.08915710449219,0.0,
GNAI2,1.5780541896820068,39.004425048828125,0.0,
NAMPT,1.4556916952133179,38.542510986328125,0.0,
CEBPB,1.2065794467926025,38.367431640625,0.0,
IL1R1,1.657404899597168,38.34782028198242,0.0,
RPL7A,0.8724978566169739,38.242950439453125,0.0,
EPAS1,1.5285522937774658,38.03469467163086,0.0,
IGF2,1.7123562097549438,37.90386962890625,0.0,
SRRM2,1.445551872253418,37.688209533691406,0.0,
COL12A1,1.4566601514816284,37.63115310668945,1.9564635623783475e-307,
MYADM,1.4651360511779785,37.58197021484375,1.2317007082317816e-306,
SERPINE1,2.196321487426758,37.49546432495117,3.1405165986037896e-305,
PRRX2,1.541489601135254,37.40065383911133,1.0845447790612967e-303,
LAMB1,1.7290778160095215,37.35835266113281,5.221218641963396e-303,
ACTG1,0.9770349860191345,36.96707534790039,1.0782441409762705e-296,
NR4A3,3.3433566093444824,36.25156784057617,2.5325910311688845e-285,
MYH9,1.3122824430465698,35.98906707763672,3.312229055333699e-281,
BASP1,1.7555004358291626,35.708778381347656,7.560373004299964e-277,
SLC39A14,1.8673474788665771,35.494102478027344,1.5400658443593638e-273,
HSPA8,1.1676329374313354,35.4290771484375,1.5330090334847514e-272,
