gene,log2FC,score,pval_adj,loso_robustness
IGKC,3.045374631881714,36.47113037109375,4.163469595909378e-287,1.0
NEAT1,1.9567285776138306,33.98323059082031,2.0628963737275984e-249,1.0
MT-ND1,1.3173664808273315,33.17021560668945,8.41810264376309e-238,1.0
TPT1,1.325816035270691,32.78548049926758,2.481634710335992e-232,1.0
JUND,2.258769989013672,31.912654876708984,4.240313819206443e-220,1.0
SOD2,2.342862844467163,28.852983474731445,8.68919865572982e-180,1.0
MT-ATP6,0.9508644342422485,27.189218521118164,1.1398530185821495e-159,
NAMPT,1.7803221940994263,26.901010513305664,2.542335295409187e-156,1.0
TNFAIP3,2.179856061935425,26.787927627563477,4.871253824245008e-155,1.0
IGLC2,2.289846897125244,26.054241180419922,1.2122988475690865e-146,
MTRNR2L1,4.562678813934326,24.89838409423828,7.508051229702435e-134,
IGHG4,2.6727325916290283,22.700056076049805,3.345452009535919e-111,
IER3,1.9429686069488525,22.18130111694336,3.6816528504180097e-106,
SLC2A3,1.9441611766815186,21.724538803100586,8.071611192256931e-102,
EREG,2.7748467922210693,20.657377243041992,4.983847798231503e-92,
IL1B,2.078662395477295,20.475263595581055,2.0808310905625266e-90,
FOSB,1.2418396472930908,20.202028274536133,5.23167003182445e-88,
MTRNR2L12,1.772438645362854,20.000144958496094,2.9938864999726955e-86,
VIM,0.754595935344696,19.984291076660156,4.029732026560276e-86,
MT-CO1,0.4606936275959015,19.603519439697266,7.404217687137129e-83,
MCL1,1.126853585243225,19.390426635742188,4.678435659772858e-81,
METRNL,2.0014259815216064,19.351646423339844,9.748854106095848e-81,
KDM6B,1.8010597229003906,19.226642608642578,1.073498197627805e-79,
MT-ND3,0.6266911625862122,18.97451400756836,1.2720368969549643e-77,
MT-CO2,0.44113868474960327,18.636545181274414,7.203321918005243e-75,
CD44,1.234459638595581,18.618499755859375,9.922661114727941e-75,
SRGN,0.8999963402748108,18.513145446777344,6.8284652552008924e-74,
MT-CO3,0.45219019055366516,18.295284271240234,3.748101245228868e-72,
MT-CYB,0.5445186495780945,17.600255966186523,9.577879178735807e-67,
TNFRSF1B,1.8211617469787598,17.59779167175293,9.85686267404683e-67,
MT-ND4,0.37475860118865967,17.13311195373535,3.0975352468091244e-63,
GNAI2,1.1423639059066772,16.93855857849121,8.49739767442711e-62,
C5AR1,2.187619686126709,16.589561462402344,2.9728004054889258e-59,
HSP90AA1,0.9275509715080261,16.531103134155273,7.748289510240723e-59,
HIF1A,1.5935560464859009,16.35795021057129,1.2646333798046686e-57,
NFKBIA,1.101693868637085,16.314220428466797,2.558089275993916e-57,
MXD1,1.7160528898239136,16.259004592895508,6.08036123181867e-57,
REL,1.2621653079986572,16.245019912719727,7.547709018378154e-57,
ZEB2,1.3145889043807983,16.027708053588867,2.461941357588583e-55,
VCAN,2.1802725791931152,15.841423988342285,4.6853320176034447e-54,
NR4A3,1.6433513164520264,15.826698303222656,5.85606025135869e-54,
BTG1,0.9942631721496582,15.756464004516602,1.744848808819732e-53,
