gene,log2FC,score,pval_adj,loso_robustness
JUND,3.0085623264312744,25.058195114135742,1.8598504545299456e-134,1.0
TPT1,1.6928147077560425,22.900188446044922,4.0355294689699218e-112,1.0
MT-ND1,1.5564398765563965,22.069063186645508,3.280474526097674e-104,1.0
VIM,1.380270004272461,21.455825805664062,1.757289619711199e-98,1.0
MT-ATP6,1.0781434774398804,20.58470344543457,1.2310643960247625e-90,1.0
MT-CYB,1.2322378158569336,19.859773635864258,2.6378521001006894e-84,1.0
MT-ND3,1.063568353652954,18.95028305053711,1.0449174222443137e-76,1.0
RPL30,1.241625428199768,18.2086238861084,8.241419772738106e-71,1.0
FOSB,1.623708724975586,18.189680099487305,1.0869778211323765e-70,
MT-CO1,0.653232991695404,17.416242599487305,9.032424826383658e-65,
MT-CO3,0.7288538217544556,16.75889778137207,6.715691131176783e-60,
RPL28,1.1186593770980835,16.722583770751953,1.1742790635581422e-59,
MT-CO2,0.5819219946861267,15.9537353515625,3.1922009764929987e-54,
IGKC,2.144852638244629,15.323074340820312,5.612988983977654e-50,
NEAT1,1.3167275190353394,15.013773918151855,5.782123392146402e-48,
HPGD,1.6114412546157837,14.649667739868164,1.2216519379421137e-45,
RPS12,0.9252040982246399,13.625576972961426,2.2377065386649617e-39,
REL,2.1035985946655273,13.562339782714844,5.0070831554965227e-39,
RPL7A,1.1766149997711182,13.394668579101562,4.722606344669462e-38,
MTRNR2L1,5.470836639404297,13.02453327178955,6.27673328716912e-36,
CD81,1.6884231567382812,12.628515243530273,9.86585206175879e-34,
TNFAIP3,1.4849354028701782,12.616588592529297,1.1192498146730818e-33,
MTRNR2L12,2.4133615493774414,12.044787406921387,1.2873596319916074e-30,
EEF1A1,0.6580086946487427,11.982217788696289,2.6801809509799458e-30,
MT-ND4,0.4206446707248688,11.817802429199219,1.842040856494482e-29,
GNAS,1.5023541450500488,11.683830261230469,8.585264384502253e-29,
PTGS2,2.214627504348755,11.591910362243652,2.4189460157265383e-28,
KDM6B,2.210819959640503,11.474855422973633,9.236574466999819e-28,
ADCYAP1,1.6853291988372803,11.3194580078125,5.29035706485398e-27,
RPL5,0.9484971761703491,11.20832633972168,1.7986748250718317e-26,
MYADM,1.5114344358444214,10.957433700561523,2.86050854149255e-25,
CSF1,1.8382315635681152,10.86556625366211,7.721351396095634e-25,
TMEM176B,1.7386811971664429,10.718894004821777,3.7445446868392984e-24,
RPL37,0.6885050535202026,10.691171646118164,4.965559081133461e-24,
AHR,1.6970763206481934,10.63292407989502,8.985355628242762e-24,
AREG,1.5312541723251343,10.574063301086426,1.659206249918486e-23,
HSP90AA1,1.0343458652496338,10.424002647399902,8.003491853689106e-23,
MT-ND5,0.8182249665260315,10.141197204589844,1.4378745709683958e-21,
RPS24,0.6541734337806702,10.019926071166992,4.795101306482963e-21,
RPL18,0.750699520111084,10.002769470214844,5.620601131118869e-21,
RPL14,0.8154045343399048,9.900256156921387,1.55228621278002e-20,
NACA,0.8585876226425171,9.835258483886719,2.925267845755254e-20,
NFKBIZ,1.2585033178329468,9.790352821350098,4.502088788764594e-20,
IGLC2,1.831532597541809,9.758466720581055,6.08365095490045e-20,
FAU,0.6197805404663086,9.683223724365234,1.2566297316620431e-19,
LEO1,1.7210156917572021,9.611448287963867,2.431286607964725e-19,
EEF1B2,1.0430959463119507,9.415120124816895,1.5854372035474859e-18,
FAM107B,1.986716866493225,9.382488250732422,2.1344818942381372e-18,
AKAP13,1.424586296081543,9.313220977783203,3.9578481522908884e-18,
SLC2A3,1.2492239475250244,9.194805145263672,1.1845092316914727e-17,
RPS23,0.5511347651481628,9.03588581085205,5.068250658821311e-17,
GNAI2,1.6080002784729004,8.856874465942383,2.533536638079087e-16,
HDC,1.234168529510498,8.801936149597168,4.092141408262567e-16,
MCL1,1.1393460035324097,8.708681106567383,9.247642666824554e-16,
RPS21,0.71534663438797,8.705559730529785,9.397763168124763e-16,
RPL23,0.6973589062690735,8.664628982543945,1.3319820181187068e-15,
BIRC3,1.167325735092163,8.645284652709961,1.5606473039297898e-15,
RPS11,0.6620485186576843,8.470382690429688,6.882681186588098e-15,
AHNAK,1.136749029159546,8.389241218566895,1.347860272126971e-14,
RPL22,0.7115891575813293,8.374006271362305,1.5181842952941415e-14,
KLF6,0.8048785924911499,8.370083808898926,1.553399666112157e-14,
HSP90AB1,0.785475492477417,8.297374725341797,2.8423100015131707e-14,
LMNA,0.686064600944519,8.23149585723877,4.8874281718586913e-14,
SRRM2,1.3341490030288696,8.210097312927246,5.78382451100059e-14,
IER3,1.5499320030212402,8.165030479431152,8.326548960475823e-14,
SRGN,0.6356907486915588,8.112173080444336,1.2757188790392714e-13,
CPA3,0.7045775651931763,8.094510078430176,1.4608320010414945e-13,
ACSL4,1.2953091859817505,7.809970378875732,1.3860763728321874e-12,
MTRNR2L8,1.9319502115249634,7.806074619293213,1.4035834906609259e-12,
BTG2,0.8894453048706055,7.795215129852295,1.515947946199531e-12,
RPL24,0.6448354721069336,7.7586870193481445,1.98737120553959e-12,
RPL19,0.5530786514282227,7.655773639678955,4.29796203939843e-12,
ELL2,1.8738130331039429,7.631999969482422,5.126211536735941e-12,
CTSD,0.8671948313713074,7.626343250274658,5.311112770508299e-12,
GLUL,0.9671902656555176,7.595498561859131,6.68076182909652e-12,
BMP2K,1.5044975280761719,7.594537734985352,6.68076182909652e-12,
NR4A1,1.025003433227539,7.555368423461914,8.915847077219574e-12,
MT-ND2,0.31655049324035645,7.554941654205322,8.915847077219574e-12,
PRKX,2.0917937755584717,7.4850873947143555,1.5089863614336144e-11,
