gene,log2FC,score,pval_adj,loso_robustness
JUND,3.0720062255859375,23.0098934173584,9.71117579410339e-113,1.0
TPT1,1.8279114961624146,20.095598220825195,7.034348681481158e-86,1.0
IGKC,2.8766396045684814,19.045595169067383,3.117250908822755e-77,1.0
MT-ATP6,1.189044713973999,17.20840072631836,6.678785174175224e-63,1.0
MT-CO1,0.656408965587616,15.6329984664917,1.0322696009111966e-51,
MTRNR2L1,4.318575859069824,15.60235595703125,1.5299940536977093e-51,1.0
MT-ND1,1.388608694076538,15.436655044555664,1.8286306090812417e-50,1.0
RPL30,0.9377025365829468,14.774115562438965,3.519268138269154e-46,
MT-CO2,0.6517384052276611,14.40573787689209,6.559095820322678e-44,
MT-CYB,0.8123565316200256,13.842742919921875,1.6740673354030634e-40,
MT-CO3,0.6524804830551147,13.31242847442627,2.2302100698850975e-37,
METRNL,2.4175875186920166,12.937275886535645,3.0236102532252803e-35,1.0
EEF1A1,0.7143922448158264,12.616190910339355,1.7998605420622508e-33,
RPL7A,1.0585163831710815,12.547200202941895,3.849004919910289e-33,0.25
IGLC2,2.273362636566162,12.528557777404785,4.701724237421769e-33,
MTRNR2L12,2.0201518535614014,12.42148494720459,1.7430767112083447e-32,
MT-ND3,0.7526220679283142,12.334649085998535,4.976117858382156e-32,
REL,1.534157633781433,11.738398551940918,6.056891374087559e-29,
IGHG4,2.852555751800537,11.676183700561523,1.2263653196800914e-28,
TNFAIP3,1.499828577041626,11.565834045410156,4.342228098011308e-28,
PTPRC,1.2222322225570679,10.766951560974121,3.2742495870591925e-24,
RPL28,0.546425461769104,10.765579223632812,3.2742495870591925e-24,
RPS12,0.5478916764259338,10.524377822875977,4.156075350495088e-23,
NEAT1,1.2977421283721924,10.436878204345703,9.78488240900454e-23,
MT-ND4,0.44064226746559143,10.109725952148438,2.7853689693168817e-21,
NR4A2,1.3081271648406982,10.100427627563477,2.9987579851734147e-21,
RPL37,0.5764221549034119,9.731473922729492,1.1358899439534796e-19,
EEF1B2,1.1492328643798828,9.586053848266602,4.605856322039969e-19,
PIK3R1,1.595417857170105,9.507719993591309,9.444832190653829e-19,
CD81,1.6413167715072632,9.496782302856445,1.0300336362418136e-18,
HSP90AA1,1.0939242839813232,9.267359733581543,8.916980092454169e-18,
RUNX3,1.5160177946090698,9.027531623840332,7.922651756693178e-17,
FOSL2,1.4267027378082275,8.753650665283203,9.16217121564413e-16,
SYTL3,1.3790870904922485,8.566339492797852,4.509105327895862e-15,
RPS21,0.6341613531112671,8.456875801086426,1.1408279262165863e-14,
MT-ND5,0.8583264946937561,8.384121894836426,2.0897550350885385e-14,
RPS24,0.532776415348053,8.163688659667969,1.2692317638792616e-13,
