gene,log2FC,score,pval_adj,loso_robustness
TNFAIP3,3.2869646549224854,15.42476749420166,4.86570180325434e-50,1.0
SOD2,2.726069927215576,15.219971656799316,9.744367171450223e-49,1.0
SRGN,2.9870259761810303,14.466480255126953,5.737438347160641e-44,1.0
NFKBIA,2.0036823749542236,13.899672508239746,1.6652363463080827e-40,1.0
JUND,2.242546796798706,13.169309616088867,2.6531942538177414e-36,1.0
NEAT1,1.8684853315353394,13.00185489654541,2.232130636854608e-35,1.0
IL1B,2.983612060546875,12.394665718078613,4.5684496691819543e-32,1.0
NAMPT,2.859363079071045,11.877387046813965,2.3882575313466582e-29,1.0
CXCL8,2.892587900161743,11.677372932434082,2.418662521343231e-28,
H3F3A,1.1760075092315674,11.660767555236816,2.78519017030485e-28,
MCL1,2.10062575340271,11.361434936523438,8.514062206455937e-27,
PTPRC,3.0363848209381104,10.852264404296875,2.036505633198532e-24,
LITAF,2.5966219902038574,10.784492492675781,4.1015099105907056e-24,
TPT1,0.7187001705169678,10.595392227172852,2.824796687012366e-23,
PLEK,4.3889312744140625,10.439735412597656,1.256658457398107e-22,
BCL2A1,4.292086124420166,10.198948860168457,1.3803274843726708e-21,
BASP1,3.0550696849823,10.068525314331055,4.8581023251523606e-21,
BTG2,2.3138062953948975,10.039628982543945,6.359168317157337e-21,
ZFP36L1,1.9263566732406616,9.974559783935547,1.1987898015410348e-20,
ZFP36,1.3683321475982666,9.786134719848633,7.510120145828167e-20,
KLF6,1.7128959894180298,9.37482738494873,3.941932576801663e-18,
DUSP1,1.2774397134780884,9.329507827758789,5.680675540757607e-18,
G0S2,2.6739540100097656,9.260644912719727,1.0635533356584553e-17,
CSF3R,4.169003486633301,8.9000883102417,2.7043328431773465e-16,
OSM,4.4851508140563965,8.747031211853027,9.553777374712965e-16,
SLC2A3,2.5299901962280273,8.725930213928223,1.1326086382676687e-15,
IGKC,1.3626222610473633,8.715717315673828,1.2195313168298166e-15,
MT-ND1,0.7100536227226257,8.697943687438965,1.4038468761701536e-15,
PTGS2,4.2023420333862305,8.663381576538086,1.8438614610755358e-15,
CEBPB,2.216277837753296,8.292379379272461,3.925689900685627e-14,
H3F3B,0.7622597217559814,8.286895751953125,4.0560722240887054e-14,
FCGR3B,4.109504222869873,8.248723030090332,5.4412015341498494e-14,
PDE4B,3.75050950050354,8.237029075622559,5.923135964417062e-14,
PPP1R15A,1.4051823616027832,8.094287872314453,1.8609919530088726e-13,
CD55,1.680167317390442,7.814132213592529,1.6458257966163475e-12,
ACTB,0.6707813739776611,7.76546049118042,2.339461548089e-12,
RGS2,3.1249988079071045,7.673677444458008,4.524731943549777e-12,
HLA-B,0.8165847659111023,7.668012619018555,4.66471405624807e-12,
KDM6B,3.3261609077453613,7.595433712005615,7.948514302695067e-12,
FOS,1.1291338205337524,7.52553129196167,1.3086601047813149e-11,
CD44,1.8757445812225342,7.386739730834961,3.5798828767504834e-11,
PNRC1,1.5614736080169678,7.322840213775635,5.573224955402524e-11,
FTL,0.7607712745666504,7.2194414138793945,1.1676176331807192e-10,
HLA-C,0.8508663773536682,7.191116809844971,1.413256161379167e-10,
MNDA,3.565620183944702,7.189323902130127,1.420005862601911e-10,
SAT1,0.8807084560394287,7.150942325592041,1.8189024861261812e-10,
AQP9,5.2258992195129395,6.991700172424316,5.225825847155805e-10,
HCAR3,3.2276992797851562,6.907505035400391,9.353896194544367e-10,
SLC25A37,1.3970774412155151,6.90399694442749,9.518978317880488e-10,
LCP1,3.4085917472839355,6.82027006149292,1.698611138853052e-09,
JUNB,0.7865293025970459,6.8040289878845215,1.8881971262990798e-09,
NFKBIZ,1.8542454242706299,6.772247791290283,2.336809087182793e-09,
MTRNR2L12,1.1261546611785889,6.6648993492126465,4.7149882310856235e-09,
SORL1,3.917445421218872,6.64179801940918,5.4426506935088935e-09,
FAM129A,3.423076868057251,6.6088995933532715,6.710389687257608e-09,
FOSB,1.3511066436767578,6.5581488609313965,9.258029994858868e-09,
FCGR2A,4.5306220054626465,6.510308742523193,1.234377805938831e-08,
MIDN,1.9181463718414307,6.50799560546875,1.2456926889243674e-08,
CXCR2,4.123086452484131,6.486037731170654,1.4270097491394158e-08,
TYROBP,2.5947468280792236,6.478111743927002,1.4911680200080957e-08,
SOCS3,1.4279204607009888,6.413666248321533,2.226186561694913e-08,
NR4A2,2.204089403152466,6.401219367980957,2.401114888705372e-08,
TAGAP,3.3905906677246094,6.394540786743164,2.4814544473906124e-08,
IVNS1ABP,2.5496973991394043,6.394384860992432,2.4814544473906124e-08,
TRIB1,3.058933973312378,6.371335029602051,2.8346730843324788e-08,
MTRNR2L1,2.7616488933563232,6.332979679107666,3.575639938034712e-08,
MT-ND3,0.36438316106796265,6.295949935913086,4.466786153511558e-08,
IER3,1.3675943613052368,6.247823715209961,5.984754079568328e-08,
IFITM2,1.5196350812911987,6.157106399536133,1.015096186314239e-07,
EGR1,1.6525334119796753,6.10913610458374,1.35828930239836e-07,
C5AR1,5.53258752822876,5.962886810302734,3.210622929287821e-07,
IGLC2,1.3516370058059692,5.937160491943359,3.720255236980023e-07,
NABP1,2.595796585083008,5.864009857177734,5.657489209557991e-07,
HSP90AA1,0.969099760055542,5.845611572265625,6.259842551820592e-07,
MALAT1,0.3937559425830841,5.831812858581543,6.768194585174145e-07,
CTSS,2.2716968059539795,5.790807247161865,8.447844126457767e-07,
PLAUR,1.558618426322937,5.776203155517578,9.130248400953838e-07,
GCA,2.809903621673584,5.758402347564697,9.964983066662462e-07,
PPIF,2.380747079849243,5.694892406463623,1.4107754552242908e-06,
CTD-3252C9.4,1.6247375011444092,5.604019641876221,2.3323283498597362e-06,
VMP1,1.195674180984497,5.572498321533203,2.7728256567349292e-06,
FYB,2.7661263942718506,5.54253625869751,3.2643657383690794e-06,
FPR2,4.492908954620361,5.305699825286865,1.129754973175361e-05,
SMCHD1,2.646580934524536,5.287249565124512,1.2402697294386745e-05,
ACSL1,4.04545783996582,5.242085933685303,1.567942876084674e-05,
RNF149,2.0580973625183105,5.204718112945557,1.8556963033340312e-05,
LCP2,3.306522846221924,5.116417407989502,2.8593578961266846e-05,
MXD1,1.4155843257904053,5.107036590576172,2.973663326341268e-05,
BTG1,0.9101632833480835,5.037082195281982,4.1510388973617226e-05,
FFAR2,3.5300939083099365,5.008341312408447,4.75748721935952e-05,
WSB1,1.642831802368164,5.002910137176514,4.877397275847416e-05,
HCAR2,2.6961896419525146,4.980614185333252,5.4384468844867836e-05,
IL1RN,0.7885915040969849,4.978587627410889,5.47774098752247e-05,
ZFP36L2,1.070953607559204,4.965282440185547,5.8478535420800766e-05,
STAT3,1.5135048627853394,4.960111141204834,5.966826168921987e-05,
PROK2,4.791011333465576,4.937269687652588,6.602833146032605e-05,
PHACTR1,3.544502019882202,4.930383205413818,6.796615670953542e-05,
SMAP2,2.748013734817505,4.890130996704102,8.139267238079737e-05,
FPR1,2.293550729751587,4.862559795379639,9.217358525464527e-05,
RP11-138A9.1,2.7501461505889893,4.8184356689453125,0.00011405099476973033,
PFKFB3,1.9001364707946777,4.807573318481445,0.00011863739296985372,
ITM2B,0.5031701326370239,4.738008499145508,0.00015908595167301573,
CMTM2,3.9076731204986572,4.736683368682861,0.00015925153224784238,
DDX5,0.7740403413772583,4.701888084411621,0.00018633093481496018,
MT-ATP6,0.26242318749427795,4.584145545959473,0.00030667143926329745,
MT-ND4,0.13011857867240906,4.580143451690674,0.00031179679753150756,
LAPTM5,2.066720724105835,4.556859970092773,0.0003431442836269443,
CCNL1,1.2726869583129883,4.555119037628174,0.00034512725402766477,
IRF1,1.593213438987732,4.504368305206299,0.0004259548350458472,
TREM1,4.140012741088867,4.338837146759033,0.0008538849824005418,
STK4,2.142371892929077,4.316593170166016,0.0009318630765921054,
GNAI2,1.2820967435836792,4.306458473205566,0.0009647368611363713,
SLC11A1,4.760392189025879,4.299702167510986,0.000990220809888994,
MTRNR2L8,0.9605162143707275,4.288060188293457,0.0010366776434660835,
COTL1,1.3963794708251953,4.2415971755981445,0.0012490383006229424,
RPL30,0.2658805251121521,4.231748580932617,0.0013015338510674274,
IER2,0.8746163249015808,4.231384754180908,0.0013015338510674274,
AIF1,2.0450475215911865,4.204827308654785,0.0014579413579639434,
LST1,2.324082612991333,4.187910079956055,0.0015511089666823887,
EGR3,3.8162178993225098,4.166289806365967,0.0016844398296609966,
CREM,1.8977630138397217,4.14742374420166,0.0018142938653840394,
LINC00936,3.6948506832122803,4.1142659187316895,0.0020744465003691634,
SAMSN1,2.4774329662323,4.104650974273682,0.002140789803615322,
KIAA1551,1.938925862312317,4.044207572937012,0.002688720707834391,
NFIL3,3.476897954940796,3.966768980026245,0.0035905408813344825,
JMJD1C,1.6603370904922485,3.9627931118011475,0.0036440233245807812,
ALOX5AP,2.196540594100952,3.9459280967712402,0.00388839420889851,
CHD1,1.985864520072937,3.8967885971069336,0.004621310921298015,
FAM65B,3.2860217094421387,3.843906879425049,0.005628684111794537,
MTRNR2L10,1.2729249000549316,3.8183627128601074,0.006178709715456205,
RPL28,0.021958518773317337,3.8045122623443604,0.006466672183919238,
RP11-467L13.7,2.6239607334136963,3.796976327896118,0.0066317786668705705,
TNFRSF1B,2.3729963302612305,3.7679238319396973,0.007295187366811579,
LINC01272,3.4321014881134033,3.7311794757843018,0.008271339739696982,
AKAP13,1.3214187622070312,3.722578287124634,0.008512475439493641,
SLA,2.9698128700256348,3.71852445602417,0.008603250160074469,
ACTG1,0.2771877646446228,3.7068307399749756,0.008945076028613523,
LUCAT1,5.4118852615356445,3.689419984817505,0.009472018729967682,
GK,3.2345354557037354,3.686847448348999,0.009537534263230077,
ADGRE5,2.2998788356781006,3.6765568256378174,0.009851385794612843,
CYBA,0.6351062655448914,3.6731786727905273,0.009966726725667433,
EHD1,1.892238736152649,3.657742977142334,0.010519512307481842,
ARL5B,2.2225780487060547,3.6393449306488037,0.011211774260990947,
ICAM1,1.201227068901062,3.638305425643921,0.011239495903856239,
VASP,1.6955788135528564,3.6277811527252197,0.011652883947600362,
MT-ND2,0.1629595160484314,3.6142163276672363,0.012185325561877864,
NCF2,3.636531114578247,3.56933856010437,0.014277161639018978,
SF1,1.4570896625518799,3.551408052444458,0.015147596601032567,
CLEC7A,2.214219093322754,3.548081874847412,0.015317048818028745,
LRRK2,3.5098865032196045,3.50588059425354,0.01772313956472638,
EIF1,0.1766185462474823,3.480518102645874,0.019147022030227674,
EFHD2,1.145505428314209,3.448711395263672,0.02117922204954508,
HCK,4.395198822021484,3.42753267288208,0.02254591724266002,
PRRC2C,1.0128251314163208,3.4263112545013428,0.022615561081847375,
IGLC3,1.5764265060424805,3.408406972885132,0.023816655571423987,
MT-CYB,0.15666769444942474,3.405496597290039,0.02400510704547015,
CXCR1,4.544643402099609,3.3755085468292236,0.02649112148169119,
CTB-61M7.2,7.1497802734375,3.3675827980041504,0.027110342622598715,
AC058791.1,3.4398889541625977,3.364776372909546,0.02731296396228283,
MYO1F,2.817857027053833,3.3627235889434814,0.027479434446359502,
REL,1.6088777780532837,3.3567986488342285,0.027986772394433188,
ARPC2,0.5206717252731323,3.3560450077056885,0.027986772394433188,
TNFAIP6,2.640653610229492,3.347625494003296,0.028708469636712735,
ALPL,3.476621389389038,3.3467161655426025,0.02876410634417416,
IFRD1,1.9541025161743164,3.3406872749328613,0.02927791682180892,
CYTH4,3.59210467338562,3.3360097408294678,0.02969549151119973,
HCLS1,2.338273286819458,3.3223671913146973,0.03102071380335984,
RGCC,1.1635898351669312,3.318157434463501,0.03145029893372823,
MYADM,1.5967233180999756,3.3005130290985107,0.033101198653498795,
DDX17,0.9914997220039368,3.2989277839660645,0.03324510795289147,
PPP1R15B,2.1047203540802,3.2926392555236816,0.03382055804140373,
CXCL1,1.0025207996368408,3.2869222164154053,0.0343358558545151,
CPPED1,2.457916736602783,3.283803939819336,0.034583624943777765,
DUSP2,1.3373595476150513,3.279672145843506,0.034913869419322854,
PABPC1,0.3981652557849884,3.278658628463745,0.034994562460675865,
CD37,1.6032593250274658,3.2768137454986572,0.035178925538717626,
