gene,log2FC,score,pval_adj,loso_robustness
JUND,3.044222354888916,43.345760345458984,0.0,1.0
MTRNR2L12,2.9698326587677,35.81048583984375,1.984880432844415e-277,1.0
TPT1,1.4729363918304443,35.4786376953125,2.4975172958148714e-272,1.0
COL4A1,2.881765604019165,34.75312042236328,2.7118340670012413e-261,1.0
MTRNR2L1,5.5922698974609375,34.706790924072266,1.2526466093504388e-260,1.0
IGFBP4,2.240885019302368,34.64751052856445,9.102334576938253e-260,1.0
COL4A2,2.4064526557922363,33.89597702026367,1.3322406354475541e-248,1.0
IGKC,2.7137205600738525,33.10076904296875,4.4599180136094175e-237,1.0
COL1A1,2.6295981407165527,32.466697692871094,4.5776281231189907e-228,
COL18A1,1.923264741897583,31.87095069885254,8.409420809546921e-220,
C11orf96,2.228261947631836,31.836612701416016,2.3992233118937115e-219,
NEAT1,1.7695202827453613,30.541624069213867,7.647096502355838e-202,
EPAS1,1.7266111373901367,30.117103576660156,2.9124753390693514e-196,
IER3,2.5039706230163574,29.97902488708496,1.7854988524454897e-194,
HSP90AA1,1.5276892185211182,29.260435104370117,2.8854898496877904e-185,
VIM,1.1080464124679565,28.810497283935547,1.3377392458407158e-179,
MARCKS,2.739630699157715,28.404909133911133,1.4382502028024991e-174,
COL1A2,2.0483155250549316,28.175704956054688,8.935024830362199e-172,
MYH9,1.832139492034912,28.060314178466797,2.1734174492647775e-170,
KLF9,2.06604266166687,27.974626541137695,2.278252673635207e-169,
COL3A1,2.137766122817993,27.697961807250977,4.957696131312212e-166,
SPARC,1.526004672050476,27.345884323120117,7.908163924698577e-162,
C1R,1.960661768913269,26.6389217376709,1.5352504754343986e-153,
TNFAIP3,2.973034381866455,26.634536743164062,1.684651947415706e-153,
FN1,2.2458932399749756,26.47882080078125,1.0345762024852614e-151,
CD81,1.689461588859558,26.47740364074707,1.0497474413585093e-151,
PXDN,3.3788700103759766,26.228729248046875,7.1112953650202e-149,
COL5A2,2.300067901611328,26.212936401367188,1.05370795116353e-148,
PDGFRB,1.571677327156067,26.109445571899414,1.5528221790517815e-147,
NNMT,1.8105837106704712,25.65279769897461,1.980269385086797e-142,
FSTL1,2.0977580547332764,25.4459285736084,3.7953812529753198e-140,
TPM4,1.5969513654708862,25.372488021850586,2.4152476594874098e-139,
MSX1,2.501302480697632,25.286502838134766,2.0643399207992935e-138,
FILIP1L,1.666212797164917,25.199779510498047,1.8174714355649871e-137,
COL6A1,1.7111148834228516,24.909637451171875,2.5098742387032866e-134,
ITGA1,2.2974231243133545,24.801414489746094,3.539176286844994e-133,
PRSS23,2.263629198074341,24.758169174194336,1.0193401521650924e-132,
MTRNR2L10,3.188913345336914,24.531370162963867,2.6704781501939124e-130,
MT-ATP6,0.8958055973052979,24.1170597076416,6.279328371688641e-126,
THY1,2.237748622894287,23.975601196289062,1.8421671860720724e-124,
MT-ND1,0.8749383687973022,23.828277587890625,6.183227919316619e-123,
ECE1,2.2781460285186768,23.550525665283203,4.444876657943918e-120,
LAMA4,1.7758312225341797,23.237268447875977,6.588830980735089e-117,
COL14A1,1.5156289339065552,23.150938034057617,4.7724821294670845e-116,
LOXL2,3.0868475437164307,23.062252044677734,3.6715925057416705e-115,
NFKBIA,1.6542707681655884,23.05593490600586,4.195267141342275e-115,
CRISPLD2,1.6509449481964111,22.918596267700195,9.795815032109388e-114,
IL32,2.0425052642822266,22.901611328125,1.4289676045552312e-113,
MTRNR2L8,1.7924209833145142,22.883453369140625,2.141116272185823e-113,
CEBPB,1.530797004699707,22.785850524902344,1.9733383376638696e-112,
COL6A2,1.4342395067214966,22.743072509765625,5.173755219903641e-112,
UGCG,1.8895447254180908,22.660017013549805,3.381922913069452e-111,
HIF1A,1.9052139520645142,22.521743774414062,7.645321805000703e-110,
IGLC2,2.0017037391662598,22.236003875732422,4.5307880036875684e-107,
GNAS,1.45755934715271,22.204504013061523,9.034440453560223e-107,
EVA1B,2.1197571754455566,22.08939552307129,1.1494875688014156e-105,
MGP,1.2433552742004395,21.728330612182617,3.0510071362157197e-102,
MIR4435-2HG,2.047855854034424,21.59870719909668,4.983394179169417e-101,
GUCY1A2,2.212022304534912,21.58708953857422,6.342385819833907e-101,
LMNA,1.0091336965560913,21.519466400146484,2.705140311452595e-100,
SERPINH1,1.6494956016540527,21.511226654052734,3.198699094408106e-100,
PLXDC1,2.0377371311187744,21.504878997802734,3.6314108897962913e-100,
