gene,log2FC,score,pval_adj,loso_robustness
JUND,2.5203099250793457,34.69682312011719,1.1511291661556014e-259,1.0
NEAT1,2.5592873096466064,33.12607192993164,8.194173302043402e-237,1.0
JUN,2.815532922744751,32.02764892578125,2.353146182931657e-221,1.0
BTG2,2.033102035522461,29.453874588012695,3.867590074509599e-187,1.0
FCRL5,2.1599464416503906,27.949983596801758,1.4382944844027652e-168,1.0
XBP1,1.3759386539459229,27.05048179626465,7.589164844371135e-158,1.0
MTRNR2L1,3.350255012512207,26.914213180541992,2.7992117009110175e-156,1.0
FAM46C,2.0073180198669434,25.893617630004883,1.1425730911737429e-144,1.0
ANKRD28,2.2057535648345947,25.251955032348633,1.2822607490018703e-137,
FOSB,1.8540672063827515,24.586544036865234,1.9187047600982406e-130,
TSC22D3,1.7047536373138428,23.698715209960938,3.242787516791276e-121,
IGHG4,2.203101873397827,22.617034912109375,2.2677732136573926e-110,
FOS,1.5387002229690552,21.661527633666992,2.94900486243091e-101,
IER2,1.7928128242492676,21.31262969970703,5.1560112142406774e-98,
UBC,1.196736216545105,20.823753356933594,1.5002046563962713e-93,
CPEB4,2.3133552074432373,20.773550033569336,4.181547592097486e-93,
MALAT1,2.2802720069885254,20.656278610229492,4.5782486988305495e-92,
JSRP1,1.5174002647399902,20.611740112304688,1.1271173082872591e-91,
PRDM1,1.8502920866012573,20.54485511779785,4.3906424077316197e-91,
TRIB1,2.548588752746582,20.35512924194336,2.064721656534364e-89,
IGHG2,1.6945289373397827,20.215505599975586,3.402539010660301e-88,
SEL1L,1.3497681617736816,20.17420768737793,7.71018690576029e-88,
H1FX,1.4530247449874878,19.106403350830078,9.132645712794501e-79,
ST6GAL1,1.658400058746338,18.82094383239746,2.017049997405857e-76,
PTP4A3,1.7211698293685913,18.818574905395508,2.0778336451308386e-76,
GOLGB1,1.8376487493515015,18.706823348999023,1.6284569001518716e-75,
SPAG4,1.539315104484558,18.473852157592773,1.2358110552257172e-73,
TP53INP1,2.260775327682495,18.419677734375,3.274686253347265e-73,
CLPTM1L,1.1430450677871704,18.378173828125,6.855506421691931e-73,
MT-ND4L,1.2701542377471924,18.34840202331543,1.1706525675427507e-72,
TXNDC11,1.6428542137145996,18.126388549804688,6.619702934832119e-71,
SDC1,1.3682538270950317,18.052900314331055,2.479717119669844e-70,
SSR4,0.7955479621887207,17.710294723510742,1.0880559702230851e-67,
DUSP1,1.2905806303024292,17.699838638305664,1.2946565740918275e-67,
AHNAK,1.7266699075698853,17.558515548706055,1.5579359647055103e-66,
RRBP1,1.1036796569824219,17.416812896728516,1.8502124551373255e-65,
PPP1R15A,1.4336894750595093,17.36569595336914,4.462819740863372e-65,
GOLGA4,1.590546727180481,17.2658748626709,2.4995299356511365e-64,
MCL1,1.0991042852401733,17.197404861450195,8.074820366301974e-64,
ANKRD12,1.238744854927063,17.066810607910156,7.456481174120989e-63,
DUSP5,1.6700149774551392,16.98149299621582,3.1014683071649825e-62,
SQSTM1,1.5514651536941528,16.954051971435547,4.897010929817081e-62,
SRRM2,1.1501846313476562,16.942052841186523,5.943560405783185e-62,
POU2AF1,1.4079713821411133,16.826799392700195,4.146451635473466e-61,
MT-ND3,0.9852397441864014,16.634456634521484,1.0266299098035022e-59,
TXNDC15,1.0400338172912598,16.61921501159668,1.310848154987223e-59,
MT-ND5,0.9896901249885559,16.58098030090332,2.4542325272318638e-59,
FNDC3B,1.8300069570541382,16.548784255981445,4.1507980760794515e-59,
PECAM1,1.2306939363479614,16.516775131225586,6.99195011581897e-59,
FNDC3A,1.4947155714035034,16.513479232788086,7.314346838508277e-59,
POU2F2,1.6034986972808838,16.198152542114258,1.2476451125119668e-56,
ISG20,0.9343012571334839,16.141845703125,3.0834564525406843e-56,
ELL2,1.5111744403839111,16.124109268188477,4.0360570846726037e-56,
CYTIP,1.125369906425476,16.095272064208984,6.3770158494453655e-56,
LINC00152,1.4714899063110352,15.946499824523926,6.917147608734313e-55,
HSPA5,0.9469338059425354,15.93498420715332,8.244538605745192e-55,
TAGAP,1.866795539855957,15.92063045501709,1.0282151355259751e-54,
TOR3A,1.5000026226043701,15.871472358703613,2.233849803446889e-54,
CCPG1,1.1346700191497803,15.850529670715332,3.091632612702925e-54,
SEC14L1,1.1767208576202393,15.730420112609863,2.058141297586681e-53,
DERL1,0.9921999573707581,15.72861385345459,2.1000452236634765e-53,
IRF1,1.6017091274261475,15.62092399597168,1.1341884210937047e-52,
KLF13,1.2134796380996704,15.586372375488281,1.9171550649999774e-52,
IGHA1,0.9288878440856934,15.512228965759277,6.051751422568828e-52,
SLAMF7,1.2842909097671509,15.500598907470703,7.195102492424954e-52,
HDLBP,1.0764168500900269,15.493308067321777,7.995630862993074e-52,
HSP90B1,0.9189363718032837,15.421653747558594,2.412316001599439e-51,
HM13,0.9049978852272034,15.221242904663086,5.145993774980053e-50,
SEC61A1,1.3717634677886963,15.181584358215332,9.355965010505546e-50,
MZB1,0.8554992079734802,15.168171882629395,1.1390922746245543e-49,
MARCKS,1.221936583518982,15.042428970336914,7.61651119681682e-49,
SRM,0.9660061001777649,15.002091407775879,1.3893886629931074e-48,
PLPP5,0.830726683139801,14.906522750854492,5.751976269205969e-48,
LMAN1,0.8470229506492615,14.868880271911621,1.0025524843873027e-47,
SSR3,0.8620055317878723,14.84671401977539,1.3755762320878025e-47,
HSPA1B,2.387314796447754,14.780741691589355,3.64521342485815e-47,
ERLEC1,0.8348885774612427,14.753702163696289,5.405483765234354e-47,
SPCS3,0.8393415808677673,14.742440223693848,6.342030382380805e-47,
CITED2,1.6527085304260254,14.715845108032227,9.269496527054e-47,
ITGA6,1.3316950798034668,14.55536937713623,9.744876280858562e-46,
CD44,1.0181001424789429,14.553826332092285,9.899029329098014e-46,
KDELR1,0.8024448156356812,14.475062370300293,3.10064900679327e-45,
IGKC,1.782039761543274,14.43005657196045,5.920165382093734e-45,
SLC38A2,1.4693365097045898,14.335000038146973,2.322756683646423e-44,
DNAJC1,0.9359011054039001,14.272180557250977,5.616476280144616e-44,
AKAP9,1.1031440496444702,14.239058494567871,8.967689778680451e-44,
TNFRSF17,0.9244999885559082,14.232956886291504,9.722106554051196e-44,
TMED10,0.7831498384475708,14.18145751953125,2.002035309943975e-43,
CD38,1.0586419105529785,14.13701057434082,3.744221550318597e-43,
SMAP2,1.0197117328643799,13.94761848449707,5.353970167233612e-42,
NFKBIA,1.105311632156372,13.942333221435547,5.7295588207142253e-42,
FBXW7,1.3732706308364868,13.909708023071289,8.989612118000957e-42,
PDK1,1.5017396211624146,13.906200408935547,9.383052651422512e-42,
DDX17,0.9347725510597229,13.888129234313965,1.2003225728030444e-41,
CREB3L2,1.2263846397399902,13.882830619812012,1.2845790826374523e-41,
TCF25,0.8850651979446411,13.879194259643555,1.343241154434261e-41,
ZBP1,1.650573968887329,13.77314281463623,5.794557578814768e-41,
CCNL1,1.1221250295639038,13.756562232971191,7.245397563798316e-41,
KLF2,1.1761724948883057,13.7293119430542,1.0433159434883586e-40,
NR4A1,1.4506851434707642,13.726140022277832,1.083635728010668e-40,
RPN1,0.8988276124000549,13.568708419799805,9.287268506099253e-40,
HSP90AA1,0.852860152721405,13.537076950073242,1.4209195071445917e-39,
DNAJC3,0.83860844373703,13.53158187866211,1.5224869410120567e-39,
FAM107B,1.3968465328216553,13.48444938659668,2.8550608561272427e-39,
TECR,0.7604832053184509,13.483312606811523,2.8831306898955176e-39,
VOPP1,1.0829522609710693,13.469317436218262,3.4656733099211337e-39,
CPNE5,1.9817677736282349,13.467658996582031,3.5246770750466976e-39,
KLF6,1.0949981212615967,13.461944580078125,3.7871581343416536e-39,
TOP1,0.8493732213973999,13.404797554016113,8.14979131532847e-39,
SDF2L1,0.7618629336357117,13.375382423400879,1.204378208636012e-38,
TPM4,0.9028856754302979,13.373323440551758,1.2263891836804072e-38,
SRPRA,0.8329582214355469,13.33190631866455,2.124412828941035e-38,
BHLHE41,1.8283613920211792,13.306581497192383,2.9505220981639355e-38,
RBM6,1.7451834678649902,13.266215324401855,5.032927260342931e-38,
MBTPS1,1.8625565767288208,13.227975845336914,8.332351439049953e-38,
HIST1H1C,1.0157889127731323,13.182071685791016,1.5169326811951297e-37,
UBALD2,1.3719884157180786,13.12712287902832,3.1219542464710055e-37,
SEC11C,0.8334561586380005,13.120992660522461,3.3676288186711287e-37,
PIM2,0.8463945388793945,13.090736389160156,4.99218570832124e-37,
CSNK1E,1.4193334579467773,13.088190078735352,5.136063686535503e-37,
GNAS,0.7720080614089966,13.0481538772583,8.605193648614986e-37,
MT-ND6,1.4225025177001953,13.027874946594238,1.1170300560340819e-36,
PDXK,0.9884102940559387,12.982534408569336,2.011268302872684e-36,
SPATS2,1.173060417175293,12.982110023498535,2.0124063554778138e-36,
FKBP2,0.7803952693939209,12.933247566223145,3.785696616490465e-36,
DNAAF1,2.5284059047698975,12.885160446166992,7.03393594644635e-36,
USP48,1.3624404668807983,12.87118911743164,8.38824093835929e-36,
CFLAR,0.9678996205329895,12.816564559936523,1.6743687624339794e-35,
RAB30,1.8949577808380127,12.7994966506958,2.076195257985548e-35,
IGLC2,1.1005160808563232,12.752298355102539,3.7746233354470543e-35,
ICAM3,0.6809994578361511,12.752245903015137,3.7746233354470543e-35,
HERPUD1,0.8099408149719238,12.720073699951172,5.673392453336413e-35,
GLCCI1,1.777880311012268,12.690410614013672,8.250228446817027e-35,
LAX1,2.171157121658325,12.669047355651855,1.0733782252541894e-34,
CHST2,1.5876855850219727,12.653164863586426,1.3019199926908878e-34,
HSPA1A,2.149793863296509,12.634993553161621,1.6254816528216776e-34,
ZFP36L2,0.8237515687942505,12.595454216003418,2.672789863913617e-34,
EHMT1,2.384827136993408,12.544958114624023,5.039354371508943e-34,
EIF5,0.746098518371582,12.518797874450684,6.977184342715823e-34,
RBM33,1.8686057329177856,12.512055397033691,7.561291532251267e-34,
CCND2,1.2064509391784668,12.493721961975098,9.4803610324163e-34,
ZBTB38,1.190643072128296,12.393523216247559,3.309995710523301e-33,
PRDX4,0.8103087544441223,12.388439178466797,3.510973163435673e-33,
PPP1R10,1.233740210533142,12.385128021240234,3.6427494064179865e-33,
CTD-3252C9.4,1.386818289756775,12.277862548828125,1.3730982022046755e-32,
PDIA4,0.7527616024017334,12.245948791503906,2.0270131461460242e-32,
CANX,0.683647871017456,12.160457611083984,5.768250404119537e-32,
TMEM238,0.9746513962745667,12.156267166137695,6.045419438835466e-32,
PNISR,0.7870293855667114,12.11453914642334,1.002157659096998e-31,
VCP,1.0511850118637085,12.093945503234863,1.2824714144437381e-31,
MAPKAPK2,1.1752450466156006,11.9590482711792,6.53976493204717e-31,
EIF3A,0.857315182685852,11.955278396606445,6.8141949815359e-31,
SIL1,0.7951897978782654,11.947040557861328,7.4922728715550375e-31,
RALGPS2,1.3253757953643799,11.864062309265137,2.01740807705495e-30,
PABPC4,1.1424652338027954,11.857282638549805,2.1783490196036737e-30,
IGHGP,0.7899012565612793,11.770902633666992,6.0368091341357706e-30,
MT-ND1,0.6633882522583008,11.734601974487305,9.238401936563455e-30,
LINC-PINT,1.7565561532974243,11.700778007507324,1.3713832873349103e-29,
KRTCAP2,0.6909053325653076,11.697738647460938,1.415507877707316e-29,
RPN2,0.6400178670883179,11.662261009216309,2.1398642011955036e-29,
SEL1L3,0.8494805097579956,11.656082153320312,2.2914631764096452e-29,
HIPK2,2.222236394882202,11.623204231262207,3.3554341239387237e-29,
TYMP,0.7085652351379395,11.616700172424316,3.6060943380798834e-29,
FAM92B,1.1491981744766235,11.614025115966797,3.7057132251928e-29,
TRAM1,0.6140930652618408,11.576539993286133,5.718286119218107e-29,
NANS,0.7274662256240845,11.527649879455566,1.0060352581594363e-28,
RP11-160E2.6,1.9573613405227661,11.492998123168945,1.4915747009847942e-28,
UFM1,0.7670847773551941,11.473426818847656,1.8631687973450868e-28,
TPD52,0.674309492111206,11.472925186157227,1.866598104282476e-28,
EIF2AK4,1.0971022844314575,11.432979583740234,2.947933919072089e-28,
HSPA13,1.053737998008728,11.278692245483398,1.709368744064323e-27,
IGKV1-12,1.59382963180542,11.26573371887207,1.9727487944056197e-27,
ARSA,0.9270543456077576,11.255149841308594,2.215873972440063e-27,
STK4,0.9519184827804565,11.159433364868164,6.482188041318036e-27,
RP11-16E12.2,1.075826644897461,11.157736778259277,6.581724608977874e-27,
ERGIC2,0.6281338334083557,11.142155647277832,7.811392003757166e-27,
ATF4,0.5498619675636292,11.131810188293457,8.739890047401048e-27,
SOCS3,0.8332758545875549,11.067893028259277,1.780089539915382e-26,
TAPBPL,1.0329114198684692,11.053888320922852,2.0652863738708583e-26,
MSI2,1.7585047483444214,11.052105903625488,2.0951097464687713e-26,
TCEA1,0.7038981318473816,11.051928520202637,2.0951097464687713e-26,
GYPC,0.5895832180976868,11.048569679260254,2.1669035566219013e-26,
DNAJB1,1.6119199991226196,11.027177810668945,2.739067411486103e-26,
CD55,0.9367820024490356,10.986883163452148,4.267573035082237e-26,
GLRX,0.5862289071083069,10.957650184631348,5.875171513578426e-26,
KDELR2,0.5791370272636414,10.956857681274414,5.905167483952291e-26,
TMED4,0.650455117225647,10.951066017150879,6.272204232049932e-26,
SAR1B,0.7130646109580994,10.898855209350586,1.110718776583051e-25,
JUNB,0.5975708961486816,10.889852523803711,1.2217234925478127e-25,
SLC3A2,0.6202335953712463,10.88079833984375,1.3445066709538127e-25,
PLCG2,1.7851516008377075,10.837933540344238,2.142116165706251e-25,
FUT8,1.3520722389221191,10.828821182250977,2.357836755047486e-25,
ATM,1.6753244400024414,10.8032865524292,3.103940913593591e-25,
BRD2,0.9242734909057617,10.800721168518066,3.1805617278865453e-25,
GLG1,1.2460633516311646,10.764945983886719,4.676342385750811e-25,
RPS27L,0.5603803992271423,10.759245872497559,4.957220967102096e-25,
IGLV3-1,1.0032213926315308,10.750191688537598,5.449512798681229e-25,
SEC31A,0.997020423412323,10.732320785522461,6.567250834235319e-25,
MANF,0.5700995326042175,10.719902038574219,7.485333579900829e-25,
TMEM208,0.5391926169395447,10.71176528930664,8.145058164274688e-25,
IL10RA,1.635233759880066,10.648367881774902,1.6013157204897552e-24,
RGCC,0.8417140245437622,10.613631248474121,2.3161090302531255e-24,
HSPA8,0.526984691619873,10.586395263671875,3.0779477917267905e-24,
SRPRB,0.5800744891166687,10.573317527770996,3.52694848886278e-24,
COBLL1,1.1252071857452393,10.55281925201416,4.373094071649169e-24,
EIF5A,0.5686582326889038,10.531713485717773,5.436733858238836e-24,
UBXN4,0.49295055866241455,10.486626625061035,8.739555465724672e-24,
EPRS,0.8956134915351868,10.476702690124512,9.669263167403355e-24,
TTC3,0.7858494520187378,10.447976112365723,1.297108442837701e-23,
CCDC88C,1.876057744026184,10.425890922546387,1.6259835425083867e-23,
RBM39,0.4600467085838318,10.41666030883789,1.7858643412417358e-23,
CDV3,0.5449973344802856,10.37060260772705,2.885449057894233e-23,
CALU,0.7953870296478271,10.339688301086426,3.9728266562626855e-23,
NRDC,1.0512583255767822,10.323533058166504,4.686420237177916e-23,
ARFGAP3,0.7737080454826355,10.251784324645996,9.74491166842986e-23,
ODC1,0.7029634118080139,10.217070579528809,1.3903603487811665e-22,
MGAT1,0.9595628976821899,10.14018440246582,3.053776486135682e-22,
BACH1,2.496093988418579,10.13340950012207,3.2626405526319206e-22,
CNPY2,0.7817312479019165,10.128722190856934,3.4120377199987684e-22,
TRAM2,2.0701534748077393,10.112275123596191,4.0110062904601126e-22,
ATP2B1,1.4970582723617554,10.095871925354004,4.711978376506333e-22,
SLC38A10,1.1202274560928345,10.083324432373047,5.337766766432722e-22,
PIM1,1.6657181978225708,10.08103084564209,5.446885104441741e-22,
NUCB2,0.5048547983169556,10.050397872924805,7.413268841569003e-22,
IGHG1,0.9629148244857788,10.047272682189941,7.628470112717648e-22,
AKR1A1,0.5316264033317566,10.007795333862305,1.1342178324546792e-21,
HNRNPH1,0.6753938794136047,10.004302978515625,1.1713572925840204e-21,
SSR1,0.5713759660720825,10.00361442565918,1.1759203789408563e-21,
RAB2A,0.49231311678886414,9.923378944396973,2.6202654770247824e-21,
SF1,0.8334918022155762,9.915729522705078,2.820404496926472e-21,
C8orf59,0.5091673135757446,9.912910461425781,2.892390056021444e-21,
FAM214A,1.6071152687072754,9.887796401977539,3.706888143630194e-21,
SEC24D,1.9576869010925293,9.862242698669434,4.754385393723854e-21,
MRPS31,0.8478054404258728,9.807173728942871,8.167556145779305e-21,
FGFR1OP2,1.0202630758285522,9.803594589233398,8.437177431539037e-21,
DERL3,0.6076511144638062,9.79481315612793,9.176289087375238e-21,
MGMT,1.0103317499160767,9.792337417602539,9.376030194537676e-21,
SYVN1,1.166084885597229,9.772880554199219,1.1330500197668859e-20,
SEC63,0.7907218337059021,9.762784957885742,1.2480823734449359e-20,
SAT1,0.6421465277671814,9.76071548461914,1.2700856415339156e-20,
MBNL2,1.4046189785003662,9.748650550842285,1.4262749784800358e-20,
DDX5,0.4412669539451599,9.745731353759766,1.463608673555029e-20,
TNFAIP3,1.5782387256622314,9.74111557006836,1.5272053882742362e-20,
EIF4G2,0.4903148412704468,9.698776245117188,2.307929767055886e-20,
PLD3,0.9480205178260803,9.670838356018066,3.024862668680532e-20,
TMBIM6,0.5848456025123596,9.646183013916016,3.8367413360380855e-20,
SLC35B1,0.5386039018630981,9.621431350708008,4.854254676937855e-20,
KMT2A,1.4900891780853271,9.55600357055664,9.099390757201849e-20,
CALR,0.5026916861534119,9.55403995513916,9.247343367211556e-20,
PDIA6,0.554232120513916,9.552066802978516,9.398608278752776e-20,
MIF,0.5108232498168945,9.53841495513916,1.069146521179945e-19,
AIG1,0.8634551763534546,9.514457702636719,1.3427806877016302e-19,
MYADM,1.046281337738037,9.497151374816895,1.5812772752994912e-19,
FUCA2,0.7065568566322327,9.490494728088379,1.6808725368137552e-19,
ARID5B,0.9388173818588257,9.471969604492188,2.001859003592455e-19,
ATPIF1,0.41021376848220825,9.459474563598633,2.2436106971712797e-19,
SAT2,0.6849603652954102,9.455777168273926,2.3179432274568593e-19,
CHID1,0.536761999130249,9.423103332519531,3.148654385830832e-19,
CRELD2,0.42824363708496094,9.422262191772461,3.1582255619530915e-19,
RP11-138A9.1,1.337968349456787,9.42216682434082,3.1582255619530915e-19,
PPA1,0.3975842297077179,9.421923637390137,3.1582255619530915e-19,
EDEM1,1.200391173362732,9.414034843444824,3.395344907522308e-19,
CD81,0.41310399770736694,9.41074275970459,3.4939087545086335e-19,
BCLAF1,0.7579512000083923,9.403790473937988,3.722664473687774e-19,
REEP5,0.4515666663646698,9.402633666992188,3.7536701642624068e-19,
