gene,log2FC,score,pval_adj,loso_robustness
IGKC,2.939023971557617,46.79261779785156,0.0,1.0
JUND,2.212865114212036,40.384521484375,0.0,1.0
TPT1,1.3053131103515625,36.66048049926758,1.6306702754476023e-290,1.0
IGLC2,2.3172810077667236,32.635929107666016,4.151369960227917e-230,1.0
IGHG4,3.0058023929595947,29.976411819458008,4.345109623187334e-194,1.0
RPL28,0.5964841246604919,29.254409790039062,7.943972144693858e-185,
RPL30,0.7380896806716919,28.889904022216797,2.98879410330494e-180,
EEF1A1,0.5810410976409912,26.819440841674805,2.787655722115103e-155,
RPL7A,0.7963611483573914,21.784536361694336,4.052918994047429e-102,
RPL37,0.5165751576423645,20.81052017211914,3.4982321532371657e-93,
NEAT1,1.1228282451629639,20.106420516967773,6.059916481201745e-87,1.0
MTRNR2L1,2.7720084190368652,19.85327911376953,9.316436757687505e-85,1.0
NACA,0.7592607140541077,19.263282775878906,9.221174832998145e-80,
RPS3A,0.49900493025779724,18.40085792541504,9.952228844404188e-73,
RPS12,0.41017162799835205,18.366268157958984,1.827188794140277e-72,
PABPC1,0.9067283868789673,18.364805221557617,1.827188794140277e-72,
RPS21,0.6036068201065063,18.241840362548828,1.699177709190697e-71,
RPS24,0.5186183452606201,18.213193893432617,2.7932178045467215e-71,
EEF1B2,0.8516389727592468,18.147253036499023,9.057795852000936e-71,
RPL29,0.5448318719863892,17.996593475341797,1.355466946496816e-69,
MT-ND1,0.6506538391113281,17.798917770385742,4.384907940280082e-68,
RPS23,0.455618679523468,17.760160446166992,8.554150289454396e-68,
NR4A2,1.2488905191421509,16.92710304260254,1.5814238163166273e-61,1.0
RPL24,0.5262402892112732,16.537233352661133,1.0790037530600201e-58,
RPS11,0.5576728582382202,16.34727668762207,2.429327761639313e-57,
RPL18,0.45877182483673096,16.1439208984375,6.559376072352906e-56,
SLC2A3,1.0853729248046875,15.822916030883789,1.0882829806572642e-53,
STAT3,1.1389998197555542,15.555946350097656,7.026978029874588e-52,
FYN,1.2135604619979858,15.488906860351562,1.9615155078814865e-51,
RPL22,0.5576643943786621,15.124892234802246,5.186428556893771e-49,
TNFAIP3,0.851504385471344,15.037809371948242,1.905633687946395e-48,
CREM,0.9115682244300842,14.842988014221191,3.368852182504475e-47,
RPL9,0.4002056121826172,14.839402198791504,3.495582667175623e-47,
MT-CYB,0.38194140791893005,14.771331787109375,9.465050405375329e-47,
FAU,0.3756275177001953,14.687582015991211,3.1660499904918994e-46,
MT-ATP6,0.41940248012542725,14.664304733276367,4.3937210275060566e-46,
RPL19,0.36576926708221436,14.183389663696289,4.5348720284769404e-43,
TOMM7,0.6110690236091614,13.482024192810059,7.253319123164675e-39,
RPLP1,0.2341039627790451,13.436136245727539,1.3311787943007854e-38,
SMAP2,1.22929048538208,13.342489242553711,4.633194549832215e-38,
HSP90AA1,0.6665231585502625,13.180427551269531,3.916698066416111e-37,
MT-CO1,0.23170813918113708,13.148303031921387,5.914978036126493e-37,
REL,1.0520910024642944,12.857831954956055,2.607818830668739e-35,
RNF19A,1.1257929801940918,12.585917472839355,8.360940374859596e-34,
RPS4Y1,0.9249683618545532,12.448493003845215,4.548177423673293e-33,
SF1,0.8070297837257385,12.411914825439453,7.10060336911071e-33,
MT-CO3,0.22320090234279633,12.402061462402344,7.934706059012899e-33,
GNAS,0.769615888595581,12.306827545166016,2.5036365810810965e-32,
ZNF331,0.8635374307632446,12.264077186584473,4.1994501279486214e-32,
IGHG1,1.4359937906265259,12.243098258972168,5.378529055135978e-32,
PTPRC,0.561959981918335,12.118226051330566,2.4056482260492973e-31,
