cell_type,n_DEG,n_up,n_down,top_up
Pericyte/Mural,1604,1462,142,"JUND,MTRNR2L12,TPT1,COL4A1,MTRNR2L1,IGFBP4"
Fibroblast,1569,1419,150,"JUND,TPT1,MT-ATP6,MTRNR2L12,IER3,MT-ND1"
Endothelial,1359,1209,150,"JUND,TPT1,MTRNR2L12,MTRNR2L1,MT-ATP6,MT-ND1"
Plasma cell,685,501,184,"JUND,NEAT1,JUN,BTG2,FCRL5,XBP1"
Epithelial,555,280,275,"S100A6,S100A2,TMSB10,S100A9,ACTG1,S100A10"
Macrophage,529,325,204,"IGKC,NEAT1,MT-ND1,TPT1,JUND,SOD2"
Neutrophil,378,158,220,"TNFAIP3,SOD2,SRGN,NFKBIA,JUND,NEAT1"
Mast cell,216,137,79,"JUND,TPT1,MT-ND1,VIM,MT-ATP6,MT-CYB"
T cell (CD4),149,82,67,"IGKC,JUND,TPT1,IGLC2,IGHG4,NEAT1"
NK cell,135,90,45,"JUND,TPT1,IGKC,MT-ATP6,MTRNR2L1,MT-ND1"
T cell (CD8),119,45,74,"IGKC,JUND,IGLC2,TPT1,IGHG4,TNFAIP3"
B cell,97,15,82,"IGHG4,IGKC,HLA-DRB5,IGLC2,IGHG1,MTRNR2L1"
