cell_type,mean_HC,mean_PD,log2FC,p,FDR
Plasma cell,0.03085284972566121,0.16328078812133773,2.400094202760987,0.00423523852310771,0.04061624649859944
T cell (CD8),0.04257952123163341,0.08445895072168072,0.9864134822074903,0.11718020541549955,0.2343604108309991
NK cell,0.015049411584226284,0.027275577070394425,0.8536276173805372,0.11718020541549955,0.2343604108309991
T cell (CD4),0.06659899345439929,0.11754347596619752,0.8186844215500718,0.17343604108309993,0.2766884531590414
B cell,0.01883528962063453,0.028809519837400554,0.6104671592515876,0.04598506069094305,0.13795518207282914
Macrophage,0.04760782690971373,0.07261629635232728,0.608052747746991,0.019374416433239963,0.07749766573295985
Neutrophil,0.031562385928289645,0.036462909553880686,0.20761090552806769,0.6330532212885154,0.7596638655462185
Pericyte/Mural,0.06741630775505113,0.06738606051103394,-0.0006464708765453931,0.9241363211951445,0.9241363211951445
Mast cell,0.031238136769855984,0.029801218055470098,-0.06771515073053486,0.8489729225023341,0.9241363211951445
Fibroblast,0.23669638604932636,0.15267024595923342,-0.6322834762886074,0.20751633986928106,0.2766884531590414
Endothelial,0.3540729563569994,0.19022290001817205,-0.8960048962874869,0.00676937441643324,0.04061624649859944
Epithelial,0.057489934614209044,0.029472057832871594,-0.9615820441717537,0.20751633986928106,0.2766884531590414
